"type","REST_ACRES","YEAR","BpS_Code","BPS_LLID","AREA_STRATA","REST_PCT"
"passive",3730.87414026873,2010,"Na0710270_fdd","Na0710270_fdd_1710030703",18686.7141333335,0.199653835
"active",2827.53563185064,2010,"Na0710270_fdd","Na0710270_fdd_1710030704",38593.6178582866,0.073264332
"both",9321.71948193954,2010,"Na0710270_fdd","Na0710270_fdd_1710030704",38593.6178582866,0.241535258916858
"passive",13645.7091834901,2010,"Na0710270_fdd","Na0710270_fdd_1710030704",38593.6178582866,0.353574242083142
"active",11742.5325339617,2010,"Na0710270_fdd","Na0710270_fdd_1710030705",41326.5466980392,0.284140182816649
"both",3362.03685774785,2010,"Na0710270_fdd","Na0710270_fdd_1710030705",41326.5466980392,0.0813529589663819
"passive",8323.23317367149,2010,"Na0710270_fdd","Na0710270_fdd_1710030705",41326.5466980392,0.201401613216969
"active",3613.23396976295,2010,"Na0710270_fdd","Na0710270_fdd_1710030706",20337.3333095373,0.177665081
"both",8042.51368858707,2010,"Na0710270_fdd","Na0710270_fdd_1710030706",20337.3333095373,0.395455666
"passive",4060.42658892237,2010,"Na0710270_fdd","Na0710270_fdd_1710030706",20337.3333095373,0.199653835
"active",2380.56674978932,2010,"Na0710270_fdd","Na0710270_fdd_1710030707",32492.8472669255,0.073264332
"both",3930.57130742365,2010,"Na0710270_fdd","Na0710270_fdd_1710030707",32492.8472669255,0.12096727858702
"passive",9197.78547242052,2010,"Na0710270_fdd","Na0710270_fdd_1710030707",32492.8472669255,0.283071083209841
"both",17220.1686274882,2010,"Na0710270_fdd","Na0710270_fdd_1710030708",43545.1306126644,0.395455666
"passive",8499.4554708953,2010,"Na0710270_fdd","Na0710270_fdd_1710030708",43545.1306126644,0.195187277
"active",6405.20984208166,2010,"Na0710270_fdd","Na0710270_fdd_1710030801",32838.2462832929,0.195053346845152
"both",8976.78368775283,2010,"Na0710270_fdd","Na0710270_fdd_1710030801",32838.2462832929,0.27336367509735
"active",5860.93230544173,2010,"Na0710270_fdd","Na0710270_fdd_1710030802",72641.8510197547,0.0806825848070401
"both",28726.6315744899,2010,"Na0710270_fdd","Na0710270_fdd_1710030802",72641.8510197547,0.395455666
"passive",14503.2241375927,2010,"Na0710270_fdd","Na0710270_fdd_1710030802",72641.8510197547,0.199653835
"active",2034.784998732,2010,"Na0710270_fdd","Na0710270_fdd_1710030803",114014.303421643,0.0178467520097635
"both",45087.602293132,2010,"Na0710270_fdd","Na0710270_fdd_1710030803",114014.303421643,0.395455666
"passive",16204.8652520091,2010,"Na0710270_fdd","Na0710270_fdd_1710030803",114014.303421643,0.142130107939886
"active",2309.58973953032,2010,"Na0710270_fdd","Na0710270_fdd_1710030804",31524.067393808,0.073264332
"both",12466.3710662472,2010,"Na0710270_fdd","Na0710270_fdd_1710030804",31524.067393808,0.395455666
"passive",6293.90094997222,2010,"Na0710270_fdd","Na0710270_fdd_1710030804",31524.067393808,0.199653835
"active",479.741411745301,2010,"Na0710270_fdd","Na0710270_fdd_1710030901",32763.9625701355,0.0146423501344916
"both",12956.694638972,2010,"Na0710270_fdd","Na0710270_fdd_1710030901",32763.9625701355,0.395455666
"passive",30.2923295286319,2010,"Na0710270_fdd","Na0710270_fdd_1710030901",32763.9625701355,0.000924562450704404
"active",6163.13981497189,2010,"Na0710270_fdd","Na0710270_fdd_1710030902",37353.7898017472,0.164993695356812
"both",14771.767823674,2010,"Na0710270_fdd","Na0710270_fdd_1710030902",37353.7898017472,0.395455666
"passive",5728.25127449257,2010,"Na0710270_fdd","Na0710270_fdd_1710030902",37353.7898017472,0.153351274526491
"both",7678.06544782384,2010,"Na0710270_fdd","Na0710270_fdd_1710030903",19415.742668418,0.395455666
"passive",3876.42748312278,2010,"Na0710270_fdd","Na0710270_fdd_1710030903",19415.742668418,0.199653835
"active",4605.93973875234,2010,"Na0710270_fdd","Na0710270_fdd_1710030904",62867.4228375186,0.073264332
"both",24861.2785679145,2010,"Na0710270_fdd","Na0710270_fdd_1710030904",62867.4228375186,0.395455666
"passive",12551.7220660772,2010,"Na0710270_fdd","Na0710270_fdd_1710030904",62867.4228375186,0.199653835
"active",1840.79182919587,2010,"Na0710270_fdd","Na0710270_fdd_1710030905",25125.3478868253,0.073264332
"both",9893.7456806804,2010,"Na0710270_fdd","Na0710270_fdd_1710030905",25125.3478868253,0.393775470303767
"passive",5058.58756269961,2010,"Na0710270_fdd","Na0710270_fdd_1710030905",25125.3478868253,0.201334030696233
