"strataID","YEAR","BpS_Code","SCLASS","ew","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N","AREA_STRATA","avg","low","high","departure"
"2011_Na0710270_fdd",2011,"Na0710270_fdd","A","eastside","A",0.487329108637625,135105.011186384,6.81224808173269e-06,644143983.772035,60,14475,1587887.90654531,143333.347305565,116335.546763921,170331.149435097,0
"2011_Na0710270_fdd",2011,"Na0710270_fdd","B","eastside","B",3.0383899305423,150373.390685658,0.000241496310144372,4558848877.15537,167,14475,1587887.90654531,100162.767113733,75292.0964480331,125033.429839993,25339.9608456649
"2011_Na0710270_fdd",2011,"Na0710270_fdd","C","eastside","C",0.0182968113102874,282112.233535293,2.7990066307228e-08,15071670.9020648,3,14475,1587887.90654531,318380.387264741,282112.233535293,354648.540994189,0
"2011_Na0710270_fdd",2011,"Na0710270_fdd","D",NA,NA,0,627939.269616222,NA,NA,NA,NA,1587887.90654531,671318.463345439,627939.269616222,714697.598322805,0
"2011_Na0710270_fdd",2011,"Na0710270_fdd","E","eastside","E",2.04027086883818,392358.001521754,0.000101471703977397,2828719520.15588,145,14816,1587887.90654531,354692.941515832,317027.910091893,392358.001521754,0
"2011_Na0710411_fmt",2011,"Na0710411_fmt","A","westside","A",0.262798715671109,6850.7344784861,2.44633157440105e-06,333591975.403311,24,9487,459762.015010533,4223.84558571416,1596.95669294221,6850.7344784861,2.72848410531878e-12
"2011_Na0710411_fmt",2011,"Na0710411_fmt","B","westside","B",0.267583679342502,28342.5084873439,2.62927718033639e-06,344414173.175618,19,9487,459762.015010533,22102.7140501201,15862.9200726583,28342.5084873439,0
"2011_Na0710411_fmt",2011,"Na0710411_fmt","C","westside","C",0.118556933335607,26308.0082385286,6.70722065762058e-07,138984093.357743,12,9487,459762.015010533,20313.4048839099,14318.8038281012,26308.0082385286,0
"2011_Na0710411_fmt",2011,"Na0710411_fmt","D","westside","D",0.143242091210909,12015.6767492752,1.75735726306537e-06,76368336.920647,5,3631,459762.015010533,15921.6224867348,10547.9783072095,21295.2689650702,0
"2011_Na0710411_fmt",2011,"Na0710411_fmt","E","westside","E",1.35456936750421,386245.087056899,5.30825300316464e-05,1600420230.30032,76,9487,459762.015010533,397200.433521198,387183.162186011,407217.704396623,-938.075129112403
