"YEAR","ew","BpS","PVT","BpS_Code","BPS_LLID","sclass","AREA_TOTAL"
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030706","E",126.097965
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030707","A",996.996785
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030707","B",6521.51098
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030707","C",1718.890955
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030707","D",12.676515
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030707","E",123.65162
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030708","A",3209.15985
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030708","B",28265.07013
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030708","C",4695.870425
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030708","D",47.370135
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030708","E",3011.67309
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030801","A",3536.302895
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030801","B",24950.93984
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030801","C",3855.217325
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030801","D",33.35925
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030801","E",1740.01848
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030802","A",1246.74637
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030802","B",11940.38755
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030802","C",1446.90187
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030802","D",13.78849
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030802","E",376.959525
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030803","A",24.685845
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030803","B",734.125895
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030803","C",40.47589
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030803","D",1.33437
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030803","E",38.474335
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030804","A",123.65162
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030804","B",3597.683915
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030804","C",245.746475
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030804","D",82.28615
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030804","E",174.135285
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030901","A",56.48833
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030901","B",739.018585
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030901","C",100.52254
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030901","D",3.55832
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030901","E",266.42921
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030902","A",125.653175
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030902","B",1925.273515
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030902","C",297.11972
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030902","D",2.66874
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030902","E",291.33745
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030903","A",455.02017
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030903","B",5703.54217
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030903","C",925.385595
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030903","D",1.33437
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030903","E",1077.72617
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030904","A",347.38099
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030904","B",7148.887275
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030904","C",854.88638
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030904","D",3.11353
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030904","E",493.939295
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030905","A",91.849135
