"YEAR","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2010","RaDFHEdy","fdg","RaDFHEdy_fdg","D",23701.07994
"2010","RaDFHEdy","fdg","RaDFHEdy_fdg","E",352630.84637
"2010","RaDFHEdy","fwi","RaDFHEdy_fwi","A",695384.686
"2010","RaDFHEdy","fwi","RaDFHEdy_fwi","B",2749745.377195
"2010","RaDFHEdy","fwi","RaDFHEdy_fwi","C",561982.602015
"2010","RaDFHEdy","fwi","RaDFHEdy_fwi","D",151917.57971
"2010","RaDFHEdy","fwi","RaDFHEdy_fwi","E",1769290.55469
"2010","RaDFHEdy","fwx","RaDFHEdy_fwx","A",2179.471
"2010","RaDFHEdy","fwx","RaDFHEdy_fwx","B",39069.46402
"2010","RaDFHEdy","fwx","RaDFHEdy_fwx","C",19820.28719
"2010","RaDFHEdy","fwx","RaDFHEdy_fwx","D",6268.87026
"2010","RaDFHEdy","fwx","RaDFHEdy_fwx","E",43451.757495
"2010","RaDFHEwt","fdm","RaDFHEwt_fdm","A",10903.58206
"2010","RaDFHEwt","fdm","RaDFHEwt_fdm","B",55767.103015
"2010","RaDFHEwt","fdm","RaDFHEwt_fdm","C",12198.81054
"2010","RaDFHEwt","fdm","RaDFHEwt_fdm","D",4985.428715
"2010","RaDFHEwt","fdm","RaDFHEwt_fdm","E",59203.77295
"2010","RaDFHEwt","fhc","RaDFHEwt_fhc","A",14187.689025
"2010","RaDFHEwt","fhc","RaDFHEwt_fhc","B",66316.632235
"2010","RaDFHEwt","fhc","RaDFHEwt_fhc","C",5067.04768
"2010","RaDFHEwt","fhc","RaDFHEwt_fhc","D",4931.609125
"2010","RaDFHEwt","fhc","RaDFHEwt_fhc","E",45659.250265
"2010","RaDFHEwt","fwc","RaDFHEwt_fwc","A",47.814925
"2010","RaDFHEwt","fwc","RaDFHEwt_fwc","B",219.948655
"2010","RaDFHEwt","fwc","RaDFHEwt_fwc","C",13.78849
"2010","RaDFHEwt","fwc","RaDFHEwt_fwc","D",3.11353
"2010","RaDFHEwt","fwc","RaDFHEwt_fwc","E",80.729385
"2010","RaDFHEwt","fwm","RaDFHEwt_fwm","A",207627.749605
"2010","RaDFHEwt","fwm","RaDFHEwt_fwm","B",1025011.660755
"2010","RaDFHEwt","fwm","RaDFHEwt_fwm","C",182759.31831
"2010","RaDFHEwt","fwm","RaDFHEwt_fwm","D",48463.42882
"2010","RaDFHEwt","fwm","RaDFHEwt_fwm","E",739902.605125
"2010","RaDFHEwt","fwn","RaDFHEwt_fwn","A",342959.110215
"2010","RaDFHEwt","fwn","RaDFHEwt_fwn","B",1464645.210285
"2010","RaDFHEwt","fwn","RaDFHEwt_fwn","C",252243.07774
"2010","RaDFHEwt","fwn","RaDFHEwt_fwn","D",144924.14654
"2010","RaDFHEwt","fwn","RaDFHEwt_fwn","E",793952.37395
"2010","RaDFHEwt","fww","RaDFHEwt_fww","A",70448.50894
"2010","RaDFHEwt","fww","RaDFHEwt_fww","B",384682.41377
"2010","RaDFHEwt","fww","RaDFHEwt_fww","C",84342.191775
"2010","RaDFHEwt","fww","RaDFHEwt_fww","D",56979.37816
"2010","RaDFHEwt","fww","RaDFHEwt_fww","E",326421.59562
"2010","RaDFWV","fwx","RaDFWV_fwx","A",198352.32134
"2010","RaDFWV","fwx","RaDFWV_fwx","B",366661.74692
"2010","RaDFWV","fwx","RaDFWV_fwx","C",73750.18511
"2010","RaDFWV","fwx","RaDFWV_fwx","D",21427.31346
"2010","RaDFWV","fwx","RaDFWV_fwx","E",614617.716245
"2010","RaMCONdy","fdd","RaMCONdy_fdd","A",502076.060865
"2010","RaMCONdy","fdd","RaMCONdy_fdd","B",2430139.52114
"2010","RaMCONdy","fdd","RaMCONdy_fdd","C",988987.00668
