"YEAR","STATE","ew","BpS","PVT","BpS_Code","BPS_LLID","sclass","AREA_TOTAL"
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1707010202","B",645.612685
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1707010202","C",263.093285
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1707010202","D",23.12908
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1707010202","E",586.67801
"2016","Oregon","eastside","RaPIPOm","fpd","RaPIPOm_fpd","RaPIPOm_fpd_1707010207","A",5.78227
"2016","Oregon","eastside","RaPIPOm","fpd","RaPIPOm_fpd","RaPIPOm_fpd_1707010207","B",7.56143
"2016","Oregon","eastside","RaPIPOm","fpd","RaPIPOm_fpd","RaPIPOm_fpd_1707010207","C",0.667185
"2016","Oregon","eastside","RaPIPOm","fpd","RaPIPOm_fpd","RaPIPOm_fpd_1707010207","D",1.556765
"2016","Oregon","eastside","RaPIPOm","fpd","RaPIPOm_fpd","RaPIPOm_fpd_1707010207","E",8.228615
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010301","A",69.83203
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010301","B",31.357695
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010301","C",18.23639
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010301","D",11.11975
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010301","E",5.115085
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1707010202","A",14.67807
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1707010202","B",23.796265
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1707010202","C",3.11353
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1707010202","D",1.556765
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1707010202","E",37.80715
