"YEAR","BpS_Code","MAP_ZONE","type","CHNG_REST_ACRES","CHNG_REST_PCT","CHNG_FOR_ACRES","PREV_REST_ACRES","PREV_REST_PCT","PREV_FOR_ACRES"
2018,"RaMCONms_fcm","OBM","passive",19491.1969093876,0.0624055778940512,-23941.4114300504,22778.1010524845,0.0631826524197781,360511.947190021
2018,"RaMCONms_fmm","WEC","both",-167316.614820595,-0.172884916178565,12637.2187544184,242808.375151834,0.249446592053665,973388.223718837
2018,"RaMCONms_fmm","WEC","passive",75387.1294785919,0.0761710328113003,12637.2187544184,21609.749336763,0.0222005452811036,973388.223718837
2018,"RaPIPOm_fdp","OBM","passive",0,0,0,328.547393232758,0.806603609,407.321997529964
2018,"RaPIPOm_fpd","WCB","passive",-952.536390797501,-0.00166511254932715,-6030.84934191928,15882.8975415533,0.124341177572188,127736.425307153
2018,"RaPIPOm_fpd","WEC","active",16755.8880844368,0.234865404885141,968.234605757811,8421.88866755417,0.120523753503787,69877.4177099414
2018,"RaPIPOm_fpd","WEC","both",10868.3874750425,0.152301116164732,968.234605757811,5666.46140018386,0.0810914539473271,69877.4177099414
2018,"RaPIPOm_fpd","WNE","active",269.16335181801,0.00771528712758462,-11582.7442771264,55747.3449206813,0.177844023860721,313462.008508872
2018,"RaPIPOm_fpd","WNE","passive",-37182.8256862478,-0.116387963587536,-11582.7442771264,55416.935284604,0.176789957890656,313462.008508872
2018,"RaSAWD_fal","WEC","active",-5424.62816985964,-0.0284899218450939,14595.170656279,25755.8637932687,0.110754676228545,232548.770583023
2018,"RaSAWD_fal","WEC","passive",84833.5735154315,0.341399741344217,14595.170656279,7308.52488727463,0.0314279231360864,232548.770583023
2018,"RaSAWD_fal","WNE","passive",49452.3355181853,0.227791545002324,525.891441584885,37195.3410942717,0.172063985328164,216171.56561457
2018,"RaSPFI_fcd","WNE","active",56185.3009068886,0.0506481958133415,13148.9928114698,79678.5834401188,0.0739841357750118,1076968.49608981
2019,"Na0710412_fmh","WEC","passive",-1469.23216545052,0.0056391201880796,-35097.2648582339,132087.480919962,0.164912786951206,800953.542547575
2019,"Na1010471_frn","WNE","passive",-70984.3665491392,-0.118746803779976,18821.5018668637,226437.932304515,0.356348625110185,635439.332015098
2019,"RaABAMlw_fsi","WEC","passive",-16559.9463453863,-0.0522582201154361,-749.108132281399,110781.44601481,0.354437962833241,312555.249808079
2019,"RaABLA_faf","WNE","active",74.5900243812353,0.016008848,0,617.268728132124,0.132481003,4659.29993096538
2019,"RaABLA_faf","WNE","both",889.107263667767,0.19082421755226,0,74.5900243812353,0.016008848,4659.29993096538
2019,"RaABLA_faf","WNE","passive",-2652.09849455312,-0.56920536,-4659.29993096538,2652.09849455312,0.56920536,4659.29993096538
2019,"RaDFHEdy_fwi","OEC","active",-19.9310559320711,1.38777878078145e-17,-228.936443845483,1154.42532107643,0.087059341,13260.2120325771
2019,"RaDFHEdy_fwi","OEC","both",-34.0713215674716,0,-228.936443845483,1973.44267529429,0.148824368,13260.2120325771
2019,"RaMCONdy_fdd","OBM","active",24906.2557366408,0.318825470957996,-330.119321246078,2968.27847794365,0.0378182199090404,78488.0537762723
2019,"RaMCONdy_fdd","OBM","both",-9796.25272095565,-0.124375314473103,-330.119321246078,17911.4055034871,0.22820549933042,78488.0537762723
2019,"RaMCONdy_fdd","OBM","passive",-5809.44749747756,-0.0737278868118487,-330.119321246078,11181.2545560825,0.142458043206859,78488.0537762723
2019,"RaMCONdy_fdd","WNE","both",-363547.435039407,-0.102972551998625,21158.0764188515,1056989.87908191,0.29605887746654,3570201.6035691
2019,"RaMCONdy_fdd","WNE","passive",180770.27553638,0.0497643222377419,21158.0764188515,345695.637180679,0.0968280437819224,3570201.6035691
2019,"RaMCONdy_fmd","OEC","active",-6795.70620147576,-0.786677265,-8638.4931964136,6795.70620147576,0.786677265,8638.4931964136
2019,"RaMCONdy_fmd","OEC","both",-15.6664516367674,-0.001813563,-8638.4931964136,15.6664516367674,0.001813563,8638.4931964136
2019,"RaMCONdy_fmd","WCB","passive",0,0,0,7225.08710388618,0.774406832,9329.83388747554
2019,"RaMCONdy_fmd","WEC","both",-88213.2061050521,-0.0458774991651631,-48252.3343192304,396149.264047101,0.228955766005447,1730243.66653284
