"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","BpS_Code1","BpS_Code2","ew1","ew2","sclass1","sclass2","STATE1","STATE2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,0,1,"RaABAMup_fst","RaABAMup_fst","westside","westside",NA,"C","Washington","Washington","Non-forest","Forest",39.8698175856026,1550.10436624079,3,1955
2017,0,1,"RaABAMup_fst","RaABAMup_fst","westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",866.581691907024,271250.133796598,11,5606
2017,0,1,"RaABLA_faf","RaABLA_faf","westside","westside",NA,"A","Washington","Washington","Non-forest","Forest",107.106404590138,7564.48620724262,1,3466
2017,0,1,"RaABLA_faf","RaABLA_faf","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",62.3343123834048,1465.31675764827,2,5421
2017,0,1,"RaABLA_faf","RaABLA_faf","westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",96.0819573250083,8907.29662701678,2,1955
2017,0,1,"RaDFHEdy_fdg","RaDFHEdy_fdg","westside","westside",NA,"A","Washington","Washington","Non-forest","Forest",155.203172358577,14919.688012239,3,5421
2017,0,1,"RaDFHEdy_fdg","RaDFHEdy_fdg","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",214.454375732599,22085.7851087403,5,5421
2017,0,1,"RaDFHEdy_fdg","RaDFHEdy_fdg","westside","westside",NA,"C","Washington","Washington","Non-forest","Forest",90.8194560706023,9074.92492396336,1,1955
2017,0,1,"RaDFHEdy_fdg","RaDFHEdy_fdg","westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",675.409134921422,163249.325823643,4,5421
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","eastside","eastside",NA,"A","Oregon","Oregon","Non-forest","Forest",79.9494733623887,8663.20013862269,1,5128
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","eastside","eastside",NA,"B","Oregon","Oregon","Non-forest","Forest",255.191297665424,40218.0146259162,5,9917
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","eastside","eastside",NA,"E","Oregon","Oregon","Non-forest","Forest",72.8040877835846,1890.60412598692,4,9917
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","eastside","eastside",NA,"E","Washington","Washington","Non-forest","Forest",0.599194753524174,0.317421877717491,1,3466
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","westside","westside",NA,"A","Oregon","Oregon","Non-forest","Forest",435.751451417748,71414.8077999,8,9917
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","westside","westside",NA,"A","Washington","Washington","Non-forest","Forest",518.823448827881,42911.5503837622,11,5421
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","westside","westside",NA,"B","Oregon","Oregon","Non-forest","Forest",2383.58296702169,556888.081591474,37,9917
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","westside","westside",NA,"B","Washington","Washington","Non-forest","Forest",5172.35691674204,2076031.50117905,28,5421
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","westside","westside",NA,"C","Oregon","Oregon","Non-forest","Forest",23.4976615702585,748.335627401699,1,5128
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","westside","westside",NA,"C","Washington","Washington","Non-forest","Forest",139.408772508555,12702.9457309625,2,3466
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","westside","westside",NA,"E","Oregon","Oregon","Non-forest","Forest",716.086349460608,32048.1096419717,29,9917
2017,0,1,"RaDFHEdy_fwi","RaDFHEdy_fwi","westside","westside",NA,"E","Washington","Washington","Non-forest","Forest",1493.10622292253,277297.151615127,16,5421
