"YEAR","BpS_Code","BPS_LLID","sclass","PERC_CHNG","AREA_CHNG","PREV_AREA","PERC_CHNG_VAR","AREA_CHNG_VAR","PREV_AREA_VAR","nPlots_AREA","N"
2017,"Na0710270_fdd","Na0710270_fdd_1710030702","B",0.678626728602701,53.2439341644933,7845.83511382215,0.51286284025468,3221.13700936528,69943486.3285955,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030703","B",4.16508612514185,370.094988866348,8885.65032622811,18.4741854393527,140500.248724006,84072493.5806011,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030704","A",14.598048240672,274.72900559574,1881.95710184264,183.150763489869,90885.5389621524,3047100.60130211,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030704","B",-3.11590931621773,-571.494761483242,18341.1872261082,4.83370094618004,1854130.85992904,175559379.746372,3,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030704","C",-0.886621988011044,-230.656060827601,26015.1523362319,0.254367417362942,2017617.04800269,243427371.590533,4,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030705","A",-7.4167225123007,-916.046425384341,12351.094757355,33.59452613203,893532.719530248,95486532.1210368,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030705","B",21.8595735427792,1582.96869052597,7241.5350986976,647.660386798171,1316271.30434415,71073616.2325846,3,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030705","C",-10.2040816326531,-666.922265141631,6535.83819838799,96.9928440286481,422738.584813904,40599813.6855274,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030705","D",0,0,12067.6550039353,0,0,116056105.083433,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030706","A",0,0,21976.5500873659,0,0,211575023.658867,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030706","B",-1.26262626262626,-224.385109248184,17771.3006524562,0.821830190520046,53612.1910905782,166094438.537285,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030707","A",Inf,337.998437204162,0,NA,84973.4921750742,0,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030707","B",8.06474272523033,762.266852494484,9451.84339371116,68.7037571619753,787519.29343584,94357572.8590689,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030707","C",-3.39253197248905,-732.015130531255,21577.2507515733,5.44019906940162,762684.245598507,224158767.170898,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030708","A",0.488369196820506,69.2104318078012,14171.7438893343,0.155135495241654,3178.97694025285,133287938.302471,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030708","B",-2.18381885869141,-1121.17698256673,51340.2005896479,0.885554868243191,1066072.47743891,498879853.804111,4,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030708","C",-0.00848214285714286,-0.801718859288001,9451.84339371116,7.44775327265709e-05,0.678872046439012,94357572.8590689,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030708","E",Inf,1121.17698256673,0,NA,1066072.47743891,0,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030801","B",9.59075,1426.88208185012,14877.6902937739,61.1040890203633,1351202.4641809,146897798.631761,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030801","C",-4.89555019588326,-1426.88208185012,29146.5111122751,7.46351689416874,1351202.4641809,269767087.987002,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030801","E",0,0,15668.2115662307,0,0,154066654.606659,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030802","A",0,0,5163.06926180591,0,0,57129195.4142981,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030802","B",-1.38363349774088,-761.215622857455,55015.6977335633,0.332924060476608,243058.778813873,535932445.626012,5,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030802","C",6.30790010660081,761.215622857455,12067.6550039353,31.7262605402962,243058.778813873,116056105.083433,3,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030803","A",-9.78220397111024,-2351.79985311181,24041.6153666124,32.7212194779667,2055159.35593499,201777138.210064,4,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030803","B",4.22169271455269,2351.79985311181,55707.5090994867,3.06870028730368,2055159.35593499,533820182.283104,8,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030803","C",0,0,10628.2011163593,0,0,77515856.547145,3,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030803","E",-0.8835,-78.546848943514,8890.41866932812,0.852636976992901,6876.03693071221,88089692.2829657,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030804","A",0,0,972.257060698125,0,0,627345.044037267,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030804","B",0,0,13905.4332330758,0,0,128325601.394627,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030901","A",0,0,3123.3350575441,0,0,7837143.19634409,2,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030901","B",2.30995252947933,276.628499351176,11975.5058089236,1.14121006649982,80029.1066463838,30657363.2899591,6,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030901","C",-2.93534891969046,-276.628499351176,9424.04146558314,2.44875478200961,80029.1066463838,25782074.0315362,4,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030901","E",0,0,5565.19965252316,0,0,15877293.1374508,2,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030902","A",-7.53890990044227,-289.198664080731,3836.08065224079,34.6315856891062,83512.1032411452,9184569.75992515,2,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030902","B",0.909721753507466,231.676594966252,25466.7533312262,0.173622106447211,141823.753303371,135011938.740424,9,9917
2017,"Na0710270_fdd","Na0710270_fdd_1710030902","C",-5.88260156786374,-204.127174976544,3470.01530907137,9.58046419725971,23974.1973306332,3413689.76038148,4,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030902","E",Inf,470.597730655752,0,NA,117910.134854988,0,2,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710030903","B",-7.76974724551908,-848.697039583694,10923.0971454464,40.9762694482155,816307.162101385,82990507.1184054,2,9917
