"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","BpS_Code1","BpS_Code2","MAP_ZONE1","MAP_ZONE2","sclass1","sclass2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","OBM","OBM",NA,"C","Non-forest","Forest",1514.47530169123,178051.643628787,37,12094
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","OBM","OBM",NA,"D","Non-forest","Forest",139.341812719302,7100.56725340326,7,6966
2017,0,1,"RaMCONms_fcm","RaMCONms_fcm","OBM","OBM",NA,"E","Non-forest","Forest",58.7389487464067,1333.71397444675,3,4789
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","OEC","OEC",NA,"A","Non-forest","Forest",632.951475097569,99338.2226884979,11,9917
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","OEC","OEC",NA,"B","Non-forest","Forest",102.616214581529,6843.65242931328,4,9917
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","OEC","OEC",NA,"C","Non-forest","Forest",1200.63159714299,544301.866700742,10,9917
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","OEC","OEC",NA,"D","Non-forest","Forest",6.63298634532555,49.2130889514666,1,4789
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","WEC","WEC",NA,"A","Non-forest","Forest",698.679322269546,96776.7488560413,9,5421
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","WEC","WEC",NA,"B","Non-forest","Forest",336.90199408605,65142.982038546,3,1955
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","WEC","WEC",NA,"C","Non-forest","Forest",214.550134846149,15370.5959972435,7,5421
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","WEC","WEC",NA,"D","Non-forest","Forest",20.6776087155954,470.420103936374,1,1955
2017,0,1,"RaMCONms_fmm","RaMCONms_fmm","WEC","WEC",NA,"E","Non-forest","Forest",438.444380711203,60845.9055849434,4,1955
2017,0,1,"RaMCONsw_fdm","RaMCONsw_fdm","OSW","OSW",NA,"A","Non-forest","Forest",364.489360447589,143602.7571924,1,5128
2017,0,1,"RaMCONsw_fdm","RaMCONsw_fdm","OSW","OSW",NA,"B","Non-forest","Forest",6.42519323431228,46.4253847771052,1,4789
2017,0,1,"RaMCONsw_fdm","RaMCONsw_fdm","OSW","OSW",NA,"C","Non-forest","Forest",84.7521893794291,9038.83333091557,1,5128
2017,0,1,"RaMCONsw_fdm","RaMCONsw_fdm","OSW","OSW",NA,"E","Non-forest","Forest",45.4817050203325,2202.6676114002,1,5128
2017,0,1,"RaMCONsw_fiw","RaMCONsw_fiw","OSW","OSW",NA,"A","Non-forest","Forest",71.8916253375424,1779.36602339495,5,9917
2017,0,1,"RaMCONsw_fiw","RaMCONsw_fiw","OSW","OSW",NA,"B","Non-forest","Forest",135.958066847567,5183.56777733792,6,9917
2017,0,1,"RaMCONsw_fiw","RaMCONsw_fiw","OSW","OSW",NA,"C","Non-forest","Forest",516.730049722498,78171.7553394715,8,9917
2017,0,1,"RaMCONsw_fiw","RaMCONsw_fiw","OSW","OSW",NA,"D","Non-forest","Forest",158.232225699442,6398.69825781789,2,4789
