"YEAR","BpS_Code","sclass","PERC_CHNG","AREA_CHNG","PREV_AREA","PERC_CHNG_VAR","AREA_CHNG_VAR","PREV_AREA_VAR","nPlots_AREA","N"
2018,"RaABAMlw_fwc","E",NA,0,0,NA,0,0,0,12036
2018,"RaABAMup_fsi","C",NA,0,0,NA,0,0,0,5870
2018,"RaABAMup_fsi","D",NA,0,0,NA,0,0,0,5870
2018,"RaABAMup_fsi","E",NA,0,0,NA,0,0,0,5870
2018,"RaABAMup_fst","A",NA,0,0,NA,0,0,0,6527
2018,"RaABAMup_fst","B",NA,0,0,NA,0,0,0,6527
2018,"RaABAMup_fst","C",NA,0,0,NA,0,0,0,6527
2018,"RaABAMup_fst","D",NA,0,0,NA,0,0,0,6527
2018,"RaABAMup_fst","E",NA,0,0,NA,0,0,0,6527
2018,"RaABLA_faf","A",NA,0,0,NA,0,0,0,6527
2018,"RaABLA_faf","B",-5.69973131493009,-302.094909974063,5300.16053884406,17.6928885039677,96175.4256286949,15606690.575249,2,6527
2018,"RaABLA_faf","C",NA,0,0,NA,0,0,0,6308
2018,"RaABLA_faf","E",Inf,302.094909974063,0,NA,96175.4256286949,0,1,6527
2018,"RaDFHEdy_fdg","A",NA,0,0,NA,0,0,0,6308
2018,"RaDFHEdy_fdg","B",NA,0,0,NA,0,0,0,6527
2018,"RaDFHEdy_fdg","C",NA,0,0,NA,0,0,0,6308
2018,"RaDFHEdy_fdg","D",NA,0,0,NA,0,0,0,6308
2018,"RaDFHEdy_fdg","E",NA,0,0,NA,0,0,0,6527
2018,"RaDFHEdy_fwi","A",-2.76406993477634,-2782.57649725888,100669.540312627,0.453984339333319,4642756.18015404,626819419.497818,37,17906
2018,"RaDFHEdy_fwi","B",-0.750266182999022,-634.262710904552,84538.3578890932,0.0342205774156996,7202266.85815084,517368617.401815,24,17906
2018,"RaDFHEdy_fwi","C",1.29625089808556,711.557976015039,54893.5377453504,0.148967346635623,2416206.73967083,249034666.106655,32,17906
2018,"RaDFHEdy_fwi","D",1.66608685153075,1599.07629013953,95977.9670951932,0.130678104850297,2402321.24407892,420704630.646655,50,17906
2018,"RaDFHEdy_fwi","E",0.610623200071262,693.305189051885,113540.590821144,0.0135373748284235,4275024.33908524,403280794.435446,48,18125
2018,"RaDFHEdy_fwx","A",-7.09173495392441,-429.060982306316,6050.15535822984,17.5629811239556,130325.977226896,13129831.6614422,6,5469
2018,"RaDFHEdy_fwx","B",32.0430811910376,490.904313998346,1532.01345111484,1039.60687938394,169051.957510466,2360743.84262551,4,5469
2018,"RaDFHEdy_fwx","C",0.748020980392893,50.8161562597914,6793.41323195248,0.226737652841775,222020.728606278,15707330.1269891,5,5469
2018,"RaDFHEdy_fwx","D",2.83206955923003,629.577262373623,22230.2895181991,0.904207379199999,1336844.79844938,54049150.8577311,12,5728
