"strataID","BpS","SCLASS","YEAR","ew","PVT","BpS_Code","BPS_LLID","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2009_Na0210290_fdw_Na0210290_fdw_1709000406","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000406","C",28.1880737882974,150.561415,31.8884859744766,28.1880737882974,35.5889010213227,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000406","Na0210290","D",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000406","D",93.1444830355489,150.561415,97.7475348439181,93.1444830355489,102.350586652287,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000406","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000406","E",7.03840618357493,150.561415,5.34093342917741,3.64346037365706,7.03840618357493,8.88178419700125e-16
"2009_Na0210290_fdw_Na0210290_fdw_1709000407","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000407","A",33.6631115843939,258.42299,23.9247595833676,19.2476621554777,28.6018567528345,5.06125483155942
"2009_Na0210290_fdw_Na0210290_fdw_1709000407","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000407","B",4.4244884383189,258.42299,2.82434155377458,1.22419466923026,4.4244884383189,2.66453525910038e-15
"2009_Na0210290_fdw_Na0210290_fdw_1709000407","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000407","C",48.3818932673583,258.42299,54.733265439205,48.3818932673583,61.0846425210886,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000407","Na0210290","D",NA,NA,NA,NA,NA,NA,159.87280544654,258.42299,167.773464532692,159.87280544654,175.674123618845,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000407","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000407","E",12.0806912633886,258.42299,9.16715604830746,6.25362031638036,12.0806912633886,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000506","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000506","A",54.486775,566.440065,52.4409317201697,42.1891527624799,62.6927101114195,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000506","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000506","B",28.9978353768068,566.440065,6.19070390487423,2.68332514847631,9.69808266127215,19.2997527155346
"2009_Na0210290_fdw_Na0210290_fdw_1709000506","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000506","C",106.048779820965,566.440065,119.970419168378,106.048779820965,133.892069278152,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000506","Na0210290","D",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000506","D",350.426880785145,566.440065,367.744418386203,350.426880785145,385.061955987261,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000506","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000506","E",26.4797940170832,566.440065,20.0935855895345,13.7073760291057,26.4797940170832,3.5527136788005e-15
"2009_Na0210290_fdw_Na0210290_fdw_1709000606","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000606","A",14.484987772975,111.1975,10.294646980795,8.282126572925,12.3071672774675,2.17782049550748
"2009_Na0210290_fdw_Na0210290_fdw_1709000606","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000606","B",1.903824629225,111.1975,1.215293267545,0.526761905865,1.903824629225,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000606","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000606","C",20.81837059697,111.1975,23.5513190358025,20.81837059697,26.2842695873875,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000606","Na0210290","D",NA,NA,NA,NA,NA,NA,68.792084959785,111.1975,72.19168009152,68.792084959785,75.591275223255,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000606","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000606","E",5.198232041045,111.1975,3.944559401165,2.69088653889,5.198232041045,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000607","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000607","A",8.45101,100.96733,9.34753945856186,7.5201709282159,11.1749078879405,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000607","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000607","B",6.43003166119759,100.96733,1.10348628693086,0.47829981052542,1.7286727633363,4.70135889786129
"2009_Na0210290_fdw_Na0210290_fdw_1709000607","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000607","C",18.9030805020488,100.96733,21.3845976845087,18.9030805020488,23.8661167853478,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000607","Na0210290","D",NA,NA,NA,NA,NA,NA,62.4632131434848,100.96733,65.5500455231002,62.4632131434848,68.6368779027155,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000607","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000607","E",4.71999469326886,100.96733,3.58165993625782,2.44332497731212,4.71999469326886,1.77635683940025e-15
"2009_Na0210290_fdw_Na0210290_fdw_1709000608","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000608","A",18.68118,216.61273,20.0539723185887,16.1335825640579,23.9743618565067,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000608","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000608","B",13.2442265594856,216.61273,2.36739128517766,1.02613219262502,3.7086503777303,9.5355761817553
"2009_Na0210290_fdw_Na0210290_fdw_1709000608","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000608","C",40.5541859228976,216.61273,45.8779694817433,40.5541859228976,51.2017571562308,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000608","Na0210290","D",NA,NA,NA,NA,NA,NA,134.006981501661,216.61273,140.629392818281,134.006981501661,147.251804134901,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000608","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000608","E",10.1261560159557,216.61273,7.68400171346942,5.24184697775772,10.1261560159557,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000701","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000701","A",144.241508243285,1107.304705,102.514094634757,82.4734164131872,122.554771749021,21.6867364942635
"2009_Na0210290_fdw_Na0210290_fdw_1709000701","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000701","B",18.9582856578226,1107.304705,12.1018903582131,5.24549505860367,18.9582856578225,1.06581410364015e-14
"2009_Na0210290_fdw_Na0210290_fdw_1709000701","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000701","C",207.309334404627,1107.304705,234.524034958521,207.309334404627,261.738756551205,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000701","Na0210290","D",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000701","D",685.031582029539,1107.304705,718.884750351356,685.031582029539,752.737918673173,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000701","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000701","E",51.7639946647261,1107.304705,39.2799225168011,26.7958481542666,51.7639946647261,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000702","Na0210290","A",NA,NA,NA,NA,NA,NA,0.0662570125834,0.88958,0.08235717584636,0.0662570125834,0.09845733821974,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000702","Na0210290","B",NA,NA,NA,NA,NA,NA,0.00421409524692,0.88958,0.00972234614036,0.00421409524692,0.0152305970338,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000702","Na0210290","C",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000702","C",0.22718635616304,0.88958,0.18841055228642,0.16654696477576,0.2102741566991,0.01691219946394
"2009_Na0210290_fdw_Na0210290_fdw_1709000702","Na0210290","D",NA,NA,NA,NA,NA,NA,0.55033667967828,0.88958,0.57753344073216,0.55033667967828,0.60473020178604,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000702","Na0210290","E",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000702","E",0.04158585632836,0.88958,0.03155647520932,0.02152709231112,0.04158585632836,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000703","Na0210290","A",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000703","A",0.48036334122965,6.449455,0.59708952488611,0.48036334122965,0.713815702093115,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000703","Na0210290","B",2009,"westside","fdw","Na0210290_fdw","Na0210290_fdw_1709000703","B",0.47018777809795,6.449455,0.07048700951761,0.03055219054017,0.11042182849505,0.3597659496029
"2009_Na0210290_fdw_Na0210290_fdw_1709000703","Na0210290","C",NA,NA,NA,NA,NA,NA,1.20746549462426,6.449455,1.36597650407655,1.20746549462426,1.52448763606848,0
"2009_Na0210290_fdw_Na0210290_fdw_1709000703","Na0210290","D",NA,NA,NA,NA,NA,NA,3.98994092766753,6.449455,4.18711744530816,3.98994092766753,4.38429396294879,0
