"strataID","BpS","SCLASS","YEAR","ew","MAP_ZONE","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2011_Na0710411_fmt","Na0710411","C",2011,"westside","WCR","fmt","Na0710411_fmt","C",-9027.33662432826,378447.125155,16720.7151296505,11786.3372081297,21655.094943407,-20813.6738324579
"2011_Na0710411_fmt","Na0710411","C",2011,"westside","WNC","fmt","Na0710411_fmt","C",9689.20418067174,378447.125155,16720.7151296505,11786.3372081297,21655.094943407,-2097.13302745794
"2011_Na0710411_fmt","Na0710411","C",2011,"westside","WWC","fmt","Na0710411_fmt","C",-10825.6225943283,378447.125155,16720.7151296505,11786.3372081297,21655.094943407,-22611.9598024579
"2011_Na0710411_fmt","Na0710411","D",2011,"westside","WCR","fmt","Na0710411_fmt","D",1311.24092,378447.125155,13105.676548268,8682.43120621718,17528.9237825545,-7371.19028621718
"2011_Na0710411_fmt","Na0710411","D",2011,"westside","WNC","fmt","Na0710411_fmt","D",2881.34962,378447.125155,13105.676548268,8682.43120621718,17528.9237825545,-5801.08158621718
"2011_Na0710411_fmt","Na0710411","D",2011,"westside","WWC","fmt","Na0710411_fmt","D",45.590975,378447.125155,13105.676548268,8682.43120621718,17528.9237825545,-8636.84023121718
"2011_Na0710411_fmt","Na0710411","E",2011,"westside","WCR","fmt","Na0710411_fmt","E",59325.64541,378447.125155,326950.37273354,318704.786071466,335195.959017167,-259379.140661466
"2011_Na0710411_fmt","Na0710411","E",2011,"westside","WNC","fmt","Na0710411_fmt","E",78404.02288,378447.125155,326950.37273354,318704.786071466,335195.959017167,-240300.763191466
"2011_Na0710411_fmt","Na0710411","E",2011,"westside","WWC","fmt","Na0710411_fmt","E",717.00148,378447.125155,326950.37273354,318704.786071466,335195.959017167,-317987.784591466
"2011_Na0710412_fmc","Na0710412","A",2011,"eastside","OEC","fmc","Na0710412_fmc","A",777.93771,684510.237685,100972.362536764,86450.4778442765,115494.247229251,-85672.5401342765
"2011_Na0710412_fmc","Na0710412","A",2011,"eastside","OSW","fmc","Na0710412_fmc","A",745.690435,684510.237685,100972.362536764,86450.4778442765,115494.247229251,-85704.7874092765
"2011_Na0710412_fmc","Na0710412","A",2011,"westside","OWC","fmc","Na0710412_fmc","A",15543.853735,684510.237685,100972.362536764,86450.4778442765,115494.247229251,-70906.6241092765
"2011_Na0710412_fmc","Na0710412","A",2011,"westside","WCR","fmc","Na0710412_fmc","A",2963.19098,684510.237685,100972.362536764,86450.4778442765,115494.247229251,-83487.2868642765
