"type","REST_ACRES","YEAR","STATE","ew","BpS_Code","AREA_STRATA","REST_PCT"
"passive",6270.01618363056,2017,"Oregon","eastside","RaSPFI_fmz",240803.07894,0.0260379402590315
"both",92.3107281038197,2017,"Oregon","eastside","RaSSHE_fss",35555.845415,0.00259621806277953
"passive",18024.2325144158,2017,"Oregon","eastside","RaSSHE_fss",35555.845415,0.506927406845231
"active",347402.951264361,2017,"Oregon","eastside","RaTAOAco_ftm",586701.13908,0.592129328075142
"active",8543.5951279802,2017,"Oregon","eastside","RaTAOAco_fto",26825.72969,0.318485097207442
"passive",1110.81477265739,2017,"Oregon","eastside","RaTAOAco_fto",26825.72969,0.0414085575860954
"active",22382.2280368668,2017,"Oregon","westside","Na0210290_fdw",47801.13651,0.468236315514893
"both",15029.6275010488,2017,"Oregon","westside","Na0210290_fdw",47801.13651,0.314419877818273
"active",21038.7463762549,2017,"Oregon","westside","Na0210350_fvg",91147.923565,0.230819809748618
"both",13081.9955703661,2017,"Oregon","westside","Na0210350_fvg",91147.923565,0.143524888540516
"passive",6097.61066691144,2017,"Oregon","westside","Na0210350_fvg",91147.923565,0.0668979657288964
"active",52749.8306743514,2017,"Oregon","westside","Na0710412_fmc",279601.66585,0.188660645186036
"active",139.250616915959,2017,"Oregon","westside","Na0710412_fmh",642.499155,0.216732762731741
"active",4583.55126276825,2017,"Oregon","westside","Na0710412_fmi",21721.986835,0.211009761564854
"active",84.6580682047899,2017,"Oregon","westside","R1RFWF_fcw",269.98753,0.313562882718287
"active",59428.5222463162,2017,"Oregon","westside","RaABAMlw_fsi",800551.72318,0.0742344567197365
"both",29809.3409729265,2017,"Oregon","westside","RaABAMlw_fsi",800551.72318,0.037235996263322
"passive",104793.465148932,2017,"Oregon","westside","RaABAMlw_fsi",800551.72318,0.130901554658661
"active",24217.6406587688,2017,"Oregon","westside","RaABAMlw_fsw",283409.290645,0.0854511177232505
"both",9783.52118252221,2017,"Oregon","westside","RaABAMlw_fsw",283409.290645,0.0345208202605365
"passive",29988.1435189576,2017,"Oregon","westside","RaABAMlw_fsw",283409.290645,0.105812139929177
"active",6936.92868548296,2017,"Oregon","westside","RaABAMlw_fwc",80412.472125,0.0862668253091337
"both",2131.24869937263,2017,"Oregon","westside","RaABAMlw_fwc",80412.472125,0.0265039569491115
"passive",5651.60506377738,2017,"Oregon","westside","RaABAMlw_fwc",80412.472125,0.0702826926523543
"passive",12827.4379144439,2017,"Oregon","westside","RaABAMup_fsi",49085.467635,0.261328628054007
"active",126.262681454437,2017,"Oregon","westside","RaABAMup_fst",2646.722895,0.0477052893194689
"both",20.0401489145752,2017,"Oregon","westside","RaABAMup_fst",2646.722895,0.00757168381791446
"passive",20.0322948156463,2017,"Oregon","westside","RaABAMup_fst",2646.722895,0.00756871633728257
"passive",219.607530495527,2017,"Oregon","westside","RaABAMup_fsw",510.17413,0.430456029778553
"active",89.0802689680455,2017,"Oregon","westside","RaDFHEdy_fdg",1354.38555,0.0657717213300493
"both",203120.146847544,2017,"Oregon","westside","RaDFHEdy_fwi",2473657.107555,0.0821132994654668
"passive",421623.789515118,2017,"Oregon","westside","RaDFHEdy_fwi",2473657.107555,0.170445527081099
"passive",33684.1806379374,2017,"Oregon","westside","RaDFHEwt_fdm",124423.77544,0.270721415732805
"passive",32889.6909735749,2017,"Oregon","westside","RaDFHEwt_fhc",104850.569095,0.313681568516573
"passive",184.068676687683,2017,"Oregon","westside","RaDFHEwt_fwc",365.394985,0.503752608119903
"passive",123675.332840324,2017,"Oregon","westside","RaDFHEwt_fwm",422043.88419,0.293039035686267
"passive",641441.606673461,2017,"Oregon","westside","RaDFHEwt_fwn",1687557.945845,0.380100492698801
"passive",170772.986171831,2017,"Oregon","westside","RaDFHEwt_fww",472121.678315,0.361713926759981
"active",208973.00171488,2017,"Oregon","westside","RaDFWV_fwx",1236272.45508,0.169034747038311
"both",123542.261244118,2017,"Oregon","westside","RaDFWV_fwx",1236272.45508,0.0999312576580247
"active",74.2538580968437,2017,"Oregon","westside","RaMCONdy_fdx",145.00154,0.512090134331288
"both",38.2587918111444,2017,"Oregon","westside","RaMCONdy_fdx",145.00154,0.263850934349693
"active",50034.3687736127,2017,"Oregon","westside","RaMCONsw_fiw",106240.76024,0.470952661300466
"both",20366.7829701327,2017,"Oregon","westside","RaMCONsw_fiw",106240.76024,0.191704040183106
"active",381.578441822279,2017,"Oregon","westside","RaMCONsw_fvw",3929.71965,0.0971006778619129
"both",1657.53303126339,2017,"Oregon","westside","RaMCONsw_fvw",3929.71965,0.421794219153367
"passive",8.90136546156236,2017,"Oregon","westside","RaMCONsw_fvw",3929.71965,0.00226514007470288
"active",7623.60769843181,2017,"Oregon","westside","RaSAWD_fal",17420.867535,0.437613550709535
"both",38488.3993721021,2017,"Oregon","westside","RaSSHE_fss",707868.384535,0.0543722536745093
