"strataID","BpS","SCLASS","YEAR","STATE","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2003_Oregon_RaABAMup_fsw","RaABAMup","A",2003,"Oregon","fsw","RaABAMup_fsw","A",43.7144187897218,510.17413,53.8138988221024,43.7144187897218,63.9133783443089,0
"2003_Oregon_RaABAMup_fsw","RaABAMup","B",2003,"Oregon","fsw","RaABAMup_fsw","B",144.834968363613,510.17413,131.35222573351,117.869473410099,144.834968363613,0
"2003_Oregon_RaABAMup_fsw","RaABAMup","C",2003,"Oregon","fsw","RaABAMup_fsw","C",28.8700183456045,510.17413,11.8409277943395,7.38411444781882,16.2977411408602,12.5722772047443
"2003_Oregon_RaABAMup_fsw","RaABAMup","D",2003,"Oregon","fsw","RaABAMup_fsw","D",8.92132164944421,510.17413,13.9634960383737,8.92132164944421,19.0056719578255,0
"2003_Oregon_RaABAMup_fsw","RaABAMup","E",2003,"Oregon","fsw","RaABAMup_fsw","E",283.833402851617,510.17413,299.20358977446,283.833402851617,314.573776697304,0
"2003_Oregon_RaDFHEdy_fdg","RaDFHEdy","A",2003,"Oregon","fdg","RaDFHEdy_fdg","A",48.6797320740138,1354.38555,76.3946410949578,57.0788481000171,95.7104408618264,-8.3991160260033
"2003_Oregon_RaDFHEdy_fdg","RaDFHEdy","B",2003,"Oregon","fdg","RaDFHEdy_fdg","B",236.62828,1354.38555,230.114441687531,201.565573507082,258.66328548904,0
"2003_Oregon_RaDFHEdy_fdg","RaDFHEdy","C",2003,"Oregon","fdg","RaDFHEdy_fdg","C",98.1009679259862,1354.38555,79.4670200204097,60.8330653429054,98.1009679259862,0
"2003_Oregon_RaDFHEdy_fdg","RaDFHEdy","D",2003,"Oregon","fdg","RaDFHEdy_fdg","D",166.696123968045,1354.38555,207.514297593479,175.301942458137,239.726666272677,-8.60581849009108
"2003_Oregon_RaDFHEdy_fdg","RaDFHEdy","E",2003,"Oregon","fdg","RaDFHEdy_fdg","E",804.280446031955,1354.38555,760.895149603622,717.509851820904,804.280446031955,0
"2003_Oregon_RaDFHEdy_fwi","RaDFHEdy","A",2003,"Oregon","fwi","RaDFHEdy_fwi","A",229444.763184017,2964966.58168,167240.087481727,124954.727357612,209525.462430676,19919.3007533416
"2003_Oregon_RaDFHEdy_fwi","RaDFHEdy","B",2003,"Oregon","fwi","RaDFHEdy_fwi","B",566255.301071808,2964966.58168,503757.316050427,441259.277659646,566255.301071808,0
"2003_Oregon_RaDFHEdy_fwi","RaDFHEdy","C",2003,"Oregon","fwi","RaDFHEdy_fwi","C",214758.708501439,2964966.58168,173966.016328371,133173.309330471,214758.708501439,0
"2003_Oregon_RaDFHEdy_fwi","RaDFHEdy","D",2003,"Oregon","fwi","RaDFHEdy_fwi","D",383763.988837569,2964966.58168,454281.986089902,383763.988837569,524800.0129919,0
"2003_Oregon_RaDFHEdy_fwi","RaDFHEdy","E",2003,"Oregon","fwi","RaDFHEdy_fwi","E",1570743.82008517,2964966.58168,1665721.17572957,1570743.82008517,1760698.52840901,0
"2003_Oregon_RaDFHEdy_fwx","RaDFHEdy","A",2003,"Oregon","fwx","RaDFHEdy_fwx","A",4669.09663734667,110789.849965,6249.14436294776,4669.09663734667,7829.1926424981,0
"2003_Oregon_RaDFHEdy_fwx","RaDFHEdy","B",2003,"Oregon","fwx","RaDFHEdy_fwx","B",21158.8691202329,110789.849965,18823.5502581531,16488.2294018559,21158.8691202329,0
"2003_Oregon_RaDFHEdy_fwx","RaDFHEdy","C",2003,"Oregon","fwx","RaDFHEdy_fwx","C",11929.1464207854,110789.849965,6500.46748152832,4976.1946900951,8024.73971901228,3904.40670177315
"2003_Oregon_RaDFHEdy_fwx","RaDFHEdy","D",2003,"Oregon","fwx","RaDFHEdy_fwx","D",14339.8428191367,110789.849965,16974.8399161331,14339.8428191367,19609.838121028,0
"2003_Oregon_RaDFHEdy_fwx","RaDFHEdy","E",2003,"Oregon","fwx","RaDFHEdy_fwx","E",58692.8949674983,110789.849965,62241.8479462377,58692.8949674983,65790.8008141873,0
"2003_Oregon_RaDFHEwt_fdm","RaDFHEwt","A",2003,"Oregon","fdm","RaDFHEwt_fdm","A",8590.72541444284,143058.69728,6626.81576124169,4662.90653721664,8590.72541444284,0
"2003_Oregon_RaDFHEwt_fdm","RaDFHEwt","B",2003,"Oregon","fdm","RaDFHEwt_fdm","B",27606.1199312247,143058.69728,24324.1478402735,21042.1744617941,27606.1199312247,0
"2003_Oregon_RaDFHEwt_fdm","RaDFHEwt","C",2003,"Oregon","fdm","RaDFHEwt_fdm","C",1621.36690420127,143058.69728,865.747889153284,110.128731046603,1621.36690420127,2.27373675443232e-13
"2003_Oregon_RaDFHEwt_fdm","RaDFHEwt","D",2003,"Oregon","fdm","RaDFHEwt_fdm","D",5417.319805,143058.69728,4974.18809968689,3263.49849219533,6684.87756411976,0
"2003_Oregon_RaDFHEwt_fdm","RaDFHEwt","E",2003,"Oregon","fdm","RaDFHEwt_fdm","E",99823.1652251312,143058.69728,106267.796831292,102226.785907135,110308.818627911,-2403.62068200359
"2003_Oregon_RaDFHEwt_fhc","RaDFHEwt","A",2003,"Oregon","fhc","RaDFHEwt_fhc","A",8176.59001264533,136162.22833,6307.35507829332,4438.12055242799,8176.59001264533,0
"2003_Oregon_RaDFHEwt_fhc","RaDFHEwt","B",2003,"Oregon","fhc","RaDFHEwt_fhc","B",26275.3043110948,136162.22833,23151.5471280825,20027.7887196101,26275.3043110948,0
"2003_Oregon_RaDFHEwt_fhc","RaDFHEwt","C",2003,"Oregon","fhc","RaDFHEwt_fhc","C",1543.20523543186,136162.22833,824.012548697976,104.819725801859,1543.20523543187,0
"2003_Oregon_RaDFHEwt_fhc","RaDFHEwt","D",2003,"Oregon","fhc","RaDFHEwt_fhc","D",5102.18609,136162.22833,4734.39608121347,3106.17414598137,6362.61788028333,0
"2003_Oregon_RaDFHEwt_fhc","RaDFHEwt","E",2003,"Oregon","fhc","RaDFHEwt_fhc","E",95064.9426808281,136162.22833,101144.916676739,97298.711848925,104991.131852883,-2233.76916809696
"2003_Oregon_RaDFHEwt_fwc","RaDFHEwt","A",2003,"Oregon","fwc","RaDFHEwt_fwc","A",21.9420981990747,365.394985,16.9259562103897,11.9098153178896,21.9420981990747,0
"2003_Oregon_RaDFHEwt_fwc","RaDFHEwt","B",2003,"Oregon","fwc","RaDFHEwt_fwc","B",70.5104825499363,365.394985,62.1277965214429,53.7451072043945,70.5104825499363,0
"2003_Oregon_RaDFHEwt_fwc","RaDFHEwt","C",2003,"Oregon","fwc","RaDFHEwt_fwc","C",4.14123256330633,365.394985,2.21125973453955,0.281286540377775,4.14123256330633,0
"2003_Oregon_RaDFHEwt_fwc","RaDFHEwt","D",2003,"Oregon","fwc","RaDFHEwt_fwc","D",7.69747360194743,365.394985,12.7048786311461,8.33550147789544,17.0742554190018,-0.63802787594801
"2003_Oregon_RaDFHEwt_fwc","RaDFHEwt","E",2003,"Oregon","fwc","RaDFHEwt_fwc","E",261.103698085735,365.394985,271.425091710112,261.103698085735,281.746513104507,0
"2003_Oregon_RaDFHEwt_fwm","RaDFHEwt","A",2003,"Oregon","fwm","RaDFHEwt_fwm","A",43761.3847517473,728744.82558,33757.1765149298,23752.9704643469,43761.3847517473,0
"2003_Oregon_RaDFHEwt_fwm","RaDFHEwt","B",2003,"Oregon","fwm","RaDFHEwt_fwm","B",140626.312392916,728744.82558,123907.858887797,107189.398823974,140626.312392916,0
"2003_Oregon_RaDFHEwt_fwm","RaDFHEwt","C",2003,"Oregon","fwm","RaDFHEwt_fwm","C",8259.28632280733,728744.82558,4410.14287472801,560.998697903868,8259.28632280733,0
"2003_Oregon_RaDFHEwt_fwm","RaDFHEwt","D",2003,"Oregon","fwm","RaDFHEwt_fwm","D",21808.0537,728744.82558,25338.6470590712,16624.3484995579,34052.9448898397,0
"2003_Oregon_RaDFHEwt_fwm","RaDFHEwt","E",2003,"Oregon","fwm","RaDFHEwt_fwm","E",514289.788412529,728744.82558,541330.995871005,520745.978272751,561916.068853866,-6456.1898602217
"2003_Oregon_RaDFHEwt_fwn","RaDFHEwt","A",2003,"Oregon","fwn","RaDFHEwt_fwn","A",111911.859040865,1863633.62722,86327.8984700225,60743.9434900809,111911.859040865,0
"2003_Oregon_RaDFHEwt_fwn","RaDFHEwt","B",2003,"Oregon","fwn","RaDFHEwt_fwn","B",359626.463815781,1863633.62722,316872.030365832,274117.58014318,359626.463815781,0
"2003_Oregon_RaDFHEwt_fwn","RaDFHEwt","C",2003,"Oregon","fwn","RaDFHEwt_fwn","C",21121.6370775208,1863633.62722,11278.1460309464,1434.65312073836,21121.6370775208,1.09139364212751e-11
"2003_Oregon_RaDFHEwt_fwn","RaDFHEwt","D",2003,"Oregon","fwn","RaDFHEwt_fwn","D",87084.272813966,1863633.62722,64799.0257631825,42513.7768487653,87084.272813966,0
"2003_Oregon_RaDFHEwt_fwn","RaDFHEwt","E",2003,"Oregon","fwn","RaDFHEwt_fwn","E",1283889.39447187,1863633.62722,1384356.51540822,1331714.04074983,1436999.13170275,-47824.6462779655
"2003_Oregon_RaDFHEwt_fww","RaDFHEwt","A",2003,"Oregon","fww","RaDFHEwt_fww","A",30285.7579916777,504339.37478,23362.1875590372,16438.6186394149,30285.7579916777,0
"2003_Oregon_RaDFHEwt_fww","RaDFHEwt","B",2003,"Oregon","fww","RaDFHEwt_fww","B",97322.6621724734,504339.37478,85752.3921793386,74182.1176471495,97322.6621724734,0
"2003_Oregon_RaDFHEwt_fww","RaDFHEwt","C",2003,"Oregon","fww","RaDFHEwt_fww","C",5715.96964254037,504339.37478,3052.109081338,388.248015796266,5715.96964254036,3.63797880709171e-12
"2003_Oregon_RaDFHEwt_fww","RaDFHEwt","D",2003,"Oregon","fww","RaDFHEwt_fww","D",23566.8787376854,504339.37478,17536.011189338,11505.1431366513,23566.8787376854,0
"2003_Oregon_RaDFHEwt_fww","RaDFHEwt","E",2003,"Oregon","fww","RaDFHEwt_fww","E",347448.106235623,504339.37478,374636.671744912,360390.484957821,388882.896861796,-12942.3787221975
"2003_Oregon_RaDFWV_fwx","RaDFWV","A",2003,"Oregon","fwx","RaDFWV_fwx","A",182835.379963668,1274299.998525,158023.877176788,133212.387132907,182835.379963668,0
"2003_Oregon_RaDFWV_fwx","RaDFWV","B",2003,"Oregon","fwx","RaDFWV_fwx","B",236239.043762354,1274299.998525,207163.290998309,178087.512748264,236239.043762354,0
"2003_Oregon_RaDFWV_fwx","RaDFWV","C",2003,"Oregon","fwx","RaDFWV_fwx","C",84466.64153563,1274299.998525,107203.725372212,84466.64153563,129940.814305994,0
"2003_Oregon_RaDFWV_fwx","RaDFWV","D",2003,"Oregon","fwx","RaDFWV_fwx","D",336709.00349256,1274299.998525,405036.88403537,368806.220948507,441267.547122234,-32097.2174559475
"2003_Oregon_RaDFWV_fwx","RaDFWV","E",2003,"Oregon","fwx","RaDFWV_fwx","E",434049.929770788,1274299.998525,396872.209473621,359694.512113854,434049.929770788,0
"2003_Oregon_RaMCONdy_fdd","RaMCONdy","A",2003,"Oregon","fdd","RaMCONdy_fdd","A",247752.542402703,1523190.91643,212728.663652086,177704.783378278,247752.542402703,0
"2003_Oregon_RaMCONdy_fdd","RaMCONdy","B",2003,"Oregon","fdd","RaMCONdy_fdd","B",17229.4019306244,1523190.91643,9995.90230929896,2762.40268797354,17229.4019306244,0
"2003_Oregon_RaMCONdy_fdd","RaMCONdy","C",2003,"Oregon","fdd","RaMCONdy_fdd","C",525050.958220982,1523190.91643,481535.363224432,438019.769751073,525050.958220982,0
"2003_Oregon_RaMCONdy_fdd","RaMCONdy","D",2003,"Oregon","fdd","RaMCONdy_fdd","D",582535.111080645,1523190.91643,631381.182756024,582535.111080645,680227.252908213,0
"2003_Oregon_RaMCONdy_fdd","RaMCONdy","E",2003,"Oregon","fdd","RaMCONdy_fdd","E",150622.902795045,1523190.91643,187549.795349013,156252.168604041,218847.423617176,-5629.26580899593
"2003_Oregon_RaMCONdy_fdg","RaMCONdy","A",2003,"Oregon","fdg","RaMCONdy_fdg","A",121692.586363839,1043084.14564,145677.008696153,121692.586363839,169661.429985384,0
"2003_Oregon_RaMCONdy_fdg","RaMCONdy","B",2003,"Oregon","fdg","RaMCONdy_fdg","B",87718.1663814309,1043084.14564,6845.21362865886,1891.69881241932,11798.7284448984,75919.4379365325
"2003_Oregon_RaMCONdy_fdg","RaMCONdy","C",2003,"Oregon","fdg","RaMCONdy_fdg","C",327750.405745,1043084.14564,329756.3670624,299956.802772349,359555.932395534,0
"2003_Oregon_RaMCONdy_fdg","RaMCONdy","D",2003,"Oregon","fdg","RaMCONdy_fdg","D",398921.193720749,1043084.14564,432371.080003422,398921.193720749,465820.96524301,0
"2003_Oregon_RaMCONdy_fdg","RaMCONdy","E",2003,"Oregon","fdg","RaMCONdy_fdg","E",107001.793428981,1043084.14564,128434.469990862,107001.793428981,149867.147595827,0
"2003_Oregon_RaMCONdy_fdx","RaMCONdy","A",2003,"Oregon","fdx","RaMCONdy_fdx","A",536.277111143794,4596.682255,641.972101324794,536.277111143794,747.667086909112,0
"2003_Oregon_RaMCONdy_fdx","RaMCONdy","B",2003,"Oregon","fdx","RaMCONdy_fdx","B",320.139548641727,4596.682255,30.1656123813811,8.33637286042456,51.9948519023377,268.14469673939
"2003_Oregon_RaMCONdy_fdx","RaMCONdy","C",2003,"Oregon","fdx","RaMCONdy_fdx","C",1321.85511431027,4596.682255,1453.17637822878,1321.85511431027,1584.49764674398,0
"2003_Oregon_RaMCONdy_fdx","RaMCONdy","D",2003,"Oregon","fdx","RaMCONdy_fdx","D",1757.97319898337,4596.682255,1905.38076849732,1757.97319898337,2052.78833341459,0
"2003_Oregon_RaMCONdy_fdx","RaMCONdy","E",2003,"Oregon","fdx","RaMCONdy_fdx","E",660.43728192084,4596.682255,565.98736698763,471.537456651103,660.43728192084,0
"2003_Oregon_RaMCONdy_fmd","RaMCONdy","A",2003,"Oregon","fmd","RaMCONdy_fmd","A",69508.3789060698,595788.865965,83207.8027175857,69508.3789060698,96907.2259333128,0
"2003_Oregon_RaMCONdy_fmd","RaMCONdy","B",2003,"Oregon","fmd","RaMCONdy_fmd","B",20854.3887237444,595788.865965,3909.84953817366,1080.50064312608,6739.19843322124,14115.1902905231
"2003_Oregon_RaMCONdy_fmd","RaMCONdy","C",2003,"Oregon","fmd","RaMCONdy_fmd","C",191969.14005,595788.865965,188350.261863391,171329.344913563,205371.179409007,0
