"strataID","BpS","SCLASS","YEAR","ew","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2010_eastside_RaABAMlw_fwc","RaABAMlw","A",2010,"eastside","fwc","RaABAMlw_fwc","A",1262.23216982159,11407.52913,1500.59101942169,1262.23216982159,1738.94986902178,0
"2010_eastside_RaABAMlw_fwc","RaABAMlw","B",2010,"eastside","fwc","RaABAMlw_fwc","B",2687.68712218007,11407.52913,2375.40284095322,2063.11833157579,2687.68712218007,0
"2010_eastside_RaABAMlw_fwc","RaABAMlw","C",2010,"eastside","fwc","RaABAMlw_fwc","C",814.263885240242,11407.52913,337.972542441292,229.133124491496,446.811926168501,367.451959071741
"2010_eastside_RaABAMlw_fwc","RaABAMlw","D",2010,"eastside","fwc","RaABAMlw_fwc","D",667.341423744976,11407.52913,875.950258716126,667.341423744976,1084.55904805716,0
"2010_eastside_RaABAMlw_fwc","RaABAMlw","E",2010,"eastside","fwc","RaABAMlw_fwc","E",5976.00452901312,11407.52913,6317.61246846767,5976.00452901312,6659.22040792223,0
"2010_eastside_RaABLA_faf","RaABLA","A",2010,"eastside","faf","RaABLA_faf","A",1988.70766966492,15372.83198,2346.09666646367,1988.70766966492,2703.48564788959,0
"2010_eastside_RaABLA_faf","RaABLA","B",2010,"eastside","faf","RaABLA_faf","B",4166.33977332089,15372.83198,3252.8575036018,2853.5963098854,3652.11869731821,514.221076002679
"2010_eastside_RaABLA_faf","RaABLA","C",2010,"eastside","faf","RaABLA_faf","C",221.384845121419,15372.83198,134.642687558686,47.9005299959536,221.384845121419,0
"2010_eastside_RaABLA_faf","RaABLA","D",2010,"eastside","faf","RaABLA_faf","D",246.101330497359,15372.83198,400.764502955727,246.101330497359,555.427706159759,-2.8421709430404e-14
"2010_eastside_RaABLA_faf","RaABLA","E",2010,"eastside","faf","RaABLA_faf","E",8750.29836139541,15372.83198,9238.47069628427,8750.29836139541,9726.64244700551,0
"2010_eastside_RaDFHEdy_fwi","RaDFHEdy","A",2010,"eastside","fwi","RaDFHEdy_fwi","A",38637.6013776591,499288.78433,28162.5771048932,21041.8877245215,35283.2689817088,3354.33239595029
"2010_eastside_RaDFHEdy_fwi","RaDFHEdy","B",2010,"eastside","fwi","RaDFHEdy_fwi","B",95355.1795961102,499288.78433,84830.7631803544,74306.3377774006,95355.1795961102,0
"2010_eastside_RaDFHEdy_fwi","RaDFHEdy","C",2010,"eastside","fwi","RaDFHEdy_fwi","C",36164.5271668484,499288.78433,29295.1972356159,22425.8648079394,36164.5271668484,0
"2010_eastside_RaDFHEdy_fwi","RaDFHEdy","D",2010,"eastside","fwi","RaDFHEdy_fwi","D",64624.3558494925,499288.78433,76499.3109802021,64624.3558494925,88374.2711037995,0
"2010_eastside_RaDFHEdy_fwi","RaDFHEdy","E",2010,"eastside","fwi","RaDFHEdy_fwi","E",264507.12033989,499288.78433,280500.935828934,264507.12033989,296494.75081869,0
"2010_eastside_RaDFHEdy_fwx","RaDFHEdy","A",2010,"eastside","fwx","RaDFHEdy_fwx","A",4669.09663734667,110789.849965,6249.14436294776,4669.09663734667,7829.1926424981,0
"2010_eastside_RaDFHEdy_fwx","RaDFHEdy","B",2010,"eastside","fwx","RaDFHEdy_fwx","B",21158.8691202329,110789.849965,18823.5502581531,16488.2294018559,21158.8691202329,0
"2010_eastside_RaDFHEdy_fwx","RaDFHEdy","C",2010,"eastside","fwx","RaDFHEdy_fwx","C",11929.1464207854,110789.849965,6500.46748152832,4976.1946900951,8024.73971901228,3904.40670177315
"2010_eastside_RaDFHEdy_fwx","RaDFHEdy","D",2010,"eastside","fwx","RaDFHEdy_fwx","D",14339.8428191367,110789.849965,16974.8399161331,14339.8428191367,19609.838121028,0
"2010_eastside_RaDFHEdy_fwx","RaDFHEdy","E",2010,"eastside","fwx","RaDFHEdy_fwx","E",58692.8949674983,110789.849965,62241.8479462377,58692.8949674983,65790.8008141873,0
