BpS_Code,SCLASS,AREA_PCT,AREA,AREA_TOTAL
RaMCONdy_fdx,C,16.2929528246942,746.580015,4582.22658
RaMCONdy_fdx,D,4.87769365171811,223.506975,4582.22658
RaMCONdy_fdx,E,22.2481071636575,1019.45868,4582.22658
RaMCONdy_fmd,A,13.7191455540344,288062.01644,2099708.14367
RaMCONdy_fmd,B,45.5606965362778,956641.655485,2099708.14367
RaMCONdy_fmd,C,27.2518664181993,572209.658485,2099708.14367
RaMCONdy_fmd,D,1.3994508833804,29384.384165,2099708.14367
RaMCONdy_fmd,E,12.0688406081082,253410.429095,2099708.14367
RaMCONdy_fmx,A,12.2810281860273,73394.35311,597623.84711
RaMCONdy_fmx,B,46.6037366525529,278515.04388,597623.84711
RaMCONdy_fmx,C,31.0659202193495,185657.347555,597623.84711
RaMCONdy_fmx,D,1.12588558129634,6728.560725,597623.84711
RaMCONdy_fmx,E,8.92342936077386,53328.54184,597623.84711
RaMCONms_fcm,A,9.07066301082008,205208.092005,2262327.37078
RaMCONms_fcm,B,30.5289109019122,690663.907335,2262327.37078
RaMCONms_fcm,C,44.1452715362617,998710.56087,2262327.37078
RaMCONms_fcm,D,4.44855397321659,100640.85414,2262327.37078
RaMCONms_fcm,E,11.8066005777894,267103.95643,2262327.37078
RaMCONms_fmm,A,7.36101220302866,131398.52743,1785060.58414
RaMCONms_fmm,B,41.1380406880581,734338.94941,1785060.58414
RaMCONms_fmm,C,31.4742905155053,561835.15413,1785060.58414
RaMCONms_fmm,D,1.98409474976241,35417.29333,1785060.58414
RaMCONms_fmm,E,18.0425618436456,322070.65984,1785060.58414
RaMCONsw_fdm,A,9.89949498870725,25237.162205,254933.834845
RaMCONsw_fdm,B,58.8493872954198,150026.999815,254933.834845
RaMCONsw_fdm,C,7.44195946824204,18972.07266,254933.834845
RaMCONsw_fdm,D,1.82899754080699,4662.73357,254933.834845
RaMCONsw_fdm,E,21.9801607068239,56034.866595,254933.834845
RaMCONsw_fiw,A,5.7158736453711,63721.94977,1114824.32474
RaMCONsw_fiw,B,50.1842279343411,559465.980195,1114824.32474
RaMCONsw_fiw,C,11.2136062553313,125012.010215,1114824.32474
RaMCONsw_fiw,D,2.73207931995056,30457.88483,1114824.32474
RaMCONsw_fiw,E,30.154212845006,336166.49973,1114824.32474
RaMCONsw_fvw,A,9.08615232187302,10156.77965,111783.066035
RaMCONsw_fvw,B,54.1263705327744,60504.116515,111783.066035
RaMCONsw_fvw,C,9.38279022666637,10488.370595,111783.066035
RaMCONsw_fvw,D,2.99085018293666,3343.264035,111783.066035
RaMCONsw_fvw,E,24.4138367357495,27290.53524,111783.066035
RaMEVG_ftd,A,12.0549414579648,52337.327325,434156.627865
RaMEVG_ftd,B,38.0575221533593,165229.25483,434156.627865
RaMEVG_ftd,C,8.70060091579341,37774.23554,434156.627865
RaMEVG_ftd,D,5.18920574719533,22529.280685,434156.627865
RaMEVG_ftd,E,35.9977297256871,156286.529485,434156.627865
RaMEVG_fuc,A,39.9856226723147,43790.90987,109516.63859
