BpS_Code,MAP_ZONE,SCLASS,AREA_PCT,AREA,AREA_TOTAL
RaABAMlw_fsw,OEC,B,42.2038048103487,7168.68043,16985.862915
RaABAMlw_fsw,OEC,C,15.1197349987562,2568.21746,16985.862915
RaABAMlw_fsw,OEC,D,0.992445369679354,168.57541,16985.862915
RaABAMlw_fsw,OEC,E,32.9274519816175,5593.011855,16985.862915
RaABAMlw_fsw,OSW,A,5.24175511365947,286.667155,5468.915445
RaABAMlw_fsw,OSW,B,26.7496238461226,1462.91431,5468.915445
RaABAMlw_fsw,OSW,C,7.31975112846163,400.311,5468.915445
RaABAMlw_fsw,OSW,D,4.20885689886544,230.178825,5468.915445
RaABAMlw_fsw,OSW,E,56.4800130128909,3088.844155,5468.915445
RaABAMlw_fwc,OEC,A,11.0042187438395,620.704445,5640.604385
RaABAMlw_fwc,OEC,B,43.4254622875843,2449.45853,5640.604385
RaABAMlw_fwc,OEC,C,16.8394905965383,949.849045,5640.604385
RaABAMlw_fwc,OEC,D,4.23057209320664,238.629835,5640.604385
RaABAMlw_fwc,OEC,E,24.5002562788314,1381.96253,5640.604385
RaABAMlw_fwc,OSW,A,6.44616942288221,382.297005,5930.607465
RaABAMlw_fwc,OSW,B,37.4432819589755,2220.614075,5930.607465
RaABAMlw_fwc,OSW,C,6.17242284471444,366.06217,5930.607465
RaABAMlw_fwc,OSW,D,4.85243934450819,287.77913,5930.607465
RaABAMlw_fwc,OSW,E,45.0856864289197,2673.855085,5930.607465
RaABLA_faf,WNE,A,3.39318778796882,525.74178,15494.037255
RaABLA_faf,WNE,B,50.3394623146593,7799.615045,15494.037255
RaABLA_faf,WNE,C,1.91333304626161,296.452535,15494.037255
RaABLA_faf,WNE,D,0.00861215174611377,1.33437,15494.037255
RaABLA_faf,WNE,E,44.3454046993641,6870.893525,15494.037255
RaDFHEdy_fwi,OEC,A,8.86944155367995,5326.137855,60050.430715
RaDFHEdy_fwi,OEC,B,39.9067466122503,23964.173225,60050.430715
RaDFHEdy_fwi,OEC,C,16.0815800486636,9657.058085,60050.430715
