"YEAR","STATE","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
2002,"Oregon","RaDFHEwt","fwn","RaDFHEwt_fwn","D",118473.152425
2002,"Oregon","RaDFHEwt","fwn","RaDFHEwt_fwn","E",557565.17013
2002,"Oregon","RaDFHEwt","fww","RaDFHEwt_fww","A",50469.209325
2002,"Oregon","RaDFHEwt","fww","RaDFHEwt_fww","B",173191.663015
2002,"Oregon","RaDFHEwt","fww","RaDFHEwt_fww","C",70080.000425
2002,"Oregon","RaDFHEwt","fww","RaDFHEwt_fww","D",45661.029425
2002,"Oregon","RaDFHEwt","fww","RaDFHEwt_fww","E",164937.47259
2002,"Oregon","RaDFWV","fwx","RaDFWV_fwx","A",219052.180755
2002,"Oregon","RaDFWV","fwx","RaDFWV_fwx","B",314672.690165
2002,"Oregon","RaDFWV","fwx","RaDFWV_fwx","C",81741.949435
2002,"Oregon","RaDFWV","fwx","RaDFWV_fwx","D",17345.03084
2002,"Oregon","RaDFWV","fwx","RaDFWV_fwx","E",641488.14733
2002,"Oregon","RaMCONdy","fdd","RaMCONdy_fdd","A",285468.89074
2002,"Oregon","RaMCONdy","fdd","RaMCONdy_fdd","B",524420.531305
2002,"Oregon","RaMCONdy","fdd","RaMCONdy_fdd","C",601404.56211
2002,"Oregon","RaMCONdy","fdd","RaMCONdy_fdd","D",13826.074755
2002,"Oregon","RaMCONdy","fdd","RaMCONdy_fdd","E",98070.85752
2002,"Oregon","RaMCONdy","fdg","RaMCONdy_fdg","A",109985.224855
2002,"Oregon","RaMCONdy","fdg","RaMCONdy_fdg","B",487126.44657
2002,"Oregon","RaMCONdy","fdg","RaMCONdy_fdg","C",330855.26234
2002,"Oregon","RaMCONdy","fdg","RaMCONdy_fdg","D",9595.677065
2002,"Oregon","RaMCONdy","fdg","RaMCONdy_fdg","E",105521.53481
2002,"Oregon","RaMCONdy","fdx","RaMCONdy_fdx","A",307.34989
2002,"Oregon","RaMCONdy","fdx","RaMCONdy_fdx","B",2042.92047
2002,"Oregon","RaMCONdy","fdx","RaMCONdy_fdx","C",895.139875
2002,"Oregon","RaMCONdy","fdx","RaMCONdy_fdx","D",83.398125
2002,"Oregon","RaMCONdy","fdx","RaMCONdy_fdx","E",1267.873895
2002,"Oregon","RaMCONdy","fmd","RaMCONdy_fmd","A",62512.12097
2002,"Oregon","RaMCONdy","fmd","RaMCONdy_fmd","B",233472.05016
2002,"Oregon","RaMCONdy","fmd","RaMCONdy_fmd","C",192752.192845
2002,"Oregon","RaMCONdy","fmd","RaMCONdy_fmd","D",8495.711395
2002,"Oregon","RaMCONdy","fmd","RaMCONdy_fmd","E",98556.790595
2002,"Oregon","RaMCONdy","fmx","RaMCONdy_fmx","A",77664.7819
2002,"Oregon","RaMCONdy","fmx","RaMCONdy_fmx","B",275661.048845
2002,"Oregon","RaMCONdy","fmx","RaMCONdy_fmx","C",181842.828515
2002,"Oregon","RaMCONdy","fmx","RaMCONdy_fmx","D",4738.79266
