BpS_Code,BPS_LLID,SCLASS,AREA_PCT,AREA,AREA_TOTAL
RaMCONdy_fdd,RaMCONdy_fdd_1702000718,C,20.4714815660934,4185.02911,20443.215585
RaMCONdy_fdd,RaMCONdy_fdd_1702000718,D,0.203431132578354,41.587865,20443.215585
RaMCONdy_fdd,RaMCONdy_fdd_1702000718,E,9.27732993918823,1896.58456,20443.215585
RaMCONdy_fdd,RaMCONdy_fdd_1702000803,A,20.0520349377439,3359.49887,16753.90493
RaMCONdy_fdd,RaMCONdy_fdd_1702000803,B,44.8004884912523,7505.83125,16753.90493
RaMCONdy_fdd,RaMCONdy_fdd_1702000803,C,31.6045875700215,5295.002555,16753.90493
RaMCONdy_fdd,RaMCONdy_fdd_1702000803,D,0.0438049220803356,7.339035,16753.90493
RaMCONdy_fdd,RaMCONdy_fdd_1702000803,E,3.49908407890196,586.23322,16753.90493
RaPIPOm_fpd,RaPIPOm_fpd_1702000110,A,12.9537543510691,231.73559,1788.94538
RaPIPOm_fpd,RaPIPOm_fpd_1702000110,B,33.3540527100945,596.685785,1788.94538
RaPIPOm_fpd,RaPIPOm_fpd_1702000110,C,9.75882645450025,174.580075,1788.94538
RaPIPOm_fpd,RaPIPOm_fpd_1702000110,D,8.61511685728493,154.119735,1788.94538
RaPIPOm_fpd,RaPIPOm_fpd_1702000110,E,35.3182496270512,631.824195,1788.94538
RaMCONdy_fdd,RaMCONdy_fdd_1702000616,A,5.3625148345431,1296.340455,24174.114105
RaMCONdy_fdd,RaMCONdy_fdd_1702000616,B,69.6142558809189,16828.62965,24174.114105
RaMCONdy_fdd,RaMCONdy_fdd_1702000616,C,21.7315706676234,5253.41469,24174.114105
RaMCONdy_fdd,RaMCONdy_fdd_1702000616,D,0.0818774781736722,19.793155,24174.114105
RaMCONdy_fdd,RaMCONdy_fdd_1702000616,E,3.20978113874093,775.936155,24174.114105
RaPIPOm_fpd,RaPIPOm_fpd_1702000616,A,16.2637072268464,273.768245,1683.307755
RaPIPOm_fpd,RaPIPOm_fpd_1702000616,B,45.5938697318008,767.485145,1683.307755
RaPIPOm_fpd,RaPIPOm_fpd_1702000616,C,9.57854406130268,161.236375,1683.307755
RaPIPOm_fpd,RaPIPOm_fpd_1702000616,D,11.5074646584754,193.706045,1683.307755
RaPIPOm_fpd,RaPIPOm_fpd_1702000616,E,17.0564143215748,287.111945,1683.307755
RaPIPOm_fpd,RaPIPOm_fpd_1702000220,A,18.4114953418601,259.31257,1408.427535
RaPIPOm_fpd,RaPIPOm_fpd_1702000220,B,19.0431075319754,268.20837,1408.427535
RaPIPOm_fpd,RaPIPOm_fpd_1702000220,C,12.7269856308227,179.25037,1408.427535
RaPIPOm_fpd,RaPIPOm_fpd_1702000220,D,15.9166271909048,224.17416,1408.427535
RaPIPOm_fpd,RaPIPOm_fpd_1702000220,E,33.9017843044371,477.482065,1408.427535
RaMCONdy_fdd,RaMCONdy_fdd_1702000719,A,3.52137827363977,1469.14137,41720.634815
RaMCONdy_fdd,RaMCONdy_fdd_1702000719,B,69.673822076046,29068.36087,41720.634815
RaMCONdy_fdd,RaMCONdy_fdd_1702000719,C,17.1159453509384,7140.881055,41720.634815
RaMCONdy_fdd,RaMCONdy_fdd_1702000719,D,0.255334573580601,106.527205,41720.634815
RaMCONdy_fdd,RaMCONdy_fdd_1702000719,E,9.43351972579519,3935.724315,41720.634815
RaPIPOm_fpd,RaPIPOm_fpd_1702000719,A,8.51807228915663,157.233265,1845.8785
RaPIPOm_fpd,RaPIPOm_fpd_1702000719,B,47.5542168674699,877.793065,1845.8785
RaPIPOm_fpd,RaPIPOm_fpd_1702000719,C,9.6144578313253,177.47121,1845.8785
RaPIPOm_fpd,RaPIPOm_fpd_1702000719,D,8.49397590361446,156.788475,1845.8785
RaPIPOm_fpd,RaPIPOm_fpd_1702000719,E,25.8192771084337,476.592485,1845.8785
RaMCONdy_fdd,RaMCONdy_fdd_1702000801,A,10.006458828904,1412.65304,14117.412205
RaMCONdy_fdd,RaMCONdy_fdd_1702000801,B,58.8178767781471,8303.562115,14117.412205
RaMCONdy_fdd,RaMCONdy_fdd_1702000801,C,13.6675120906126,1929.49902,14117.412205
RaMCONdy_fdd,RaMCONdy_fdd_1702000801,D,0.379653113628129,53.597195,14117.412205
RaMCONdy_fdd,RaMCONdy_fdd_1702000801,E,17.1284991887081,2418.100835,14117.412205
RaPIPOm_fpd,RaPIPOm_fpd_1701021604,A,3.44827586206897,0.222395,6.449455
RaPIPOm_fpd,RaPIPOm_fpd_1701021604,B,68.9655172413793,4.4479,6.449455
RaPIPOm_fpd,RaPIPOm_fpd_1701021604,E,27.5862068965517,1.77916,6.449455
RaMCONdy_fdd,RaMCONdy_fdd_1702000213,A,6.91127718154745,2735.4585,39579.63815
RaMCONdy_fdd,RaMCONdy_fdd_1702000213,B,63.431477215261,25105.949155,39579.63815
RaMCONdy_fdd,RaMCONdy_fdd_1702000213,C,25.5380120244985,10107.85275,39579.63815
RaMCONdy_fdd,RaMCONdy_fdd_1702000213,D,0.429847727145025,170.132175,39579.63815
RaMCONdy_fdd,RaMCONdy_fdd_1702000213,E,3.68938585154801,1460.24557,39579.63815
RaPIPOm_fpd,RaPIPOm_fpd_1702000213,A,11.9266055045872,303.569175,2545.310775
RaPIPOm_fpd,RaPIPOm_fpd_1702000213,B,43.2590650939275,1101.077645,2545.310775
RaPIPOm_fpd,RaPIPOm_fpd_1702000213,C,14.6701616426387,373.401205,2545.310775
RaPIPOm_fpd,RaPIPOm_fpd_1702000213,D,10.1965923984273,259.534965,2545.310775
RaPIPOm_fpd,RaPIPOm_fpd_1702000213,E,19.9475753604194,507.727785,2545.310775
RaPIPOm_fpd,RaPIPOm_fpd_1702000718,A,18.4905660377359,10.897355,58.934675
RaPIPOm_fpd,RaPIPOm_fpd_1702000718,B,45.6603773584906,26.909795,58.934675
RaPIPOm_fpd,RaPIPOm_fpd_1702000718,C,9.81132075471698,5.78227,58.934675
RaPIPOm_fpd,RaPIPOm_fpd_1702000718,D,13.5849056603774,8.00622,58.934675
RaPIPOm_fpd,RaPIPOm_fpd_1702000718,E,12.4528301886792,7.339035,58.934675
RaMCONdy_fdd,RaMCONdy_fdd_1702000617,A,7.5077248156537,2307.348125,30732.987445
RaMCONdy_fdd,RaMCONdy_fdd_1702000617,B,63.3608556273563,19472.683805,30732.987445
RaMCONdy_fdd,RaMCONdy_fdd_1702000617,C,23.6136940900638,7257.19364,30732.987445
RaMCONdy_fdd,RaMCONdy_fdd_1702000617,D,0.0904545158512494,27.799375,30732.987445
RaMCONdy_fdd,RaMCONdy_fdd_1702000617,E,5.42727095107496,1667.9625,30732.987445
RaPIPOm_fpd,RaPIPOm_fpd_1702000617,A,38.5813148788927,49.594085,128.54431
RaPIPOm_fpd,RaPIPOm_fpd_1702000617,B,30.1038062283737,38.69673,128.54431
RaPIPOm_fpd,RaPIPOm_fpd_1702000617,C,14.1868512110727,18.23639,128.54431
RaPIPOm_fpd,RaPIPOm_fpd_1702000617,D,6.74740484429066,8.673405,128.54431
RaPIPOm_fpd,RaPIPOm_fpd_1702000617,E,10.3806228373702,13.3437,128.54431
RaMCONdy_fdd,RaMCONdy_fdd_1701021502,A,1.10923199363311,49.594085,4471.02908
RaMCONdy_fdd,RaMCONdy_fdd_1701021502,B,77.4273776362913,3461.80057,4471.02908
RaMCONdy_fdd,RaMCONdy_fdd_1701021502,C,18.6629526462396,834.42604,4471.02908
RaMCONdy_fdd,RaMCONdy_fdd_1701021502,E,2.80043772383605,125.208385,4471.02908
RaPIPOm_fpd,RaPIPOm_fpd_1702000803,A,8.13953488372093,3.11353,38.25194
RaPIPOm_fpd,RaPIPOm_fpd_1702000803,B,37.2093023255814,14.23328,38.25194
RaPIPOm_fpd,RaPIPOm_fpd_1702000803,C,8.13953488372093,3.11353,38.25194
RaPIPOm_fpd,RaPIPOm_fpd_1702000803,D,13.3720930232558,5.115085,38.25194
RaPIPOm_fpd,RaPIPOm_fpd_1702000803,E,33.1395348837209,12.676515,38.25194
RaMCONdy_fdd,RaMCONdy_fdd_1701021603,A,5.80420865742968,3300.78659,56868.847845
RaMCONdy_fdd,RaMCONdy_fdd_1701021603,B,74.6287801463371,42440.52743,56868.847845
RaMCONdy_fdd,RaMCONdy_fdd_1701021603,C,16.3113827719574,9276.09545,56868.847845
RaMCONdy_fdd,RaMCONdy_fdd_1701021603,D,0.0250282545529915,14.23328,56868.847845
RaMCONdy_fdd,RaMCONdy_fdd_1701021603,E,3.23060016972285,1837.205095,56868.847845
RaMCONdy_fdd,RaMCONdy_fdd_1702000618,A,10.1256328520533,3122.4258,30836.84591
RaMCONdy_fdd,RaMCONdy_fdd_1702000618,B,58.4481241616063,18023.557985,30836.84591
RaMCONdy_fdd,RaMCONdy_fdd_1702000618,C,26.7644131604379,8253.300845,30836.84591
RaMCONdy_fdd,RaMCONdy_fdd_1702000618,D,0.153615370191406,47.370135,30836.84591
RaMCONdy_fdd,RaMCONdy_fdd_1702000618,E,4.50821445571117,1390.191145,30836.84591
RaMCONdy_fdd,RaMCONdy_fdd_1702000804,A,10.0635471750441,8392.74251,83397.457815
RaMCONdy_fdd,RaMCONdy_fdd_1702000804,B,56.0657818595882,46757.436775,83397.457815
RaMCONdy_fdd,RaMCONdy_fdd_1702000804,C,25.9618076944616,21651.48762,83397.457815
RaMCONdy_fdd,RaMCONdy_fdd_1702000804,D,0.0346669440022187,28.91135,83397.457815
RaMCONdy_fdd,RaMCONdy_fdd_1702000804,E,7.87419632690395,6566.87956,83397.457815
RaPIPOm_fpd,RaPIPOm_fpd_1702000618,A,21.6034887621604,143.22238,662.959495
RaPIPOm_fpd,RaPIPOm_fpd_1702000618,B,36.90036900369,244.6345,662.959495
RaPIPOm_fpd,RaPIPOm_fpd_1702000618,C,8.45353908084535,56.04354,662.959495
RaPIPOm_fpd,RaPIPOm_fpd_1702000618,D,15.1291512915129,100.300145,662.959495
RaPIPOm_fpd,RaPIPOm_fpd_1702000618,E,17.9134518617913,118.75893,662.959495
RaPIPOm_fpd,RaPIPOm_fpd_1701021603,A,12.1580547112462,35.5832,292.67182
RaPIPOm_fpd,RaPIPOm_fpd_1701021603,B,60.8662613981763,178.138395,292.67182
RaPIPOm_fpd,RaPIPOm_fpd_1701021603,C,5.31914893617021,15.56765,292.67182
