LF_BpS_Code,FRG,Order,Donate,Receive,Primary,Secondary,ActiveOnly,ActivePassive,PassiveOnly
Na0710411_fmt,5,3,D,A,Regen / high fire,None,1,0,0
Na0710411_fmt,5,4,E,A,Regen / high fire,None,1,0,0
Na0710411_fmt,5,5,D,C,Overstory removal,None,1,0,0
Na0710411_fmt,5,6,E,C,Overstory removal,None,1,0,0
Na0710411_fmt,5,7,B,C,Thin / low fire,None,1,0,0
Na0710411_fmt,5,8,E,D,Thin / low fire,None,1,0,0
Na0710411_fmt,5,9,A,B,Grow w/o fire,None,0,0,1
Na0710411_fmt,5,10,B,E,Grow w/o fire,None,0,0,1
Na0710411_fmt,5,11,C,B,Grow w/o fire,None,0,0,1
Na0710411_fmt,5,12,D,E,Grow w/o fire,None,0,0,1
Na0710411_fmt,5,13,A,C,Grow w/ fire,None,0,0,1
Na0710411_fmt,5,14,C,D,Grow w/ fire,None,0,0,1
Na0710411_fmt,5,15,D,B,Regen / high fire,Grow w/o fire,0,1,0
Na0710411_fmt,5,16,E,B,Regen / high fire,Grow w/o fire,0,1,0
Na0710411_fmt,5,17,B,D,Thin / low fire,Grow w/ fire,0,1,0
Na0710411_fmt,5,18,A,E,Grow w/o fire,Grow w/o fire,0,0,1
Na0710411_fmt,5,19,C,E,Grow w/o fire,Grow w/o fire,0,0,1
Na0710411_fmt,5,20,A,D,Grow w/ fire,Grow w/ fire,0,0,1
Na0710412_fmc,5,1,B,A,Regen / high fire,None,1,0,0
Na0710412_fmc,5,2,C,A,Regen / high fire,None,1,0,0
Na0710412_fmc,5,3,D,A,Regen / high fire,None,1,0,0
Na0710412_fmc,5,4,E,A,Regen / high fire,None,1,0,0
Na0710412_fmc,5,5,D,C,Overstory removal,None,1,0,0
Na0710412_fmc,5,6,E,C,Overstory removal,None,1,0,0
Na0710412_fmc,5,7,B,C,Thin / low fire,None,1,0,0
Na0710412_fmc,5,8,E,D,Thin / low fire,None,1,0,0
Na0710412_fmc,5,9,A,B,Grow w/o fire,None,0,0,1
