ID,BPS_code,BPS_ID,SizeClass_max,SizeClass_min,Cover_max,Cover_min,SClass
69,12,RaMCONms,7.000000000000000,6.000000000000000,55.899999999999999,0.000000000000000,D
70,12,RaMCONms,7.000000000000000,6.000000000000000,100.000000000000000,56.000000000000000,E
71,11,RaMCONsw,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
72,11,RaMCONsw,5.000000000000000,3.000000000000000,100.000000000000000,41.000000000000000,B
73,11,RaMCONsw,5.000000000000000,3.000000000000000,40.899999999999999,0.000000000000000,C
74,11,RaMCONsw,7.000000000000000,6.000000000000000,40.899999999999999,0.000000000000000,D
75,11,RaMCONsw,7.000000000000000,6.000000000000000,100.000000000000000,41.000000000000000,E
76,22,RaMEVG,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
77,22,RaMEVG,4.000000000000000,3.000000000000000,100.000000000000000,41.000000000000000,B
78,22,RaMEVG,4.000000000000000,3.000000000000000,40.899999999999999,0.000000000000000,C
79,22,RaMEVG,7.000000000000000,5.000000000000000,40.899999999999999,0.000000000000000,D
80,22,RaMEVG,7.000000000000000,5.000000000000000,100.000000000000000,41.000000000000000,E
81,26,RaOAPI,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
82,26,RaOAPI,3.000000000000000,3.000000000000000,100.000000000000000,31.000000000000000,B
83,26,RaOAPI,3.000000000000000,3.000000000000000,30.899999999999999,0.000000000000000,C
84,26,RaOAPI,7.000000000000000,4.000000000000000,30.899999999999999,0.000000000000000,D
85,26,RaOAPI,7.000000000000000,4.000000000000000,100.000000000000000,31.000000000000000,E
86,23,RaPICOpu,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
87,23,RaPICOpu,5.000000000000000,3.000000000000000,100.000000000000000,41.000000000000000,B
88,23,RaPICOpu,5.000000000000000,3.000000000000000,40.899999999999999,0.000000000000000,C
89,23,RaPICOpu,7.000000000000000,6.000000000000000,40.899999999999999,0.000000000000000,D
90,23,RaPICOpu,7.000000000000000,6.000000000000000,100.000000000000000,41.000000000000000,E
91,24,RaPIPOm,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
92,24,RaPIPOm,4.000000000000000,3.000000000000000,100.000000000000000,31.000000000000000,B
93,24,RaPIPOm,4.000000000000000,3.000000000000000,30.899999999999999,0.000000000000000,C
94,24,RaPIPOm,7.000000000000000,5.000000000000000,30.899999999999999,0.000000000000000,D
95,24,RaPIPOm,7.000000000000000,5.000000000000000,100.000000000000000,31.000000000000000,E
96,25,RaPIPOxe,2.000000000000000,1.000000000000000,100.000000000000000,0.000000000000000,A
97,25,RaPIPOxe,5.000000000000000,3.000000000000000,100.000000000000000,26.000000000000000,B
98,25,RaPIPOxe,5.000000000000000,3.000000000000000,25.899999999999999,0.000000000000000,C
