OBJECTID,LF_BpS_Code,BpS,PVT,Sclass,BPS_SCLASS_old,BPS_SCLASS,Avg_,Minus_2_SD,Plus_2_SD,FRG,LL
73,RaABAMup_fsi,RaABAMup,fsi,E,RaABAMup_E,RaABAMup_fsi_E,58.6473465,55.6346130,61.6600800,5,3
74,RaABAMup_fsi,RaABAMup,fsi,C,RaABAMup_C,RaABAMup_fsi_C,2.3209581,1.4473714,3.1945448,5,3
75,RaABAMup_fsi,RaABAMup,fsi,D,RaABAMup_D,RaABAMup_fsi_D,2.7370059,1.7486817,3.7253304,5,3
76,RaABAMup_fst,RaABAMup,fst,A,RaABAMup_A,RaABAMup_fst_A,10.5481434,8.5685291,12.5277576,5,3
77,RaABAMup_fst,RaABAMup,fst,B,RaABAMup_B,RaABAMup_fst_B,25.7465477,23.1037731,28.3893204,5,3
78,RaABAMup_fst,RaABAMup,fst,E,RaABAMup_E,RaABAMup_fst_E,58.6473465,55.6346130,61.6600800,5,3
79,RaABAMup_fst,RaABAMup,fst,C,RaABAMup_C,RaABAMup_fst_C,2.3209581,1.4473714,3.1945448,5,3
80,RaABAMup_fst,RaABAMup,fst,D,RaABAMup_D,RaABAMup_fst_D,2.7370059,1.7486817,3.7253304,5,3
81,RaABAMup_fsw,RaABAMup,fsw,A,RaABAMup_A,RaABAMup_fsw_A,10.5481434,8.5685291,12.5277576,5,3
82,RaABAMup_fsw,RaABAMup,fsw,B,RaABAMup_B,RaABAMup_fsw_B,25.7465477,23.1037731,28.3893204,5,3
83,RaABAMup_fsw,RaABAMup,fsw,E,RaABAMup_E,RaABAMup_fsw_E,58.6473465,55.6346130,61.6600800,5,3
84,RaABAMup_fsw,RaABAMup,fsw,C,RaABAMup_C,RaABAMup_fsw_C,2.3209581,1.4473714,3.1945448,5,3
85,RaABAMup_fsw,RaABAMup,fsw,D,RaABAMup_D,RaABAMup_fsw_D,2.7370059,1.7486817,3.7253304,5,3
86,RaABLA_faf,RaABLA,faf,A,RaABLA_A,RaABLA_faf_A,15.2613173,12.9365082,17.5861263,4,3
87,RaABLA_faf,RaABLA,faf,B,RaABLA_B,RaABLA_faf_B,21.1597805,18.5625935,23.7569675,4,3
88,RaABLA_faf,RaABLA,faf,E,RaABLA_E,RaABLA_faf_E,60.0960884,56.9205360,63.2716370,4,3
89,RaABLA_faf,RaABLA,faf,C,RaABLA_C,RaABLA_faf_C,0.8758483,0.3115921,1.4401045,4,3
90,RaABLA_faf,RaABLA,faf,D,RaABLA_D,RaABLA_faf_D,2.6069660,1.6008848,3.6130474,4,3
