"PLT_CN","sclass"
24001795010900,NA
24001808010900,"B"
24002074010900,NA
24002088010900,NA
24002102010900,NA
24002116010900,"E"
24002436010900,"E"
24002743010900,"D"
24002947010900,"B"
24003133010900,NA
24003147010900,"A"
24003271010900,"D"
24003369010900,"E"
24003671010900,"B"
24003849010900,NA
24004006010900,NA
41118070010497,"C"
41118071010497,"C"
41118072010497,"E"
41118073010497,"D"
41118074010497,"B"
41118075010497,"C"
41118076010497,"E"
41118077010497,"D"
41118078010497,"C"
41118079010497,"B"
41118080010497,"C"
41118081010497,"C"
41118082010497,"C"
41118083010497,NA
41118084010497,"C"
41118085010497,"E"
41118086010497,"E"
41118087010497,"E"
41118089010497,NA
41118090010497,"C"
41118093010497,"B"
41118094010497,"B"
41118095010497,"A"
41118096010497,NA
41118097010497,"D"
41118099010497,"A"
41118100010497,"C"
41118101010497,"E"
41118102010497,"E"
41118103010497,"E"
41118104010497,"E"
41118105010497,"E"
41118106010497,"A"
41118107010497,"C"
41118108010497,"E"
41118109010497,NA
41118110010497,"D"
41118111010497,"C"
41118112010497,"E"
41118113010497,"E"
41118114010497,"D"
41118115010497,"E"
41118116010497,"B"
41118117010497,"B"
41118118010497,"B"
41118119010497,"B"
41118120010497,"E"
41118121010497,"C"
41118122010497,"C"
41118123010497,"C"
41118124010497,"B"
41118125010497,"B"
41118126010497,"E"
41118127010497,"C"
41118129010497,"B"
41118130010497,"C"
41118131010497,"E"
15346058010497,NA
15346073010497,NA
15346088010497,NA
15346103010497,NA
15346118010497,NA
15346133010497,NA
15346148010497,NA
15346162010497,NA
15346177010497,NA
15346186010497,NA
15346201010497,NA
15346216010497,NA
15346231010497,NA
15346246010497,NA
15346261010497,NA
15346276010497,NA
15346291010497,NA
15346306010497,NA
15346321010497,NA
15346350010497,NA
15346365010497,NA
15346381010497,NA
15346397010497,NA
15346414010497,NA
15346428010497,NA
15346443010497,NA
15346458010497,NA
15346473010497,NA
15346501010497,NA
15346516010497,NA
15346531010497,NA
15346546010497,NA
15346561010497,NA
15346576010497,NA
15346590010497,NA
15346605010497,NA
15346620010497,NA
15346635010497,NA
15346650010497,NA
15346665010497,NA
15346679010497,NA
15346693010497,NA
15346708010497,NA
15346722010497,NA
15346736010497,NA
15346750010497,NA
15346764010497,NA
15346778010497,NA
15346793010497,NA
15346807010497,NA
15346821010497,NA
15346835010497,NA
15346849010497,NA
15346863010497,NA
15346877010497,NA
15346891010497,NA
15346905010497,NA
15346919010497,NA
15346933010497,NA
15346947010497,NA
15346961010497,NA
15346976010497,NA
15346990010497,NA
15347004010497,NA
24431198010900,"A"
24431459010900,"D"
24431835010900,"E"
24432032010900,"B"
24432240010900,"C"
24432371010900,"A"
24432451010900,"C"
24432544010900,"E"
24432691010900,NA
24432707010900,NA
24432724010900,"E"
24432939010900,"E"
24433133010900,"B"
24433293010900,"E"
24433469010900,"E"
24433594010900,"B"
24433761010900,"C"
24433855010900,"E"
24434038010900,"C"
24434183010900,"C"
24434305010900,NA
24434335010900,NA
24434352010900,"B"
24434510010900,NA
24434633010900,"A"
24434761010900,"B"
24434859010900,"B"
24435043010900,"A"
24435139010900,NA
24435316010900,NA
24435331010900,NA
24435348010900,"A"
24435422010900,NA
24435565010900,NA
24435580010900,"C"
24435675010900,"C"
24435800010900,NA
24435832010900,NA
24435849010900,"A"
24435945010900,NA
24435975010900,NA
24435990010900,"B"
24436180010900,"D"
24436364010900,NA
24436380010900,"E"
24436574010900,NA
24436597010900,"A"
24436647010900,"A"
24436850010900,"C"
24437030010900,"D"
24437199010900,"A"
24437425010900,"B"
15347033010497,NA
15347048010497,NA
15347062010497,NA
15347076010497,NA
15347091010497,NA
15347105010497,NA
15347119010497,NA
15347133010497,NA
15347147010497,NA
15347162010497,NA
15347176010497,NA
15347217010497,NA
15347230010497,NA
15347245010497,NA
15347259010497,NA
15347274010497,NA
15347289010497,NA
15347304010497,NA
15347319010497,NA
15347334010497,NA
15347349010497,NA
15347358010497,NA
15347373010497,NA
15347388010497,NA
15347402010497,NA
15347416010497,NA
15347430010497,NA
15347444010497,NA
15347458010497,NA
