"strataID","YEAR","BpS_Code","SCLASS","BPS_LLID","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N","AREA_STRATA","avg","low","high","departure"
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030702",2002,"RaMCONdy_fdd","C",NA,NA,0,12050.0813717536,NA,NA,NA,NA,41903.5298295517,13247.2109958163,12050.0813717536,14444.3406617825,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030702",2002,"RaMCONdy_fdd","D",NA,NA,0,16025.7503774648,NA,NA,NA,NA,41903.5298295517,17369.5233736319,16025.7503774648,18713.2963278955,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030702",2002,"RaMCONdy_fdd","E",NA,NA,0,4298.55334443395,NA,NA,NA,NA,41903.5298295517,5159.56231038545,4298.55334443395,6020.57131824048,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030703",2002,"RaMCONdy_fdd","A","RaMCONdy_fdd_1701030703","A",0.954119933035513,10606.6794751582,0.00799676565521586,4151762815.52827,1,592,47016.8470490127,6566.36731087716,5485.27340194284,7647.46117279463,2959.21830236358
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030703",2002,"RaMCONdy_fdd","B",NA,NA,0,85.2680141847486,NA,NA,NA,NA,47016.8470490127,308.54688333797,85.2680141847486,531.825752491191,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030703",2002,"RaMCONdy_fdd","C",NA,NA,0,13520.5037639656,NA,NA,NA,NA,47016.8470490127,14863.7142443558,13520.5037639656,16206.9247717628,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030703",2002,"RaMCONdy_fdd","D",NA,NA,0,17981.3074795322,NA,NA,NA,NA,47016.8470490127,19489.0556259623,17981.3074795322,20996.8037253755,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030703",2002,"RaMCONdy_fdd","E",NA,NA,0,4823.08831617194,NA,NA,NA,NA,47016.8470490127,5789.16270237844,4823.08831617194,6755.2371356018,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030801",2002,"RaMCONdy_fdd","A","RaMCONdy_fdd_1701030801","A",0.0757884636212333,28728.9652626808,4.8538551773973e-05,20419207.7981621,1,592,246249.414870267,34391.1642233505,28728.9652626808,40053.3629377708,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030801",2002,"RaMCONdy_fdd","B","RaMCONdy_fdd_1701030801","B",1.48091301476865,2785.42243012114,0.0186630570974243,4644048371.41135,1,592,246249.414870267,1616.00562885075,446.588827580366,2785.42243012114,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030801",2002,"RaMCONdy_fdd","C","RaMCONdy_fdd_1701030801","C",2.32187898067041,85178.0700501809,0.0466567537310967,6713632103.34739,2,592,246249.414870267,77848.2855657229,70813.2584296222,84883.312948073,294.757102107906
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030801",2002,"RaMCONdy_fdd","D",NA,NA,0,94176.5925056888,NA,NA,NA,NA,246249.414870267,102073.38104285,94176.5925056888,109970.169333763,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030801",2002,"RaMCONdy_fdd","E","RaMCONdy_fdd_1701030801","E",1.11859587182229,35380.3646215952,0.0105737011717066,4448146752.01163,1,592,246249.414870267,30320.5769319957,25260.7894886456,35380.3646215952,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030802",2002,"RaMCONdy_fdd","A","RaMCONdy_fdd_1701030802","A",0.668042000501439,8098.14449528347,0.00388076782905309,1788337568.15611,1,592,43892.7748631695,6130.05975804282,5120.80000267617,7139.3194695167,958.825025766776
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030802",2002,"RaMCONdy_fdd","B",NA,NA,0,79.6023124591743,NA,NA,NA,NA,43892.7748631695,288.045237720178,79.6023124591743,496.488162981182,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030802",2002,"RaMCONdy_fdd","C",NA,NA,0,12622.1230260237,NA,NA,NA,NA,43892.7748631695,13876.0828066137,12622.1230260237,15130.0426310966,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030802",2002,"RaMCONdy_fdd","D",NA,NA,0,16786.5250539191,NA,NA,NA,NA,43892.7748631695,18194.0896631033,16786.5250539191,19601.6542283947,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030802",2002,"RaMCONdy_fdd","E","RaMCONdy_fdd_1701030802","E",0.222680666833813,6306.37997548409,0.000431196425450343,198704174.239568,1,592,43892.7748631695,5404.49713433285,4502.61433707439,6306.37997548409,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030803",2002,"RaMCONdy_fdd","A","RaMCONdy_fdd_1701030803","A",0.279352653712084,3105.48386619722,0.000679101773389694,196912197.526416,1,592,13765.8595503088,1922.5383204247,1606.00950479463,2239.06712228891,866.416743908307
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030803",2002,"RaMCONdy_fdd","B",NA,NA,0,24.9652535436367,NA,NA,NA,NA,13765.8595503088,90.3381091524127,24.9652535436367,155.710964761189,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030803",2002,"RaMCONdy_fdd","C",NA,NA,0,3958.60989296345,NA,NA,NA,NA,13765.8595503088,4351.88268729352,3958.60989296345,4745.15549538944,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030803",2002,"RaMCONdy_fdd","D",NA,NA,0,5264.66934365297,NA,NA,NA,NA,13765.8595503088,5706.11641047474,5264.66934365297,6147.56346353065,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1701030803",2002,"RaMCONdy_fdd","E",NA,NA,0,1412.13119395152,NA,NA,NA,NA,13765.8595503088,1694.98394036827,1412.13119395152,1977.83670055088,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1702000110",2002,"RaMCONdy_fdd","A","RaMCONdy_fdd_1702000110","A",0.878350433158469,9764.37153109084,0.00672125128009284,2617172179.18739,1,592,43283.0994735215,6044.91256506628,5049.67153684839,7040.15355000106,2724.21798108978
