"PLT_CN","CONDID","sclass"
8647645010901,1,"B"
8647911010901,1,"B"
8648137010901,1,"B"
8648402010901,1,"E"
8648570010901,1,"E"
8648677010901,1,"B"
8648778010901,1,"A"
8649260010901,1,"B"
8649647010901,1,"B"
8649750010901,1,"B"
8649944010901,1,"B"
8650082010901,1,"B"
8650400010901,2,"E"
8650442010901,1,"B"
8650592010901,1,"B"
8650805010901,1,"B"
8650980010901,1,"A"
8651166010901,1,"B"
8651353010901,1,"E"
8651353010901,2,"C"
8651533010901,1,"B"
8651715010901,1,"B"
8651894010901,1,"B"
8652043010901,1,"B"
8652043010901,2,"A"
8652360010901,1,"B"
8652360010901,2,"C"
8652543010901,1,"B"
8652732010901,1,"B"
8652732010901,2,"B"
8652849010901,1,"B"
8652932010901,1,"B"
8653022010901,1,"E"
8653106010901,1,"B"
8653229010901,1,"A"
8653315010901,1,"E"
8653497010901,1,"B"
8653603010901,1,"E"
8653675010901,1,"E"
8653675010901,2,"B"
8653885010901,1,"A"
8654000010901,1,"E"
8654116010901,1,"E"
8654254010901,1,"A"
8654351010901,1,"B"
8654442010901,1,"E"
8654524010901,3,"A"
8654637010901,1,"B"
8654637010901,2,"A"
8654778010901,1,"E"
8654998010901,1,"E"
8655080010901,1,"E"
8655191010901,1,"B"
8655418010901,1,"B"
8655588010901,1,"E"
8655741010901,1,"B"
8655839010901,1,"E"
8655984010901,1,"B"
8656103010901,2,"B"
8656194010901,1,"B"
8656308010901,1,"B"
8656379010901,1,"B"
8656567010901,1,"B"
8656691010901,2,"B"
8656885010901,1,"B"
8657037010901,1,"B"
8657158010901,1,"B"
8657308010901,1,"B"
8657461010901,1,"B"
8657628010901,1,"A"
8657852010901,1,"B"
8658020010901,1,"B"
8658305010901,1,"E"
8658506010901,1,"E"
8658808010901,1,"E"
8658968010901,1,"A"
8658968010901,2,"E"
8659116010901,1,"A"
8659295010901,1,"A"
8659295010901,2,"B"
8659504010901,1,"E"
8659504010901,2,"E"
8659686010901,1,"E"
8659830010901,1,"E"
8660051010901,1,"E"
8660216010901,1,"A"
8660400010901,1,"E"
8660610010901,1,"B"
8660610010901,2,"B"
8660727010901,1,"A"
8661023010901,1,"B"
8661101010901,1,"B"
8661237010901,1,"B"
8661237010901,2,"A"
8661440010901,1,"B"
8661582010901,1,"A"
8661741010901,1,"B"
8661922010901,1,"B"
8662056010901,1,"B"
8662196010901,1,"B"
8662321010901,1,"E"
8662481010901,1,"E"
8662635010901,1,"B"
8662858010901,1,"E"
8662944010901,1,"B"
8663071010901,1,"E"
8663461010901,1,"B"
8663516010901,1,"E"
8663665010901,1,"E"
8663665010901,2,"B"
8663818010901,1,"E"
8663930010901,1,"B"
8664028010901,1,"B"
8664028010901,4,"B"
8664098010901,1,"E"
8664200010901,1,"E"
8664436010901,1,"E"
8664565010901,1,"A"
8664649010901,1,"B"
8664768010901,1,"B"
8664889010901,1,"E"
8664992010901,1,"E"
8665177010901,1,"E"
8665412010901,1,"B"
8665580010901,1,"B"
8665702010901,1,"E"
8665936010901,1,"E"
8666102010901,1,"B"
8666102010901,2,"B"
8666218010901,1,"B"
8666325010901,1,"B"
8666485010901,1,"B"
8666485010901,2,"E"
8666715010901,1,"E"
8666920010901,1,"E"
8667212010901,1,"E"
8667373010901,1,"A"
8667373010901,2,"E"
8667472010901,2,"A"
8667552010901,1,"B"
8667650010901,1,"E"
8667806010901,1,"E"
8668047010901,1,"E"
8668204010901,1,"E"
8668422010901,1,"B"
8668422010901,2,"B"
8668509010901,1,"B"
8668844010901,1,"E"
8668844010901,2,"E"
8668916010901,1,"E"
8669037010901,1,"E"
8669144010901,1,"B"
8669267010901,1,"B"
8669525010901,2,"B"
8669566010901,1,"E"
8669732010901,1,"B"
8669951010901,1,"B"
8670145010901,1,"B"
8670286010901,1,"C"
8670467010901,2,"B"
8670500010901,1,"B"
8670609010901,1,"B"
8670810010901,1,"B"
8670933010901,1,"B"
8671095010901,1,"C"
8671273010901,1,"B"
8671447010901,1,"A"
8671608010901,1,"E"
8671787010901,1,"B"
8671864010901,1,"A"
8672181010901,1,"B"
8672181010901,2,"B"
8672386010901,1,"B"
8672520010901,1,"B"
8672679010901,1,"B"
8672876010901,1,"B"
8672992010901,1,"B"
8673154010901,1,"B"
8673379010901,1,"B"
8673493010901,1,"E"
8673676010901,1,"A"
8674045010901,1,"B"
8674183010901,1,"E"
8674183010901,2,"B"
8675153010901,1,"B"
8675215010901,1,"B"
8675677010901,1,"B"
8675940010901,1,"E"
8676119010901,1,"B"
8676192010901,1,"E"
8676268010901,1,"B"
8676352010901,1,"E"
8676539010901,1,"B"
8676692010901,1,"B"
8676840010901,1,"E"
8676991010901,1,"B"
8677133010901,1,"B"
8677228010901,1,"E"
8677396010901,1,"B"
8677565010901,1,"B"
8677713010901,1,"E"
8677836010901,1,"E"
8677999010901,1,"B"
8677999010901,3,"B"
8678403010901,1,"E"
8678536010901,1,"E"
8678948010901,2,"E"
8679020010901,1,"B"
8679020010901,2,"E"
8679203010901,1,"E"
8679392010901,1,"E"
8679533010901,1,"B"
8679672010901,1,"B"
8679797010901,1,"E"
8679998010901,1,"E"
8680169010901,1,"E"
8680260010901,1,"B"
8680379010901,1,"E"
8680631010901,1,"E"
8680771010901,1,"B"
8680771010901,2,"B"
8680897010901,1,"E"
8681153010901,1,"B"
8681284010901,1,"B"
8681400010901,1,"B"
8681507010901,1,"B"
8681507010901,2,"E"
8681746010901,1,"E"
8681984010901,1,"B"
8682184010901,1,"B"
