"SPCD","species","eq","minD","minEL","maxEL","minHI","maxHI","maxCW","variant"
81,"IC",5,"1.0","5","62",NA,NA,"78","PN"
108,"LP",5,"1.0","1","79",NA,NA,"40","PN"
116,"JP",5,"1.0",NA,NA,NA,NA,"39","PN"
117,"SP",5,"1.0","5","75",NA,NA,"56","PN"
119,"WP",5,"1.0","10","75",NA,NA,"35","PN"
122,"PP",5,"1.0","13","75",NA,NA,"50","PN"
202,"DF",5,"1.0","1","75",NA,NA,"80","PN"
211,"RW",4,"1.0",NA,NA,NA,NA,"39","PN"
242,"RC",5,"1.0","1","72",NA,NA,"45","PN"
263,"WH",5,"1.0","1","72",NA,NA,"54","PN"
264,"MH",3,NA,NA,NA,NA,NA,"45","PN"
312,"BM",6,"1.0",NA,NA,NA,NA,"30","PN"
351,"RA",6,"1.0",NA,NA,NA,NA,"35","PN"
312,"WA",6,"1.0",NA,NA,NA,NA,"30","PN"
375,"PB",6,"1.0",NA,NA,NA,NA,"25","PN"
631,"GC",2,"5.0",NA,NA,"-55","15","41","PN"
746,"AS",5,"1.0",NA,NA,NA,NA,"45","PN"
747,"CW",5,"1.0",NA,NA,NA,NA,"56","PN"
815,"WO",5,"1.0",NA,NA,NA,NA,"39","PN"
64,"WJ",5,"1.0",NA,NA,NA,NA,"36","PN"
72,"LL",4,"1.0",NA,NA,NA,NA,"33","PN"
101,"WB",5,"1.0",NA,NA,NA,NA,"40","PN"
103,"KP",5,"1.0","12","49",NA,NA,"46","PN"
231,"PY",4,"1.0",NA,NA,NA,NA,"30","PN"
351,"DG",6,"1.0",NA,NA,NA,NA,"35","PN"
351,"HT",6,"1.0",NA,NA,NA,NA,"35","PN"
351,"CH",6,"1.0",NA,NA,NA,NA,"35","PN"
312,"WI",6,"1.0",NA,NA,NA,NA,"30","PN"
122,"OT",5,"1.0","13","75",NA,NA,"50","PN"
93,"ES",5,"1","1","85",NA,NA,"40","PN"
119,"WP",5,"1.0","10","75",NA,NA,"35","SO"
117,"SP",5,"1.0","5","75",NA,NA,"56","SO"
202,"DF",5,"1.0","1","75",NA,NA,"80","SO"
15,"WF",5,"1.0","2","75",NA,NA,"35","SO"
264,"MH",3,NA,NA,NA,NA,NA,"45","SO"
81,"IC",5,"1.0","5","62",NA,NA,"78","SO"
108,"LP",5,"1.0","1","79",NA,NA,"40","SO"
93,"ES",5,"1.0","1","85",NA,NA,"40","SO"
21,"SH",5,"1.0",NA,NA,NA,NA,"65","SO"
122,"PP",5,"1.0","13","75",NA,NA,"50","SO"
64,"WJ",5,"1.0",NA,NA,NA,NA,"36","SO"
17,"GF",3,"1.0",NA,NA,NA,NA,"40","SO"
19,"AF",5,"1.0","10","85",NA,NA,"30","SO"
11,"SF",5,"1.0","4","72",NA,NA,"33","SO"
22,"NF",6,"1.0",NA,NA,NA,NA,"40","SO"
101,"WB",5,"1.0",NA,NA,NA,NA,"40","SO"
73,"WL",3,"1.0",NA,NA,NA,NA,"40","SO"
242,"RC",5,"1.0","1","72",NA,NA,"45","SO"
263,"WH",5,"1.0","1","72",NA,NA,"54","SO"
231,"PY",4,"1.0",NA,NA,NA,NA,"30","SO"
312,"WA",6,"1.0",NA,NA,NA,NA,"30","SO"
351,"RA",6,"1.0",NA,NA,NA,NA,"35","SO"
312,"BM",6,"1.0",NA,NA,NA,NA,"30","SO"
746,"AS",5,"1.0",NA,NA,NA,NA,"45","SO"
747,"CW",5,"1.0",NA,NA,NA,NA,"56","SO"
351,"CH",6,"1.0",NA,NA,NA,NA,"35","SO"
815,"WO",5,"1.0",NA,NA,NA,NA,"39","SO"
312,"WI",6,"1.0",NA,NA,NA,NA,"30","SO"
631,"GC",2,"5.0",NA,NA,"-55","15","41","SO"
475,"MC",2,"5.0",NA,NA,"-37","27","29","SO"
475,"MB",2,"5.0",NA,NA,"-37","27","29","SO"
122,"OS",5,"1.0","13","75",NA,NA,"50","SO"
312,"OH",6,"1.0",NA,NA,NA,NA,"30","SO"
11,"SF",5,"1.0","4","72",NA,NA,"33","WC"
15,"WF",5,"1.0","2","75",NA,NA,"35","WC"
17,"GF",3,"1.0",NA,NA,NA,NA,"40","WC"
19,"AF",5,"1.0","10","85",NA,NA,"30","WC"
20,"RF",6,"1.0",NA,NA,NA,NA,"65","WC"
22,"NF",6,"1.0",NA,NA,NA,NA,"40","WC"
42,"YC",5,"1.0","16","62",NA,NA,"59","WC"
81,"IC",5,"1.0","5","62",NA,NA,"78","WC"
93,"ES",5,"1.0","1","85",NA,NA,"40","WC"
108,"LP",5,"1.0","1","79",NA,NA,"40","WC"
116,"JP",5,"1.0",NA,NA,NA,NA,"39","WC"
117,"SP",5,"1.0","5","75",NA,NA,"56","WC"
119,"WP",5,"1.0","10","75",NA,NA,"35","WC"
122,"PP",5,"1.0","13","75",NA,NA,"50","WC"
202,"DF",5,"1.0","1","75",NA,NA,"80","WC"
211,"RW",4,"1.0",NA,NA,NA,NA,"39","WC"
242,"RC",5,"1.0","1","72",NA,NA,"45","WC"
263,"WH",5,"1.0","1","72",NA,NA,"54","WC"
264,"MH",3,NA,NA,NA,NA,NA,"45","WC"
312,"BM",6,"1.0",NA,NA,NA,NA,"30","WC"
351,"RA",6,"1.0",NA,NA,NA,NA,"35","WC"
312,"WA",6,"1.0",NA,NA,NA,NA,"30","WC"
375,"PB",6,"1.0",NA,NA,NA,NA,"25","WC"
631,"GC",2,"5.0",NA,NA,"-55","15","41","WC"
746,"AS",5,"1.0",NA,NA,NA,NA,"45","WC"
747,"CW",5,"1.0",NA,NA,NA,NA,"56","WC"
815,"WO",5,"1.0",NA,NA,NA,NA,"39","WC"
64,"WJ",5,"1.0",NA,NA,NA,NA,"36","WC"
72,"LL",4,"1.0",NA,NA,NA,NA,"33","WC"
101,"WB",5,"1.0",NA,NA,NA,NA,"40","WC"
103,"KP",5,"1.0","12","49",NA,NA,"46","WC"
231,"PY",4,"1.0",NA,NA,NA,NA,"30","WC"
351,"DG",6,"1.0",NA,NA,NA,NA,"35","WC"
351,"HT",6,"1.0",NA,NA,NA,NA,"35","WC"
351,"CH",6,"1.0",NA,NA,NA,NA,"35","WC"
312,"WI",6,"1.0",NA,NA,NA,NA,"30","WC"
122,"OT",5,"1.0","13","75",NA,NA,"50","WC"
