"SPCD","species","eq","a1","a2","a3","a4","a5","a6","variant"
375,"PB",6,"5.8980","0.4841",NA,NA,NA,NA,"IE"
749,"OH",2,"4.1687","1.5355",NA,NA,NA,"0.1275","IE"
122,"OS",5,"4.7762","0.74126","-0.28734","0.17137","-0.00602","-0.00209","IE"
122,"OS",5,"4.7762","0.74126","-0.28734","0.17137","-0.00602","-0.00209","NC"
117,"SP",5,"3.593","0.63503","-0.22766","0.17827","0.04267","-0.0029","NC"
202,"DF",5,"6.0227","0.54361","-0.20669","0.20395","-0.00644","-0.00378","NC"
15,"WF",5,"5.0312","0.5368","-0.18957","0.16199","0.04385","-0.00651","NC"
361,"MA",2,"4.9133","0.9459",NA,"0.0611",NA,"0.0523","NC"
81,"IC",5,"5.0446","0.47419","-0.13917","0.1423","0.04838","-0.00616","NC"
818,"BO",2,"1.6306","0.9867",NA,"0.0556",NA,"-0.1199","NC"
631,"TO",2,"3.115","0.7966",NA,"0.0745","-0.0053","0.0523","NC"
20,"RF",6,"3.1146","0.578",NA,NA,NA,NA,"NC"
122,"PP",5,"4.7762","0.74126","-0.28734","0.17137","-0.00602","-0.00209","NC"
818,"OH",2,"1.630","0.9867",NA,"0.0556",NA,"-0.1199","NC"
11,"SF",5,"4.47990","0.45976","-0.10425","0.11866","0.06762","-0.00715","PN"
15,"WF",5,"5.03120","0.53680","-0.18957","0.16199","0.04385","-0.00651","PN"
17,"GF",3,"1.03030","1.14079","0.20904","0.38787",NA,NA,"PN"
19,"AF",5,"5.88270","0.51479","-0.21501","0.17916","0.03277","-0.00828","PN"
20,"RF",6,"3.11460","0.57800",NA,NA,NA,NA,"PN"
98,"SS",5,"8.48000","0.70692","-0.38812","0.17127",NA,NA,"PN"
22,"NF",6,"3.06140","0.62760",NA,NA,NA,NA,"PN"
42,"YC",5,"3.37560","0.45445","-0.11523","0.22547","0.08756","-0.00894","PN"
81,"IC",5,"5.04460","0.47419","-0.13917","0.14230","0.04838","-0.00616","PN"
93,"ES",5,"6.75750","0.55048","-0.25204","0.19002",NA,"-0.00313","PN"
108,"LP",5,"6.69410","0.81980","-0.36992","0.17722","-0.01202","-0.00882","PN"
116,"JP",5,"4.02170","0.66815","-0.11346","0.09689","-0.63600",NA,"PN"
