"PLT_CN","pltID","INVYR","STATECD","LAT","LON","PLOT_STATUS_CD"
345933456489998,"9_53_63_59424",2016,53,47.791563,-117.492902,1
345934651489998,"9_53_63_59868",2016,53,47.55578,-117.28246,2
345933447489998,"9_53_63_62329",2016,53,47.505722,-117.079106,2
345936298489998,"9_53_63_65391",2016,53,47.629544,-117.813039,2
345934652489998,"9_53_63_66275",2016,53,47.315025,-117.422883,2
345935762489998,"9_53_63_67016",2016,53,47.845043,-117.269739,1
345934315489998,"9_53_63_68868",2016,53,47.456476,-117.770919,2
345933502489998,"9_53_63_71393",2016,53,47.996904,-117.485287,2
345933622489998,"9_53_63_75791",2016,53,47.99283,-117.143231,1
345934909489998,"9_53_63_78069",2016,53,47.329008,-117.077206,2
345934222489998,"9_53_63_80972",2016,53,47.294858,-117.787459,2
345933825489998,"9_53_63_82987",2016,53,47.703631,-117.279478,2
345936233489998,"9_53_63_84772",2016,53,47.799812,-117.795777,1
345933894489998,"9_53_63_87571",2016,53,47.360601,-117.241774,2
345935028489998,"9_53_63_87906",2016,53,47.487364,-117.450109,1
345933824489998,"9_53_63_89894",2016,53,48.022972,-117.315489,1
345935041489998,"9_53_63_90251",2016,53,47.63868,-117.462523,2
345933521489998,"9_53_63_90380",2016,53,47.398918,-117.509836,2
345935761489998,"9_53_63_92791",2016,53,47.829868,-117.131751,1
345933457489998,"9_53_63_97941",2016,53,47.651412,-117.096497,2
345933522489998,"9_53_63_99794",2016,53,47.353118,-117.578885,1
345933443489998,"3_41_65_51384",2016,41,45.438927,-121.358685,1
346864469489998,"3_41_65_53062",2016,41,44.934145,-121.783734,1
345934210489998,"3_41_65_53863",2016,41,45.48959,-120.997711,2
345933988489998,"3_41_65_53883",2016,41,45.151866,-121.283341,2
346864547489998,"3_41_65_56640",2016,41,45.320324,-121.359918,1
346864550489998,"3_41_65_58563",2016,41,45.398274,-121.455293,1
346864500489998,"3_41_65_59323",2016,41,44.984094,-121.779019,1
345935083489998,"3_41_65_59382",2016,41,44.86647,-121.08746,2
345934746489998,"3_41_65_59586",2016,41,44.841827,-120.900655,2
345935939489998,"3_41_65_59605",2016,41,44.909258,-120.736026,2
345936040489998,"3_41_65_61347",2016,41,45.009834,-121.439514,2
345934436489998,"3_41_65_61370",2016,41,45.008175,-121.080175,2
345935938489998,"3_41_65_62393",2016,41,45.008894,-120.5974,2
345935952489998,"3_41_65_63330",2016,41,45.34932,-121.138172,2
345933842489998,"3_41_65_66673",2016,41,45.512289,-120.849111,2
345935193489998,"3_41_65_70672",2016,41,44.912736,-121.516307,1
345933348489998,"3_41_65_73160",2016,41,44.960967,-121.784413,1
346864551489998,"3_41_65_73659",2016,41,45.181715,-121.507222,1
345936027489998,"3_41_65_76070",2016,41,44.862721,-120.539606,2
345935953489998,"3_41_65_76234",2016,41,45.177965,-121.116223,2
345936568489998,"3_41_65_77557",2016,41,44.974807,-121.266628,2
345936567489998,"3_41_65_78206",2016,41,45.159804,-121.449243,1
345934183489998,"3_41_65_81071",2016,41,44.951597,-121.510666,2
345935032489998,"3_41_65_81268",2016,41,45.297722,-121.329591,1
345935714489998,"3_41_65_85616",2016,41,45.04888,-120.737039,1
346864152489998,"3_41_65_85806",2016,41,45.473711,-121.382581,1
345935943489998,"3_41_65_86335",2016,41,45.630613,-121.027242,2
345936521489998,"3_41_65_87763",2016,41,45.507101,-121.166887,2
346864076489998,"3_41_65_88074",2016,41,45.129361,-121.537789,1
345935192489998,"3_41_65_89003",2016,41,45.252009,-121.638926,1
345936039489998,"3_41_65_89169",2016,41,45.104023,-121.642995,1
345935933489998,"3_41_65_96111",2016,41,45.315102,-120.970963,2
345934693489998,"9_53_65_50884",2016,53,47.812587,-118.016832,2
345936137489998,"9_53_65_51011",2016,53,48.139251,-118.02095,1
345934366489998,"9_53_65_51028",2016,53,48.849405,-117.686295,1
345933489489998,"9_53_65_51225",2016,53,48.933722,-117.578696,1
345936539489998,"9_53_65_51766",2016,53,47.996832,-117.641537,1
345933663489998,"9_53_65_52005",2016,53,48.335751,-117.712763,1
346864132489998,"9_53_65_52138",2016,53,48.951693,-118.071954,1
345934362489998,"9_53_65_52913",2016,53,47.844376,-117.645615,2
345934429489998,"9_53_65_53957",2016,53,48.095981,-118.224223,2
346864604489998,"9_53_65_54318",2016,53,48.920144,-117.987624,1
345934783489998,"9_53_65_58792",2016,53,48.458524,-117.556117,1
345934370489998,"9_53_65_62417",2016,53,48.637877,-117.763373,1
345933895489998,"9_53_65_62982",2016,53,48.77582,-117.601902,1
346864037489998,"9_53_65_64106",2016,53,48.289178,-117.607953,1
345935027489998,"9_53_65_64452",2016,53,48.628286,-117.574207,1
345936583489998,"9_53_65_64607",2016,53,48.939761,-117.952148,1
345935007489998,"9_53_65_74318",2016,53,48.094195,-117.865329,1
345936232489998,"9_53_65_76142",2016,53,48.002626,-118.013114,1
345936144489998,"9_53_65_76238",2016,53,48.301308,-117.533939,1
345935005489998,"9_53_65_77005",2016,53,48.450664,-117.892489,1
345933812489998,"9_53_65_81464",2016,53,48.585205,-117.946688,2
346864636489998,"9_53_65_81497",2016,53,48.9938,-117.91148,1
345933711489998,"9_53_65_83058",2016,53,48.490744,-118.093506,1
345935008489998,"9_53_65_86835",2016,53,47.950621,-117.874272,1
346864129489998,"9_53_65_90673",2016,53,48.411645,-117.558412,1
345935006489998,"9_53_65_90906",2016,53,48.294715,-118.095556,1
345933507489998,"9_53_65_92248",2016,53,48.160736,-117.70125,1
345933490489998,"9_53_65_93357",2016,53,48.816249,-117.768237,1
345934694489998,"9_53_65_96809",2016,53,48.952852,-118.176854,1
345934367489998,"9_53_65_98889",2016,53,48.833257,-117.657167,1
346864138489998,"9_53_65_99502",2016,53,48.97538,-118.069149,1
345934077489998,"0_41_67_53533",2016,41,45.651956,-123.089786,1
345933938489998,"0_41_67_58138",2016,41,45.457118,-123.379375,1
345933851489998,"0_41_67_65095",2016,41,45.503257,-122.750915,2
345935784489998,"0_41_67_65405",2016,41,45.497527,-123.238626,1
345934709489998,"0_41_67_73399",2016,41,45.695586,-122.964534,1
345933261489998,"0_41_67_86202",2016,41,45.359343,-122.893554,1
345935742489998,"0_41_67_92986",2016,41,45.655375,-123.244672,1
345934585489998,"0_41_67_95960",2016,41,45.469385,-123.082666,2
345935789489998,"0_41_67_98538",2016,41,45.510153,-123.439618,1
345934914489998,"6_53_67_53383",2016,53,46.888205,-122.496125,1
345935691489998,"6_53_67_53691",2016,53,46.838706,-122.796849,1
345934225489998,"6_53_67_55349",2016,53,46.777841,-122.939259,1
345934160489998,"6_53_67_56183",2016,53,46.940148,-123.030341,2
345934646489998,"6_53_67_67675",2016,53,46.787203,-123.086224,1
345935429489998,"6_53_67_85653",2016,53,46.980892,-122.653489,1
345934546489998,"6_53_67_92327",2016,53,47.006661,-122.831432,2
345933990489998,"3_41_69_51383",2016,41,44.467029,-119.656419,2
345934606489998,"3_41_69_52958",2016,41,44.607648,-120.05161,1
345935718489998,"3_41_69_53468",2016,41,44.616193,-119.696074,2
345935973489998,"3_41_69_53506",2016,41,44.422482,-119.851638,1
345936418489998,"3_41_69_54587",2016,41,44.570181,-119.849507,2
345933438489998,"3_41_69_57095",2016,41,44.564225,-120.188057,2
346864015489998,"3_41_69_58895",2016,41,44.483431,-120.342262,1
345934607489998,"3_41_69_59608",2016,41,44.440048,-120.01488,1
345934501489998,"3_41_69_60416",2016,41,45.065834,-120.252061,2
345935302489998,"3_41_69_61006",2016,41,44.767707,-120.058539,2
345933791489998,"3_41_69_64028",2016,41,44.91749,-120.395964,2
346864119489998,"3_41_69_65670",2016,41,44.406688,-119.875748,1
346864655489998,"3_41_69_65855",2016,41,44.942638,-119.740681,1
346864592489998,"3_41_69_66520",2016,41,44.400185,-119.665771,1
345933380489998,"3_41_69_68809",2016,41,44.967936,-119.702322,1
345936503489998,"3_41_69_71734",2016,41,44.813033,-119.711546,2
346864518489998,"3_41_69_75083",2016,41,44.459715,-120.109761,1
345936124489998,"3_41_69_75670",2016,41,45.059409,-119.919664,2
346864245489998,"3_41_69_77085",2016,41,44.351149,-119.80436,1
345936183489998,"3_41_69_79707",2016,41,44.715471,-120.184338,1
345933737489998,"3_41_69_80754",2016,41,45.061347,-120.403754,2
346864661489998,"3_41_69_82403",2016,41,44.944646,-119.84434,1
346864656489998,"3_41_69_84679",2016,41,44.868582,-119.679669,1
345935717489998,"3_41_69_91501",2016,41,44.916943,-119.920954,2
345935255489998,"3_41_69_91946",2016,41,44.584419,-120.349913,1
346864243489998,"3_41_69_97656",2016,41,44.488951,-120.385839,1
345935982489998,"3_41_69_98400",2016,41,45.042003,-120.238868,2
345935605489998,"7_53_69_66350",2016,53,46.297918,-123.375767,1
345934324489998,"7_53_69_92232",2016,53,46.34474,-123.247641,1
345933205489998,"0_41_7_50774",2016,41,45.91962,-124.009433,2
345935530489998,"0_41_7_58011",2016,41,46.237512,-123.530488,2
345935657489998,"0_41_7_60914",2016,41,45.94606,-123.669197,1
345935453489998,"0_41_7_61624",2016,41,45.990874,-123.600966,1
345933287489998,"0_41_7_63320",2016,41,46.244137,-124.048595,2
345933638489998,"0_41_7_66132",2016,41,45.931033,-123.486696,1
345935321489998,"0_41_7_66948",2016,41,46.219146,-123.903069,2
345934446489998,"0_41_7_76136",2016,41,46.10616,-123.697438,1
345935542489998,"0_41_7_83258",2016,41,45.794452,-123.666454,1
345935363489998,"0_41_7_84617",2016,41,46.042888,-123.878929,1
345935606489998,"0_41_7_91818",2016,41,46.140412,-123.391355,2
345935158489998,"0_41_7_91851",2016,41,46.098059,-123.521969,1
345933288489998,"0_41_7_92937",2016,41,45.894625,-123.806826,1
345936102489998,"8_53_7_51304",2016,53,48.150163,-120.893441,1
345934899489998,"8_53_7_52115",2016,53,47.948891,-120.76598,1
346864139489998,"8_53_7_52223",2016,53,48.039976,-120.642935,1
345936686489998,"8_53_7_52738",2016,53,47.609895,-121.004102,1
345934952489998,"8_53_7_54227",2016,53,47.988273,-120.313791,1
345934950489998,"8_53_7_55614",2016,53,48.142348,-120.38931,1
345936021489998,"8_53_7_56336",2016,53,48.034613,-120.175727,1
345934951489998,"8_53_7_57172",2016,53,48.097561,-120.766553,1
345933893489998,"8_53_7_57245",2016,53,47.356927,-120.422178,1
345936109489998,"8_53_7_57496",2016,53,47.868579,-120.143699,2
345936110489998,"8_53_7_57597",2016,53,47.833338,-119.977801,2
345936604489998,"8_53_7_58098",2016,53,47.906348,-121.058726,1
346864598489998,"8_53_7_59698",2016,53,47.404593,-120.607814,1
345936212489998,"8_53_7_59869",2016,53,47.516464,-120.446968,2
345934849489998,"8_53_7_61659",2016,53,48.408412,-120.873805,1
345936117489998,"8_53_7_62645",2016,53,47.672003,-120.482634,1
346864181489998,"8_53_7_64302",2016,53,48.015146,-120.583045,1
346864263489998,"8_53_7_64934",2016,53,47.875779,-120.807745,1
