"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","BpS_Code1","BpS_Code2","sclass1","sclass2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,1,1,"Na0710412_fmh","Na0710412_fmh","E","D","Forest","Forest",2118.54376590991,2507976.48336228,3,5606
2017,1,1,"Na1010471_frn","Na1010471_frn","A","B","Forest","Forest",4950.4971206953,2712397.363256,12,5421
2017,1,1,"Na1010471_frn","Na1010471_frn","A","C","Forest","Forest",2150.14323525637,1958097.7546553,7,5421
2017,1,1,"Na1010471_frn","Na1010471_frn","B","A","Forest","Forest",388.614611327975,75710.7626824483,5,1955
2017,1,1,"Na1010471_frn","Na1010471_frn","B","C","Forest","Forest",2447.49113379495,715458.870414772,10,1955
2017,1,1,"Na1010471_frn","Na1010471_frn","B","E","Forest","Forest",939.48441010929,303645.880270944,3,1955
2017,1,1,"Na1010471_frn","Na1010471_frn","C","A","Forest","Forest",3957.5145922069,2730283.51766112,13,5421
2017,1,1,"Na1010471_frn","Na1010471_frn","C","B","Forest","Forest",4370.29788671954,3069757.28561173,9,5421
2017,1,1,"Na1010471_frn","Na1010471_frn","C","D","Forest","Forest",609.810766599463,205582.978766404,2,1955
2017,1,1,"Na1010471_frn","Na1010471_frn","C","E","Forest","Forest",551.068715397057,161848.407284779,2,1955
2017,1,1,"Na1010471_frn","Na1010471_frn","D","A","Forest","Forest",22.5445025540907,524.029839762986,1,1955
2017,1,1,"Na1010471_frn","Na1010471_frn","E","B","Forest","Forest",320.234411279698,105733.035205277,1,1955
2017,1,1,"RaABAMlw_fsi","RaABAMlw_fsi","A","B","Forest","Forest",150.926058363212,12606.1417821494,2,1955
2017,1,1,"RaABAMlw_fsi","RaABAMlw_fsi","A","C","Forest","Forest",491.844891396817,162885.750638683,2,1955
2017,1,1,"RaABAMlw_fsi","RaABAMlw_fsi","B","C","Forest","Forest",251.799317539765,72714.9098214621,1,1955
