"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","stratID"
"RaDFHEwt_fwc",2,"C","A","Regen / high fire","None",1,0,0,0.007248822469805,"RaDFHEwt_fwc ZoneNull"
"RaDFHEwt_fwc",11,"C","E","Grow w/o fire","None",0,0,1,0.158918866759425,"RaDFHEwt_fwc ZoneNull"
"RaDFHEwt_fwc",14,"C","D","Grow w/ fire","None",0,0,1,0.00507334234808,"RaDFHEwt_fwc ZoneNull"
"RaDFHEwt_fwc",15,"C","B","Regen / high fire","Grow w/o fire",0,1,0,0.03271156859671,"RaDFHEwt_fwc ZoneNull"
"RaDFHEwt_fwm",10,"B","E","Grow w/o fire","None",0,0,1,386.960200429261,"RaDFHEwt_fwm OEC"
"RaDFHEwt_fwm",11,"C","E","Grow w/o fire","None",0,0,1,524.579411310679,"RaDFHEwt_fwm OEC"
"RaDFHEwt_fwm",12,"D","E","Grow w/o fire","None",0,0,1,51.6639364547956,"RaDFHEwt_fwm OEC"
"RaDFHEwt_fwm",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,325.805526947179,"RaDFHEwt_fwm OEC"
"RaDFHEwt_fwm",10,"B","E","Grow w/o fire","None",0,0,1,68769.289776452,"RaDFHEwt_fwm OSW"
"RaDFHEwt_fwm",11,"C","E","Grow w/o fire","None",0,0,1,34518.7297605109,"RaDFHEwt_fwm OSW"
"RaDFHEwt_fwm",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,25929.0736171146,"RaDFHEwt_fwm OSW"
"RaDFHEwt_fwn",10,"B","E","Grow w/o fire","None",0,0,1,34476.903144522,"RaDFHEwt_fwn OSW"
"RaDFHEwt_fwn",11,"C","E","Grow w/o fire","None",0,0,1,20305.1182841533,"RaDFHEwt_fwn OSW"
"RaDFHEwt_fwn",12,"D","E","Grow w/o fire","None",0,0,1,2059.80354264098,"RaDFHEwt_fwn OSW"
"RaDFHEwt_fwn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,39717.1443232687,"RaDFHEwt_fwn OSW"
"RaDFHEwt_fwn",10,"B","E","Grow w/o fire","None",0,0,1,335.544131958101,"RaDFHEwt_fwn ZoneNull"
"RaDFHEwt_fwn",11,"C","E","Grow w/o fire","None",0,0,1,945.653558448322,"RaDFHEwt_fwn ZoneNull"
"RaDFHEwt_fwn",12,"D","E","Grow w/o fire","None",0,0,1,133.109063151631,"RaDFHEwt_fwn ZoneNull"
"RaDFHEwt_fwn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,565.701905548235,"RaDFHEwt_fwn ZoneNull"
"RaDFHEwt_fww",10,"B","E","Grow w/o fire","None",0,0,1,523.779642668761,"RaDFHEwt_fww OEC"
"RaDFHEwt_fww",11,"C","E","Grow w/o fire","None",0,0,1,296.856506788941,"RaDFHEwt_fww OEC"
"RaDFHEwt_fww",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,29.4864653238847,"RaDFHEwt_fww OEC"
"RaDFHEwt_fww",10,"B","E","Grow w/o fire","None",0,0,1,6213.6353879562,"RaDFHEwt_fww OSW"
"RaDFHEwt_fww",11,"C","E","Grow w/o fire","None",0,0,1,5457.12319934351,"RaDFHEwt_fww OSW"
"RaDFHEwt_fww",12,"D","E","Grow w/o fire","None",0,0,1,407.092753852749,"RaDFHEwt_fww OSW"
"RaDFHEwt_fww",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,6076.68890782014,"RaDFHEwt_fww OSW"
"RaDFHEwt_fww",9,"A","B","Grow w/o fire","None",0,0,1,79.6359682444919,"RaDFHEwt_fww ZoneNull"
"RaDFHEwt_fww",11,"C","E","Grow w/o fire","None",0,0,1,105.914720180794,"RaDFHEwt_fww ZoneNull"
"RaDFHEwt_fww",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,341.573869753944,"RaDFHEwt_fww ZoneNull"
"RaDFWV_fwx",1,"B","C","Thin / low fire","None",1,0,0,0.373690364758161,"RaDFWV_fwx OEC"
"RaDFWV_fwx",2,"E","D","Thin / low fire","None",1,0,0,19.4555348447086,"RaDFWV_fwx OEC"
"RaDFWV_fwx",2,"E","D","Thin / low fire","None",1,0,0,6317.85608925479,"RaDFWV_fwx OSW"
"RaDFWV_fwx",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,2425.36345501262,"RaDFWV_fwx OSW"
"RaDFWV_fwx",6,"B","A","Regen / high fire","None",1,0,0,723.400362386119,"RaDFWV_fwx OSW"
"RaDFWV_fwx",10,"C","D","Grow w/ fire","None",0,0,1,214.301802074312,"RaDFWV_fwx ZoneNull"
