"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","BPS_LLID"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,816.693039801505,"Na0210290_fwo_1710030301"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,184.738463313097,"Na0210290_fwo_1710030301"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,9836.76526868782,"Na0210290_fwo_1710030301"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,1010.68329772983,"Na0210290_fwo_1710030301"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,46.486051492425,"Na0210290_fwo_1710030501"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,70.4025448973875,"Na0210290_fwo_1710030501"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,97.129767502075,"Na0210290_fwo_1710030501"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,130.264663122063,"Na0210290_fwo_1710030502"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,164.966645022834,"Na0210290_fwo_1710030502"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,312.973371562348,"Na0210290_fwo_1710030502"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,13.442828523661,"Na0210290_fwo_1710030502"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,2.39972255432126,"Na0210290_fwo_1710030602"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,0.51304933751489,"Na0210290_fwo_1710030602"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,5.08329815426119,"Na0210290_fwo_1710030602"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,5.27280193186995,"Na0210290_fwo_1710030602"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,0.16654696477576,"Na0210290_fwo_1710030604"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,0.55033667967828,"Na0210290_fwo_1710030604"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,0.0662570125834,"Na0210290_fwo_1710030604"
"Na0210290_fwo",13,"B","E","Grow w/o fire","None",0,0,1,0.02152709231112,"Na0210290_fwo_1710030604"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,11.5062031850306,"Na0210290_fwo_1710030701"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,31.8233025997759,"Na0210290_fwo_1710030701"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,32.7018056608134,"Na0210290_fwo_1710030701"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,3.4461890414665,"Na0210290_fwo_1710030701"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,3.2691084149092,"Na0210290_fwo_1710030702"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,4.1333014652238,"Na0210290_fwo_1710030702"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,19.7422691202988,"Na0210290_fwo_1710030702"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,2.759170566253,"Na0210290_fwo_1710030702"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,14.006243163109,"Na0210290_fwo_1710030703"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,659.665604036073,"Na0210290_fwo_1710030703"
