"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES"
"R1RFWF_fcw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4395.22920221761
"R1RFWF_fcw",6,"B","A","Regen / high fire","None",1,0,0,13761.8470344919
"R1RFWF_frm",1,"B","C","Thin / low fire","None",1,0,0,55.1330038901718
"R1RFWF_frm",2,"E","D","Thin / low fire","None",1,0,0,454.37586024702
"R1RFWF_frm",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,39.3726415006943
"R1RFWF_frm",6,"B","A","Regen / high fire","None",1,0,0,416.441588761963
"RaABAMlw_fsi",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,22193.7375850245
"RaABAMlw_fsi",6,"B","A","Regen / high fire","None",1,0,0,27777.9462868846
"RaABAMlw_fsi",13,"B","E","Grow w/o fire","None",0,0,1,59626.7785396644
"RaABAMlw_fsi",14,"C","E","Grow w/o fire","None",0,0,1,26374.3875185005
"RaABAMlw_fsw",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,914.852207716161
"RaABAMlw_fsw",6,"B","A","Regen / high fire","None",1,0,0,710.554798856332
"RaABAMlw_fsw",13,"B","E","Grow w/o fire","None",0,0,1,1715.69774722488
"RaABAMlw_fsw",14,"C","E","Grow w/o fire","None",0,0,1,1365.71729368548
"RaABAMlw_fwc",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,150.507911778007
"RaABAMlw_fwc",6,"B","A","Regen / high fire","None",1,0,0,277.342055981548
"RaABAMlw_fwc",13,"B","E","Grow w/o fire","None",0,0,1,1515.97081505794
"RaABAMlw_fwc",14,"C","E","Grow w/o fire","None",0,0,1,489.963736755959
"RaABLA_faf",1,"B","A","Regen / high fire","None",1,0,0,1478.64562000413
"RaABLA_faf",10,"B","E","Grow w/o fire","None",0,0,1,1948.39552858569
"RaABLA_faf",14,"C","D","Grow w/ fire","None",0,0,1,73.3222072590686
"RaABLA_faf",18,"B","D","Thin / low fire","Grow w/ fire",0,1,0,173.385110062564
"RaDFHEdy_fwi",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,41399.0426213391
"RaDFHEdy_fwi",13,"B","E","Grow w/o fire","None",0,0,1,69454.6221581473
"RaDFHEdy_fwi",14,"C","E","Grow w/o fire","None",0,0,1,24037.6202566597
"RaDFHEdy_fwi",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,20442.8728343152
"RaDFHEdy_fwx",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,8814.02433224916
"RaDFHEdy_fwx",6,"B","A","Regen / high fire","None",1,0,0,924.157215618794
"RaDFHEdy_fwx",13,"B","E","Grow w/o fire","None",0,0,1,14314.5747658156
"RaDFHEdy_fwx",14,"C","E","Grow w/o fire","None",0,0,1,6756.37557834505
"RaDFHEwt_fdm",10,"B","E","Grow w/o fire","None",0,0,1,4849.61378858056
"RaDFHEwt_fdm",11,"C","E","Grow w/o fire","None",0,0,1,1536.66817272757
"RaDFHEwt_fdm",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,23.9430144859721
"RaDFHEwt_fhc",10,"B","E","Grow w/o fire","None",0,0,1,9542.07012909344
"RaDFHEwt_fhc",11,"C","E","Grow w/o fire","None",0,0,1,3798.88045968341
"RaDFHEwt_fhc",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,2457.28065901379
"RaDFHEwt_fwc",2,"C","A","Regen / high fire","None",1,0,0,0.007248822469805
"RaDFHEwt_fwc",11,"C","E","Grow w/o fire","None",0,0,1,0.158918866759425
"RaDFHEwt_fwc",14,"C","D","Grow w/ fire","None",0,0,1,0.00507334234808
"RaDFHEwt_fwc",15,"C","B","Regen / high fire","Grow w/o fire",0,1,0,0.03271156859671
"RaDFHEwt_fwm",10,"B","E","Grow w/o fire","None",0,0,1,69156.2499768812
"RaDFHEwt_fwm",11,"C","E","Grow w/o fire","None",0,0,1,35043.3091718216
"RaDFHEwt_fwm",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,26254.8791440618
"RaDFHEwt_fwn",10,"B","E","Grow w/o fire","None",0,0,1,34812.4472764801
"RaDFHEwt_fwn",11,"C","E","Grow w/o fire","None",0,0,1,21250.7718426016
