"","BpS_Code","BPS_LLID","type","REST_ACRES","AREA_TOTAL","REST_PCT"
"83","Na0210290_fwo","Na0210290_fwo_1710030801","both",21747.0870962045,36239.487645,0.600093668796804
"84","Na0210290_fwo","Na0210290_fwo_1710030802","both",7149.8236299615,15883.4509,0.450142961688603
"85","Na0210290_fwo","Na0210290_fwo_1710030802","passive",1471.24694822411,15883.4509,0.092627663691403
"86","Na0210290_fwo","Na0210290_fwo_1710030803","active",45.5264365981539,875.124325,0.0520228215552732
"87","Na0210290_fwo","Na0210290_fwo_1710030803","both",537.612993633508,875.124325,0.614327562696315
"88","Na0210290_fwo","Na0210290_fwo_1710030803","passive",0.7169370610643,875.124325,0.00081924023888183
"89","Na0210290_fwo","Na0210290_fwo_1710030804","active",136.411224445188,4431.665165,0.030781031365484
"90","Na0210290_fwo","Na0210290_fwo_1710030804","both",2664.36688875108,4431.665165,0.601211235405028
"91","Na0210290_fwo","Na0210290_fwo_1710030901","active",273.113679005877,1166.906565,0.234049312256528
"92","Na0210290_fwo","Na0210290_fwo_1710030901","both",494.45752660671,1166.906565,0.42373360596074
"93","Na0210290_fwo","Na0210290_fwo_1710030902","active",215.588612757226,2738.349635,0.0787293959842443
"94","Na0210290_fwo","Na0210290_fwo_1710030902","both",1336.63570968071,2738.349635,0.488117255954682
"95","Na0210290_fwo","Na0210290_fwo_1710030903","active",281.078883635423,8378.286835,0.0335484913766889
"96","Na0210290_fwo","Na0210290_fwo_1710030903","both",4812.40460948641,8378.286835,0.574390051840045
"97","Na0210290_fwo","Na0210290_fwo_1710030903","passive",5.20640931193361,8378.286835,0.000621416933374019
"98","Na0210290_fwo","Na0210290_fwo_1710030904","active",47.9797182432054,9159.11568,0.00523846623620823
"99","Na0210290_fwo","Na0210290_fwo_1710030904","both",5435.75283794,9159.11568,0.593480094351204
"100","Na0210290_fwo","Na0210290_fwo_1710030904","passive",108.253967784371,9159.11568,0.0118192598026418
"101","Na0210290_fwo","Na0210290_fwo_1710030905","active",104.781523671667,1371.28757,0.0764110504346416
"102","Na0210290_fwo","Na0210290_fwo_1710030905","both",782.569909254236,1371.28757,0.570682566060331
"103","Na0210290_fwo","Na0210290_fwo_1710030906","active",238.173311982444,4347.37746,0.0547855147554737
"104","Na0210290_fwo","Na0210290_fwo_1710030906","both",2459.05518346445,4347.37746,0.56564105741682
"105","Na0210290_fwo","Na0210290_fwo_1710031001","both",4605.6163132102,7796.946305,0.590694886568185
"106","Na0210290_fwo","Na0210290_fwo_1710031002","active",16.8309474862732,282.88644,0.0594971872327044
"107","Na0210290_fwo","Na0210290_fwo_1710031002","both",162.433546450112,282.88644,0.574200539446541
"108","Na0210290_fwo","Na0210290_fwo_1710031003","active",6.70142546639379,860.446255,0.00778831382837943
"109","Na0210290_fwo","Na0210290_fwo_1710031003","both",482.321030019057,860.446255,0.560547538229517
"110","Na0210290_fwo","Na0210290_fwo_1710031003","passive",26.6395996069565,860.446255,0.030960213322047
"111","Na0210290_fwo","Na0210290_fwo_1710031004","active",9.7354965212823,44.256605,0.219978385628141
"112","Na0210290_fwo","Na0210290_fwo_1710031004","both",23.8882711663303,44.256605,0.539767367296482
"113","Na0210290_fwo","Na0210290_fwo_1710031005","active",3.5624768472156,6.22706,0.572096117142857
"114","Na0210290_fwo","Na0210290_fwo_1710031005","both",1.91950775204648,6.22706,0.308252650857143
"115","Na0210290_fwo","Na0210290_fwo_1710031006","active",53.7941042913669,143.889565,0.37385688316847
"116","Na0210290_fwo","Na0210290_fwo_1710031006","both",46.2117793773037,143.889565,0.321161436392581
"117","Na0210290_fwo","Na0210290_fwo_1710031006","passive",5.05269082177038,143.889565,0.0351150607882537
"118","Na0210290_fwo","Na0210290_fwo_1710031008","active",21.4794884945738,38.919125,0.551900601428571
"119","Na0210290_fwo","Na0210290_fwo_1710031008","both",8.7721959502905,38.919125,0.225395508
"120","Na0210290_fwo","Na0210290_fwo_1710031105","active",0.3534064177972,5.33748,0.0662122233333333
"121","Na0210290_fwo","Na0210290_fwo_1710031105","passive",3.85466300279376,5.33748,0.722187812
"122","Na0210290_fwo","Na0210290_fwo_1710031108","active",0.13812437671516,3.11353,0.0443626291428571
"123","Na0210290_fwo","Na0210290_fwo_1710031108","both",1.58772853366654,3.11353,0.509944832285714
"124","Na0210290_fwo","Na0210290_fwo_1710031108","passive",0.19139966829636,3.11353,0.0614735262857143
"125","Na0210290_fwo","Na0210290_fwo_1710031110","active",0.05820099433979,0.222395,0.261701002
"126","Na0210290_fwo","Na0210290_fwo_1710031110","both",0.13758416991957,0.222395,0.618647766
"127","Na0210290_fwo","Na0210290_fwo_1710031110","passive",0.00538177307778,0.222395,0.024199164
"128","Na0210290_fwo","Na0210290_fwo_1710031111","active",47.5244119771608,81.84136,0.580689421304348
"129","Na0210290_fwo","Na0210290_fwo_1710031111","both",11.3122433126109,81.84136,0.138221594956522
"130","Na0210290_fwo","Na0210290_fwo_1710031203","active",0.3180040605154,0.44479,0.71495326
"131","Na0210290_fwo","Na0210290_fwo_1710031203","both",0.07356626800332,0.44479,0.165395508
"132","Na0210290_fwo","Na0210290_fwo_1801020602","active",159.062293258004,1335.926765,0.1190651294856
"133","Na0210290_fwo","Na0210290_fwo_1801020602","both",774.163848447972,1335.926765,0.579495724414184
"134","Na0210290_fwo","Na0210290_fwo_1801020603","both",284.389197185992,730.567575,0.389271584063927
"135","Na0210290_fwo","Na0210290_fwo_1801020603","passive",151.213159797903,730.567575,0.206980387540335
"136","Na0210290_fwo","Na0210290_fwo_1801020604","active",551.998499150231,7426.881025,0.074324403109747
"137","Na0210290_fwo","Na0210290_fwo_1801020604","both",4045.33902748544,7426.881025,0.544688815381345
"138","Na0210290_fwo","Na0210290_fwo_1801020606","active",941.973785195781,5686.19536,0.165659764668335
"139","Na0210290_fwo","Na0210290_fwo_1801020606","both",2144.42428991329,5686.19536,0.377128141779725
"140","Na0210290_fwo","Na0210290_fwo_1801020606","passive",750.454140241151,5686.19536,0.131978254831039
"141","Na0210350_fvg","Na0210350_fvg_17070105B","both",370.816578830807,1554.318655,0.238571786832737
"142","Na0210350_fvg","Na0210350_fvg_17070105B","passive",118.075787810035,1554.318655,0.0759662681974532
"143","Na0210350_fvg","Na0210350_fvg_17100301","active",92.9144580380569,497.72001,0.186680173935657
"144","Na0210350_fvg","Na0210350_fvg_17100301","both",54.503377989907,497.72001,0.109506101613047
"145","Na0210350_fvg","Na0210350_fvg_17100301","passive",13.8317861730665,497.72001,0.0277902955379803
"146","Na0710270_fdd","Na0710270_fdd_1710030101","active",2.06480153175299,8.228615,0.250929413
"147","Na0710270_fdd","Na0710270_fdd_1710030101","both",3.25405242508259,8.228615,0.395455666
"148","Na0710270_fdd","Na0710270_fdd_1710030101","passive",1.64287454148853,8.228615,0.199653835
"149","Na0710270_fdd","Na0710270_fdd_1710030102","active",111.767151011571,493.27211,0.226583155110009
"150","Na0710270_fdd","Na0710270_fdd_1710030102","both",194.622460779275,493.27211,0.394553952744815
"151","Na0710270_fdd","Na0710270_fdd_1710030102","passive",57.5629884600419,493.27211,0.116696215522994
"152","Na0710270_fdd","Na0710270_fdd_1710030103","active",229.624126106446,1078.17096,0.212975617620462
"153","Na0710270_fdd","Na0710270_fdd_1710030103","both",422.588100048659,1078.17096,0.391949065339934
"154","Na0710270_fdd","Na0710270_fdd_1710030103","passive",97.1692219496316,1078.17096,0.090124132029703
"155","Na0710270_fdd","Na0710270_fdd_1710030111","both",8156.13457538981,20863.097345,0.390935940168275
"156","Na0710270_fdd","Na0710270_fdd_1710030111","passive",3647.65910555648,20863.097345,0.1748378510265
"157","Na0710270_fdd","Na0710270_fdd_1710030201","active",764.016191572307,10923.820005,0.0699403863504346
"158","Na0710270_fdd","Na0710270_fdd_1710030201","both",3768.1245203414,10923.820005,0.344945680047517
"159","Na0710270_fdd","Na0710270_fdd_1710030201","passive",371.79923184797,10923.820005,0.0340356424472201
"160","Na0710270_fdd","Na0710270_fdd_1710030202","active",2282.38687559587,16214.37466,0.1407631760987
"161","Na0710270_fdd","Na0710270_fdd_1710030202","both",6202.12544994382,16214.37466,0.38250784134427
"162","Na0710270_fdd","Na0710270_fdd_1710030202","passive",1391.16118799582,16214.37466,0.0857980167084545
"163","Na0710270_fdd","Na0710270_fdd_1710030203","active",1991.57876745232,20594.22179,0.096705706472452
"164","Na0710270_fdd","Na0710270_fdd_1710030203","both",7174.90428371616,20594.22179,0.348394047460444
"165","Na0710270_fdd","Na0710270_fdd_1710030203","passive",800.476204214065,20594.22179,0.0388689707422086
"166","Na0710270_fdd","Na0710270_fdd_1710030204","active",628.509974536167,13842.087195,0.0454057228279269
"167","Na0710270_fdd","Na0710270_fdd_1710030204","both",5273.5539155288,13842.087195,0.380979677503671
"168","Na0710270_fdd","Na0710270_fdd_1710030204","passive",1715.25576288614,13842.087195,0.123915977317765
"169","Na0710270_fdd","Na0710270_fdd_1710030205","active",5254.15068312409,63151.951385,0.083198548388357
"170","Na0710270_fdd","Na0710270_fdd_1710030205","both",24918.8654291548,63151.951385,0.394585834367006
"171","Na0710270_fdd","Na0710270_fdd_1710030205","passive",10804.6834367488,63151.951385,0.171090254533531
"172","Na0710270_fdd","Na0710270_fdd_1710030206","active",1973.20663534993,18027.3387,0.10945634672909
"173","Na0710270_fdd","Na0710270_fdd_1710030206","both",7114.11276681608,18027.3387,0.394629117764125
"174","Na0710270_fdd","Na0710270_fdd_1710030206","passive",2490.14344129892,18027.3387,0.138131505861091
"175","Na0710270_fdd","Na0710270_fdd_1710030207","active",6868.0892995568,63517.568765,0.108128970190391
"176","Na0710270_fdd","Na0710270_fdd_1710030207","both",25061.6717336639,63517.568765,0.39456283074036
"177","Na0710270_fdd","Na0710270_fdd_1710030207","passive",11521.5138738085,63517.568765,0.181390977296933
"178","Na0710270_fdd","Na0710270_fdd_1710030208","active",964.183080688021,13270.532045,0.0726559475851083
"179","Na0710270_fdd","Na0710270_fdd_1710030208","both",5174.29434302982,13270.532045,0.38990858282727
"180","Na0710270_fdd","Na0710270_fdd_1710030208","passive",2004.34472027464,13270.532045,0.151037254081296
"181","Na0710270_fdd","Na0710270_fdd_1710030209","active",4102.35084336083,49437.51892,0.0829805162754885
"182","Na0710270_fdd","Na0710270_fdd_1710030209","both",19448.2676648962,49437.51892,0.393390851518408
"183","Na0710270_fdd","Na0710270_fdd_1710030209","passive",8518.89583026306,49437.51892,0.17231641102476
"184","Na0710270_fdd","Na0710270_fdd_1710030210","active",1539.51752893179,21176.674295,0.0726987395417082
"185","Na0710270_fdd","Na0710270_fdd_1710030210","both",8361.31453199431,21176.674295,0.394836054779786
"186","Na0710270_fdd","Na0710270_fdd_1710030210","passive",3016.84106554267,21176.674295,0.142460568808719
"187","Na0710270_fdd","Na0710270_fdd_1710030211","active",287.436521872017,26676.947435,0.0107747156068877
"188","Na0710270_fdd","Na0710270_fdd_1710030211","both",10490.6153397549,26676.947435,0.393246467397214
"189","Na0710270_fdd","Na0710270_fdd_1710030211","passive",4545.32601649116,26676.947435,0.17038403766271
"190","Na0710270_fdd","Na0710270_fdd_1710030212","active",1585.59590037724,29043.00784,0.0545947550994854
"191","Na0710270_fdd","Na0710270_fdd_1710030212","both",11418.0587180104,29043.00784,0.393143120055379
"192","Na0710270_fdd","Na0710270_fdd_1710030212","passive",4790.87615019107,29043.00784,0.164957988393776
"193","Na0710270_fdd","Na0710270_fdd_1710030213","both",12968.6544761856,32827.948345,0.39504919222772
"194","Na0710270_fdd","Na0710270_fdd_1710030213","passive",6155.40191695721,32827.948345,0.187504922703911
"195","Na0710270_fdd","Na0710270_fdd_1710030301","both",3546.19953613166,9078.1639,0.390629600345909
