"BpS_Code","BPS_LLID","SCLASS","AREA_PCT","AREA","AREA_TOTAL","avg","low","high","departure"
"RaPIPOm_fpd","RaPIPOm_fpd_1703000312","E",1.63934426229508,1.8528073318704,108.52876,3.00481700264452,1.8528073318704,4.15682656488988,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010701","A",38.5795967499248,106.032394181695,739.018585,79.6079370207029,65.8601782530773,93.3556957883284,12.6766983933664
"RaPIPOm_fpd","RaPIPOm_fpd_1706010701","B",26.3316280469455,61.5343189244267,739.018585,50.933278382155,40.332234883809,61.5343189244267,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010701","C",19.801384291303,253.236243884102,739.018585,274.944576347965,253.236243884102,296.652880729122,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010701","D",10.2919049052061,289.910024167299,739.018585,313.071732011962,289.910024167299,336.233440595644,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010701","E",4.99548600662052,28.3056038424776,739.018585,20.4610797126798,12.6165548438634,28.3056038424776,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010702","A",42.2722029988466,59.8697663749368,385.63293,41.5408253969,34.3670024347987,48.7146483590013,11.1551180159354
"RaPIPOm_fpd","RaPIPOm_fpd_1706010702","B",15.282583621684,32.109692752018,385.63293,26.5778828512359,21.046071407922,32.109692752018,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010702","C",13.1487889273356,132.143137795676,385.63293,143.470928494544,132.143137795676,154.798704539361,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010702","D",26.643598615917,151.280163077369,385.63293,163.36635067973,151.280163077369,175.452538667724,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010702","E",2.65282583621684,10.23017,385.63293,10.6769522184131,6.5835408062772,14.7703632449161,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010703","A",50,0.76580724055392,5.33748,0.57495952106436,0.47566785376884,0.67425118835988,0.0915560521940395
"RaPIPOm_fpd","RaPIPOm_fpd_1706010703","B",8.33333333333333,0.44442481317672,5.33748,0.36785997025932,0.291295105992,0.44442481317672,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010703","C",25,1.82897076533808,5.33748,1.98575679577224,1.82897076533808,2.14254262338216,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010703","D",4.16666666666667,2.09384308757604,5.33748,2.26112596096512,2.09384308757604,2.42840883969168,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010703","E",12.5,0.20443409335524,5.33748,0.14777788537596,0.0911216720592,0.20443409335524,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010704","A",24.0437158469945,5.47991602130332,40.698285,4.38406634811574,3.6269673849874,5.14116531124408,0.338750710059238
"RaPIPOm_fpd","RaPIPOm_fpd_1706010704","B",1.09289617486339,2.221125183189,40.698285,2.80493227322731,2.221125183189,3.38873920047249,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010704","C",74.3169398907104,16.336887503289,40.698285,15.1413955677633,13.9459020857029,16.336887503289,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010704","D",0.546448087431694,15.9655535427673,40.698285,17.241085452359,15.9655535427673,18.5166174026491,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010704","E",0,0.6948027494514,40.698285,1.12680637599169,0.6948027494514,1.5588099618337,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010705","A",41.5217391304348,14.6779721106168,102.3017,11.0200574870669,9.1169671972361,12.9231477768977,1.7548243337191
"RaPIPOm_fpd","RaPIPOm_fpd_1706010705","B",22.8260869565217,8.5181422525538,102.3017,7.0506494299703,5.58315619818,8.5181422525538,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010705","C",18.9130434782609,35.0552730023132,102.3017,38.0603385856346,35.0552730023132,41.0654002814914,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010705","D",11.5217391304348,40.1319925118741,102.3017,43.3382475851648,40.1319925118741,46.5445027607572,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010705","E",5.21739130434783,3.9183201226421,102.3017,2.8324094697059,1.746498714468,3.9183201226421,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010707","A",61.8055555555556,6.19349621420808,32.02488,3.44975712638616,2.85400712261304,4.04550713015928,2.1479890840488
"RaPIPOm_fpd","RaPIPOm_fpd_1706010707","B",2.08333333333333,1.747770635952,32.02488,2.20715982155592,1.747770635952,2.66654887906032,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010707","C",22.2222222222222,10.9738245920285,32.02488,11.9145407746334,10.9738245920285,12.855255740293,0
"RaPIPOm_fpd","RaPIPOm_fpd_1706010707","D",13.8888888888889,12.5630585254562,32.02488,13.5667557657907,12.5630585254562,14.5704530381501,0
