"BpS_Code","SCLASS","AREA_PCT","AREA","AREA_TOTAL","avg","low","high","departure"
"R1RFWF_fcw","E",44.0923537803562,52661.7005721368,149811.276665,48743.4760682959,44825.2542610579,52661.7005721368,0
"R1RFWF_frm","A",4.28306447079984,585.906578761963,3956.629445,669.693085783944,585.906578761963,753.479632372219,0
"R1RFWF_frm","B",41.6277893316846,1136.11013584717,3956.629445,995.630141927847,890.577451962403,1100.68275671733,35.4273791298392
"R1RFWF_frm","C",5.50278230566017,272.857708890172,3956.629445,347.135390805644,272.857708890172,421.413092504263,0
"R1RFWF_frm","D",1.95042437187342,570.919566747715,3956.629445,656.818613189488,570.919566747715,742.717774373514,0
"R1RFWF_frm","E",46.635939519982,1390.83545475298,3956.629445,1287.35217372678,1183.86896391992,1390.83545475298,0
"RaABAMlw_fsi","A",5.23531888161107,52724.2158318846,476499.52389,62680.6119151276,52724.2158318846,72637.0079983706,0
"RaABAMlw_fsi","B",46.5613918160425,112266.347908426,476499.52389,99222.04097507,86177.7245117232,112266.347908426,0
"RaABAMlw_fsi","C",12.6729805440352,34012.3044364995,476499.52389,14117.321439719,9571.03185829217,18663.6095916473,15348.6948448522
"RaABAMlw_fsi","D",1.19234643061502,27875.2626500245,476499.52389,36588.9822829281,27875.2626500245,45302.7000098336,0
"RaABAMlw_fsi","E",34.3379623276962,249621.393063165,476499.52389,263890.567277155,249621.393063165,278159.741491146,0
"RaABAMlw_fsw","A",7.90052293796054,2484.59971385633,22454.77836,2953.78941102212,2484.59971385633,3422.97910818791,0
"RaABAMlw_fsw","B",38.4399017510498,5290.48998620263,22454.77836,4675.78418616924,4061.07793704029,5290.48998620263,0
"RaABAMlw_fsw","C",13.2200301085492,1602.81116631452,22454.77836,665.271019324139,451.029619714925,879.512351569018,723.298814745498
"RaABAMlw_fsw","D",1.77581015767372,1313.60644271616,22454.77836,1724.23569466311,1313.60644271616,2134.86485679095,0
"RaABAMlw_fsw","E",38.6637350447667,11763.2710509104,22454.77836,12435.6980488214,11763.2710509104,13108.1250467324,0
"RaABAMlw_fwc","A",8.66807610993658,1280.34350598155,11571.21185,1522.12248490097,1280.34350598155,1763.90146382039,0
"RaABAMlw_fwc","B",40.3594080338266,2726.2518221825,11571.21185,2409.48668099186,2092.72130837698,2726.2518221825,0
"RaABAMlw_fwc","C",11.3722852200653,825.947478244041,11571.21185,342.821994448092,232.420877047852,453.223077134696,372.724401109345
"RaABAMlw_fwc","D",4.5492984816452,676.916876778007,11571.21185,888.518968319882,676.916876778007,1100.12101357691,0
"RaABAMlw_fwc","E",35.0509321545262,6061.7521668139,11571.21185,6408.2617213392,6061.7521668139,6754.7712758645,0
"RaABLA_faf","A",3.39318778796882,2004.38740000413,15494.037255,2364.59418806576,2004.38740000413,2724.80096063335,0
"RaABLA_faf","B",50.3394623146593,4199.18878634762,15494.037255,3278.50427374622,2876.09515238421,3680.91339510824,518.275391239379
"RaABLA_faf","C",1.91333304626161,223.130327740931,15494.037255,135.704261899284,48.2781960576368,223.130327740931,0
"RaABLA_faf","D",0.00861215174611377,248.041687321632,15494.037255,403.924283265183,248.041687321632,559.806910196809,0
"RaABLA_faf","E",44.3454046993641,8819.28905358569,15494.037255,9311.31032549373,8819.28905358569,9803.33100862836,0
"RaDFHEdy_fwi","A",11.7871946645831,39074.0322756848,504928.499135,28480.6874010388,21279.5662974227,35681.8110292975,3392.22124638727
"RaDFHEdy_fwi","B",41.0525309712374,96432.2637105135,504928.499135,85788.9687840907,75145.6647689549,96432.2637105135,0
"RaDFHEdy_fwi","C",12.0038072368331,36573.0234633403,504928.499135,29626.1010386861,22679.1760893895,36573.0234633403,0
"RaDFHEdy_fwi","D",4.74429101665644,65354.3200463391,504928.499135,77363.4086932847,65354.3200463391,89372.5023895152,0
"RaDFHEdy_fwi","E",30.41217611069,267494.859639122,504928.499135,283669.3332179,267494.859639122,299843.806291748,0
"RaDFHEdy_fwx","A",3.38440397939598,4692.64049061879,111348.506205,6280.65558436493,4692.64049061879,7868.67123485359,0
"RaDFHEdy_fwx","B",40.6995300382081,21265.5624163164,111348.506205,18918.4677421464,16571.3710637032,21265.5624163164,0
"RaDFHEdy_fwx","C",16.8351378827552,11989.2989716549,111348.506205,6533.24599619026,5001.28708092292,8065.20435471508,3924.09461693986
"RaDFHEdy_fwx","D",5.02757255646832,14412.1512722492,111348.506205,17060.4353045658,14412.1512722492,19708.7204503674,0
"RaDFHEdy_fwx","E",34.0533555431724,58988.8530541607,111348.506205,62555.7015777327,58988.8530541607,66122.5499899562,0
"RaDFHEwt_fdm","A",6.13169256832273,1135.17972551403,18903.797395,875.668413779265,616.157158755895,1135.17972551403,0
"RaDFHEwt_fdm","B",44.9512358678133,3647.87676641944,18903.797395,3214.19648942128,2780.51604228895,3647.87676641944,0
"RaDFHEwt_fdm","C",9.26224397360031,214.247662272429,18903.797395,114.400053983929,14.5524267916319,214.247662272429,2.8421709430404e-14
"RaDFHEwt_fdm","D",4.62347501794097,874.01235,18903.797395,657.289950411473,431.239172929148,883.34070899,0
"RaDFHEwt_fdm","E",35.0313525723227,13032.4808907941,18903.797395,14042.2423739813,13508.2625934179,14576.2235912333,-475.781702623781
"RaDFHEwt_fhc","A",13.5976636316784,1943.47160098621,32364.032375,1499.17819690624,1054.88488991837,1943.47160098621,0
"RaDFHEwt_fhc","B",48.7806218862738,6245.30613090656,32364.032375,5502.82872110954,4760.35102003622,6245.30613090656,0
"RaDFHEwt_fhc","C",12.871327950524,366.800285316588,32364.032375,195.85731763169,24.9143175827606,366.800285316588,0
"RaDFHEwt_fhc","D",3.51623432399931,1137.995215,32364.032375,1125.30582032717,738.298145204342,1512.31346308596,0
"RaDFHEwt_fhc","E",21.2341522075245,22670.4591427906,32364.032375,24040.8621248412,23126.6680851653,24955.0586241835,-456.208942374684
"RaDFHEwt_fwc","A",0,0.007248822469805,0.222395,0.010301860140225,0.007248822469805,0.01335489847783,0
"RaDFHEwt_fwc","B",0,0.03271156859671,0.222395,0.03781363147988,0.03271156859671,0.042915692361495,0
"RaDFHEwt_fwc","C",100,0.01844239982598,0.222395,0.001345867154315,0.000171203006925,0.00252053107931,0.01592186874667
"RaDFHEwt_fwc","D",0,0.00507334234808,0.222395,0.0077327319727,0.00507334234808,0.010392121374925,0
"RaDFHEwt_fwc","E",0,0.158918866759425,0.222395,0.16520090791851,0.158918866759425,0.171482965979615,0
"RaDFHEwt_fwm","A",14.4692276807479,18626.8782009382,310187.6502,14368.6224491802,10110.3676279852,18626.8782009382,0
