"strataID","BpS","SCLASS","YEAR","STATE","ew","MAP_ZONE","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2002_Oregon_Na0710412_fmc","Na0710412","A",2002,"Oregon","eastside","OSW","fmc","Na0710412_fmc","A",349.60494,262693.196395,38749.9721728683,33176.9360113484,44323.0083343882,-32827.3310713484
"2002_Oregon_Na0710412_fmc","Na0710412","A",2002,"Oregon","westside","OWC","fmc","Na0710412_fmc","A",16579.54725,262693.196395,38749.9721728683,33176.9360113484,44323.0083343882,-16597.3887613484
"2002_Oregon_Na0710412_fmc","Na0710412","A",2002,"Oregon","westside","WWC","fmc","Na0710412_fmc","A",196.59718,262693.196395,38749.9721728683,33176.9360113484,44323.0083343882,-32980.3388313484
"2002_Oregon_Na0710412_fmc","Na0710412","B",2002,"Oregon","eastside","OEC","fmc","Na0710412_fmc","B",1016.78994,262693.196395,59608.3394545697,52975.2821307974,66241.3917871711,-51958.4921907974
"2002_Oregon_Na0710412_fmc","Na0710412","B",2002,"Oregon","eastside","OSW","fmc","Na0710412_fmc","B",4110.30439,262693.196395,59608.3394545697,52975.2821307974,66241.3917871711,-48864.9777407974
"2002_Oregon_Na0710412_fmc","Na0710412","B",2002,"Oregon","westside","OWC","fmc","Na0710412_fmc","B",95911.624465,262693.196395,59608.3394545697,52975.2821307974,66241.3917871711,29670.2326778289
"2002_Oregon_Na0710412_fmc","Na0710412","B",2002,"Oregon","westside","WWC","fmc","Na0710412_fmc","B",368.28612,262693.196395,59608.3394545697,52975.2821307974,66241.3917871711,-52606.9960107974
"2002_Oregon_Na0710412_fmc","Na0710412","C",2002,"Oregon","eastside","OEC","fmc","Na0710412_fmc","C",513.73245,262693.196395,41881.0029237452,35904.8065225472,47857.1969607045,-35391.0740725472
"2002_Oregon_Na0710412_fmc","Na0710412","C",2002,"Oregon","eastside","OSW","fmc","Na0710412_fmc","C",522.405855,262693.196395,41881.0029237452,35904.8065225472,47857.1969607045,-35382.4006675472
"2002_Oregon_Na0710412_fmc","Na0710412","C",2002,"Oregon","westside","OWC","fmc","Na0710412_fmc","C",21117.962015,262693.196395,41881.0029237452,35904.8065225472,47857.1969607045,-14786.8445075472
"2002_Oregon_Na0710412_fmc","Na0710412","C",2002,"Oregon","westside","WWC","fmc","Na0710412_fmc","C",176.13684,262693.196395,41881.0029237452,35904.8065225472,47857.1969607045,-35728.6696825472
"2002_Oregon_Na0710412_fmc","Na0710412","D",2002,"Oregon","eastside","OEC","fmc","Na0710412_fmc","D",418.1026,262693.196395,12941.1791878888,9220.73898378285,16661.6196546879,-8802.63638378285
"2002_Oregon_Na0710412_fmc","Na0710412","D",2002,"Oregon","eastside","OSW","fmc","Na0710412_fmc","D",257.755805,262693.196395,12941.1791878888,9220.73898378285,16661.6196546879,-8962.98317878285
"2002_Oregon_Na0710412_fmc","Na0710412","D",2002,"Oregon","westside","OWC","fmc","Na0710412_fmc","D",5060.153435,262693.196395,12941.1791878888,9220.73898378285,16661.6196546879,-4160.58554878285
"2002_Oregon_Na0710412_fmc","Na0710412","D",2002,"Oregon","westside","WWC","fmc","Na0710412_fmc","D",45.146185,262693.196395,12941.1791878888,9220.73898378285,16661.6196546879,-9175.59279878285
"2002_Oregon_Na0710412_fmc","Na0710412","E",2002,"Oregon","eastside","OEC","fmc","Na0710412_fmc","E",2967.416485,262693.196395,109512.701342462,102400.432259803,116624.980670156,-99433.015774803
"2002_Oregon_Na0710412_fmc","Na0710412","E",2002,"Oregon","eastside","OSW","fmc","Na0710412_fmc","E",5657.951195,262693.196395,109512.701342462,102400.432259803,116624.980670156,-96742.481064803
"2002_Oregon_Na0710412_fmc","Na0710412","E",2002,"Oregon","westside","OWC","fmc","Na0710412_fmc","E",105496.404175,262693.196395,109512.701342462,102400.432259803,116624.980670156,0
"2002_Oregon_Na0710412_fmc","Na0710412","E",2002,"Oregon","westside","WWC","fmc","Na0710412_fmc","E",1265.87234,262693.196395,109512.701342462,102400.432259803,116624.980670156,-101134.559919803
"2002_Oregon_Na0710412_fmh","Na0710412","A",2002,"Oregon","eastside","OEC","fmh","Na0710412_fmh","A",25333.45924,643545.968265,94929.7077520542,81276.8800353122,108582.535468796,-55943.4207953123
"2002_Oregon_Na0710412_fmh","Na0710412","A",2002,"Oregon","eastside","OSW","fmh","Na0710412_fmh","A",4219.72273,643545.968265,94929.7077520542,81276.8800353122,108582.535468796,-77057.1573053123
"2002_Oregon_Na0710412_fmh","Na0710412","A",2002,"Oregon","westside","OWC","fmh","Na0710412_fmh","A",28.02177,643545.968265,94929.7077520542,81276.8800353122,108582.535468796,-81248.8582653122
"2002_Oregon_Na0710412_fmh","Na0710412","B",2002,"Oregon","eastside","OEC","fmh","Na0710412_fmh","B",159626.67999,643545.968265,146028.549872599,129778.881603439,162278.205914387,0
"2002_Oregon_Na0710412_fmh","Na0710412","B",2002,"Oregon","eastside","OSW","fmh","Na0710412_fmh","B",86866.819815,643545.968265,146028.549872599,129778.881603439,162278.205914387,-42912.0617884388
"2002_Oregon_Na0710412_fmh","Na0710412","B",2002,"Oregon","westside","OWC","fmh","Na0710412_fmh","B",218.614285,643545.968265,146028.549872599,129778.881603439,162278.205914387,-129560.267318439
"2002_Oregon_Na0710412_fmh","Na0710412","C",2002,"Oregon","eastside","OEC","fmh","Na0710412_fmh","C",45107.93306,643545.968265,102600.10898015,87959.6190385382,117240.593129848,-42851.6859785382
"2002_Oregon_Na0710412_fmh","Na0710412","C",2002,"Oregon","eastside","OSW","fmh","Na0710412_fmh","C",16424.093145,643545.968265,102600.10898015,87959.6190385382,117240.593129848,-71535.5258935382
"2002_Oregon_Na0710412_fmh","Na0710412","C",2002,"Oregon","westside","OWC","fmh","Na0710412_fmh","C",24.241055,643545.968265,102600.10898015,87959.6190385382,117240.593129848,-87935.3779835382
"2002_Oregon_Na0710412_fmh","Na0710412","D",2002,"Oregon","eastside","OEC","fmh","Na0710412_fmh","D",12620.02667,643545.968265,31703.3094318817,22588.9725309624,40817.6469763469,-9968.9458609624
"2002_Oregon_Na0710412_fmh","Na0710412","D",2002,"Oregon","eastside","OSW","fmh","Na0710412_fmh","D",4940.949715,643545.968265,31703.3094318817,22588.9725309624,40817.6469763469,-17648.0228159624
"2002_Oregon_Na0710412_fmh","Na0710412","D",2002,"Oregon","westside","OWC","fmh","Na0710412_fmh","D",5.559875,643545.968265,31703.3094318817,22588.9725309624,40817.6469763469,-22583.4126559624
"2002_Oregon_Na0710412_fmh","Na0710412","E",2002,"Oregon","eastside","OEC","fmh","Na0710412_fmh","E",198367.88899,643545.968265,268284.289010585,250860.64745392,285707.955665543,-52492.75846392
"2002_Oregon_Na0710412_fmh","Na0710412","E",2002,"Oregon","eastside","OSW","fmh","Na0710412_fmh","E",89392.11504,643545.968265,268284.289010585,250860.64745392,285707.955665543,-161468.53241392
