"BpS_Code","MAP_ZONE","stratID","SCLASS","AREA_PCT","AREA","AREA_TOTAL","avg","low","high","departure"
"RaMCONdy_fmx","OEC","RaMCONdy_fmx OEC","D",1.12588558129634,228557.609164724,597623.84711,247722.361892681,228557.609164724,266887.114023014,0
"RaMCONdy_fmx","OEC","RaMCONdy_fmx OEC","E",8.92342936077386,61305.5271753381,597623.84711,73585.1487900608,61305.5271753381,85864.7710024073,0
"RaMCONms_fcm","OBM","RaMCONms_fcm OBM","A",9.33589726721478,266168.241822988,2143281.55123,311119.768035284,266168.241822988,356071.313537113,0
"RaMCONms_fcm","OBM","RaMCONms_fcm OBM","B",29.2788811441908,890090.903325581,2143281.55123,951720.141311084,890090.903325581,1013349.29570861,0
"RaMCONms_fcm","OBM","RaMCONms_fcm OBM","C",44.7654907393937,462350.833083042,2143281.55123,268242.589009686,223954.052652758,312531.144656147,149819.688426895
"RaMCONms_fcm","OBM","RaMCONms_fcm OBM","D",4.59833351215292,166962.899520214,2143281.55123,206650.408362203,166962.899520214,246337.936493727,0
"RaMCONms_fcm","OBM","RaMCONms_fcm OBM","E",12.0213973370478,357708.673478176,2143281.55123,405548.646655025,357708.673478176,453388.660554224,0
"RaMCONms_fcm","OEC","RaMCONms_fcm OEC","A",2.88985823336968,50.6525554325175,407.87243,59.2069556782043,50.6525554325175,67.7613595947429,0
"RaMCONms_fcm","OEC","RaMCONms_fcm OEC","B",56.8157033805889,192.843184528071,407.87243,181.114985333459,169.386770231822,192.843184528071,0
"RaMCONms_fcm","OEC","RaMCONms_fcm OEC","C",35.659760087241,64.5302329521637,407.87243,51.0473094615514,42.6190780261263,59.4755445678284,5.0546883843353
"RaMCONms_fcm","OEC","RaMCONms_fcm OEC","D",0.272628135223555,31.7735033496061,407.87243,39.3261464742292,31.7735033496061,46.8787932697042,0
"RaMCONms_fcm","OEC","RaMCONms_fcm OEC","E",4.36205016357688,68.0729537376414,407.87243,77.1770334604284,68.0729537376414,86.2811209327915,0
"RaMCONms_fcm","WCB","RaMCONms_fcm WCB","A",0.493716337522442,61.534293077235,495.49606,71.9264434302285,61.534293077235,82.3185982426865,0
"RaMCONms_fcm","WCB","RaMCONms_fcm WCB","B",80.9245960502693,260.890222630182,495.49606,220.024093414911,205.776294480098,234.271873025378,26.6183496048044
"RaMCONms_fcm","WCB","RaMCONms_fcm WCB","C",8.12387791741472,51.7749759226878,495.49606,62.0138524974572,51.7749759226878,72.2527335316912,0
"RaMCONms_fcm","WCB","RaMCONms_fcm WCB","D",0,38.5994359121715,495.49606,47.7746206895217,38.5994359121715,56.9498099263364,0
"RaMCONms_fcm","WCB","RaMCONms_fcm WCB","E",10.4578096947935,82.6971324577235,495.49606,93.7570504633775,82.6971324577235,104.816977883457,0
"RaMCONms_fcm","WNE","RaMCONms_fcm WNE","A",4.31622580135083,14671.786105401,118142.45106,17149.6143135339,14671.786105401,19627.4435849488,0
"RaMCONms_fcm","WNE","RaMCONms_fcm WNE","B",52.9042143862899,55858.0693732161,118142.45106,52460.9331672426,49063.7923537135,55858.0693732161,0
"RaMCONms_fcm","WNE","RaMCONms_fcm WNE","C",33.0739343558698,18691.5303111843,118142.45106,14786.1287408075,12344.8460096309,17227.4125352663,1464.11777591804
"RaMCONms_fcm","WNE","RaMCONms_fcm WNE","D",1.764402478785,9203.36675976258,118142.45106,11391.0306102573,9203.36675976258,13578.695524034,0
"RaMCONms_fcm","WNE","RaMCONms_fcm WNE","E",7.94122297770449,19717.6985104361,118142.45106,22354.7443463012,19717.6985104361,24991.7924268729,0
"RaMCONms_fmm","OEC","RaMCONms_fmm OEC","A",6.87796819341256,105406.614542519,848771.629475,123208.092901115,105406.614542519,141009.578898655,0
"RaMCONms_fmm","OEC","RaMCONms_fmm OEC","B",37.6411926618726,352489.343251691,848771.629475,376895.445528939,352489.343251691,401301.514704093,0
"RaMCONms_fmm","OEC","RaMCONms_fmm OEC","C",38.1145576908716,183097.862135662,848771.629475,106228.087130075,88689.1626947116,123767.019204384,59330.8429312778
"RaMCONms_fmm","OEC","RaMCONms_fmm OEC","D",2.47577299125771,66119.8115601355,848771.629475,81836.6601143011,66119.8115601355,97553.5163074114,0
"RaMCONms_fmm","OEC","RaMCONms_fmm OEC","E",14.8905084625855,141657.997984993,848771.629475,160603.344649341,141657.997984993,179548.707440351,0
"RaMCONms_fmm","WCB","RaMCONms_fmm WCB","A",4.85491957621543,1217.40130365864,9802.949205,1423.00076299867,1217.40130365864,1628.60031056525,0
"RaMCONms_fmm","WCB","RaMCONms_fmm WCB","B",48.2202409310556,4634.86081287506,9802.949205,4352.9811551328,4071.10111507552,4634.86081287506,0
"RaMCONms_fmm","WCB","RaMCONms_fmm WCB","C",42.5077701399759,1550.94227824342,9802.949205,1226.88896060836,1024.3218867577,1429.45612268556,121.48615555786
"RaMCONms_fmm","WCB","RaMCONms_fmm WCB","D",0.553551577848862,763.65553661248,9802.949205,945.17841354283,763.65553661248,1126.70137869972,0
"RaMCONms_fmm","WCB","RaMCONms_fmm WCB","E",3.86351777490415,1636.08927361041,9802.949205,1854.8999225203,1636.08927361041,2073.71075768622,0
"RaMCONms_fmm","WEC","RaMCONms_fmm WEC","A",7.84873203681411,113820.131045528,916520.263115,133042.516740898,113820.131045528,152264.910684951,0
"RaMCONms_fmm","WEC","RaMCONms_fmm WEC","B",44.4037652715743,406969.5063,916520.263115,406979.098861601,380624.91063951,433333.251339401,0
"RaMCONms_fmm","WEC","RaMCONms_fmm WEC","C",24.8905338502457,133646.056332403,916520.263115,114707.173267421,95768.298451121,133646.056332403,0
"RaMCONms_fmm","WEC","RaMCONms_fmm WEC","D",1.56236009625499,68204.3514012992,916520.263115,88368.8316806792,71397.470160134,105340.201449907,-3193.1187588348
"RaMCONms_fmm","WEC","RaMCONms_fmm WEC","E",21.2946087451109,193880.21803577,916520.263115,173422.643480921,152965.086339958,193880.21803577,0
"RaMCONms_fmm","WNE","RaMCONms_fmm WNE","A",6.1123384883176,1237.6181360341,9965.742345,1446.63189252781,1237.6181360341,1655.64573871321,0
"RaMCONms_fmm","WNE","RaMCONms_fmm WNE","B",31.6551739528241,4138.70804845048,9965.742345,4425.2691427359,4138.70804845048,4711.82984835736,0
"RaMCONms_fmm","WNE","RaMCONms_fmm WNE","C",60.5654861529535,2149.81987450852,9965.742345,1247.26335020806,1041.33233665689,1453.1944534509,696.625421057612
"RaMCONms_fmm","WNE","RaMCONms_fmm WNE","D",0.301265314320145,776.337218429226,9965.742345,960.874563607789,776.337218429226,1145.41199847803,0
"RaMCONms_fmm","WNE","RaMCONms_fmm WNE","E",1.36573609158466,1663.25906757767,9965.742345,1885.70340588618,1663.25906757767,2108.1479335438,0
"RaMCONsw_fdm","OSW","RaMCONsw_fdm OSW","A",9.89949498870725,31539.7303144783,254933.834845,37208.9407758787,31539.7303144783,42878.1537866175,0
"RaMCONsw_fdm","OSW","RaMCONsw_fdm OSW","B",58.8493872954198,19727.8373509192,254933.834845,7326.06547867012,4610.2609446107,10041.8702676634,9685.96708325582
"RaMCONsw_fdm","OSW","RaMCONsw_fdm OSW","C",7.44195946824204,27266.1332076271,254933.834845,32089.14867424,27266.1332076271,36912.1618464484,0
"RaMCONsw_fdm","OSW","RaMCONsw_fdm OSW","D",1.82899754080699,124430.796427907,254933.834845,132210.010876955,124430.796427907,139989.225326004,0
