"Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","BpS","REST_ACRES","strataID"
19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,"RaTAOAco",579.435267789924,"2002_RaTAOAco_ftm"
1,"B","C","Thin / low fire","None",1,0,0,"Na0210290",220.123972765887,"2003_Na0210290_fdw"
2,"E","D","Thin / low fire","None",1,0,0,"Na0210290",-298.748211530274,"2003_Na0210290_fdw"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"Na0210290",0,"2003_Na0210290_fdw"
5,"E","C","Overstory removal","None",1,0,0,"Na0210290",0,"2003_Na0210290_fdw"
6,"B","A","Regen / high fire","None",1,0,0,"Na0210290",0,"2003_Na0210290_fdw"
9,"E","A","Regen / high fire","None",1,0,0,"Na0210290",0,"2003_Na0210290_fdw"
1,"B","C","Thin / low fire","None",1,0,0,"Na0210290",22913.167414487,"2003_Na0210290_fwo"
2,"E","D","Thin / low fire","None",1,0,0,"Na0210290",22863.2065628657,"2003_Na0210290_fwo"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"Na0210290",95278.2826084673,"2003_Na0210290_fwo"
6,"B","A","Regen / high fire","None",1,0,0,"Na0210290",3341.56117155449,"2003_Na0210290_fwo"
7,"B","C","Thin / low fire","None",1,0,0,"Na0710411",-11639.5882943283,"2003_Na0710411_fmt"
10,"B","E","Grow w/o fire","None",0,0,1,"Na0710411",0,"2003_Na0710411_fmt"
13,"A","C","Grow w/ fire","None",0,0,1,"Na0710411",-417.150314292634,"2003_Na0710411_fmt"
17,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"Na0710411",0,"2003_Na0710411_fmt"
18,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,"Na0710411",0,"2003_Na0710411_fmt"
20,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,"Na0710411",0,"2003_Na0710411_fmt"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"R1RFWF",-26485.9123047411,"2003_R1RFWF_fcw"
6,"B","A","Regen / high fire","None",1,0,0,"R1RFWF",0,"2003_R1RFWF_fcw"
1,"B","C","Thin / low fire","None",1,0,0,"R1RFWF",93.1705963393136,"2003_R1RFWF_frm"
2,"E","D","Thin / low fire","None",1,0,0,"R1RFWF",377.253895036226,"2003_R1RFWF_frm"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"R1RFWF",126.46740498977,"2003_R1RFWF_frm"
6,"B","A","Regen / high fire","None",1,0,0,"R1RFWF",403.525398841929,"2003_R1RFWF_frm"
5,"D","C","Overstory removal","None",1,0,0,"RaABAMup",-122.876543535112,"2003_RaABAMup_fsi"
7,"B","C","Thin / low fire","None",1,0,0,"RaABAMup",-1390.90025163542,"2003_RaABAMup_fsi"
10,"B","E","Grow w/o fire","None",0,0,1,"RaABAMup",0,"2003_RaABAMup_fsi"
12,"D","E","Grow w/o fire","None",0,0,1,"RaABAMup",0,"2003_RaABAMup_fsi"
1,"B","C","Thin / low fire","None",1,0,0,"RaDFHEdy",-78205.3966132889,"2003_RaDFHEdy_fdg"
