"YEAR","BpS_Code","MAP_ZONE","type","CHNG_REST_ACRES","CHNG_REST_PCT","CHNG_FOR_ACRES","PREV_REST_ACRES","PREV_REST_PCT","PREV_FOR_ACRES"
2017,"RaABAMlw_fsi","OEC","passive",-1060.48924928343,-0.00817177583156892,-1376.27891564944,25382.0004600013,0.359470763634725,70609.3597247121
2017,"RaABAMlw_fsi","OSW","active",-204.122920742842,-0.00524693239988631,285.292408594258,3478.52855724424,0.0808677434632895,43015.0318071302
2017,"RaABAMlw_fsi","OSW","both",691.941254568063,0.0151917884185812,285.292408594258,5146.24405249368,0.119638271466782,43015.0318071302
2017,"RaABAMlw_fsi","OSW","passive",11715.0057465181,0.268531137164053,285.292408594258,13195.9162769031,0.306774532588297,43015.0318071302
2017,"RaABAMlw_fsi","WEC","passive",12646.9903618948,0.0407313644244847,-32.3151885677362,120574.755771986,0.387902669831984,310837.653744976
2017,"RaABAMlw_fsw","OEC","both",624.357302844946,0.0765010288447932,334.049941759158,442.958359953367,0.058500085,7571.92677503575
2017,"RaABAMlw_fsw","OEC","passive",678.462756497048,0.078731698556363,334.049941759158,1269.62184397213,0.167674870834462,7571.92677503575
2017,"RaABAMlw_fwc","OEC","active",-297.308895735259,-0.109449042,-2716.41386989261,297.308895735259,0.109449042,2716.41386989261
2017,"RaABAMlw_fwc","OEC","both",-491.279328525562,-0.180855846,-2716.41386989261,491.279328525562,0.180855846,2716.41386989261
2017,"RaABAMlw_fwc","OEC","passive",2716.36491196543,0.999981977,4.54747350886464e-13,1581.94442310112,0.582365022,2716.41386989261
2017,"RaABLA_faf","WNE","active",102.843438312875,0.016008848,0,851.079469282134,0.132481003,6424.16233278468
2017,"RaABLA_faf","WNE","both",1061.15422450431,0.16518172635347,0,102.843438312875,0.016008848,6424.16233278468
2017,"RaABLA_faf","WNE","passive",-3656.66763333114,-0.56920536,-6424.16233278468,3656.66763333114,0.56920536,6424.16233278468
2017,"RaDFHEdy_fwi","OEC","both",-4.54747350886464e-13,-8.40551870990627e-18,-54101.0455845544,4.54747350886464e-13,8.40551870990627e-18,54101.0455845544
